trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2339,1852,0.030499959539622069348840938119,0.586495927691459639774507195398,str\(\'kl\'\),0.057845249772071845317800153907,False
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4551,3060,0.661818488541990546103477299766,0.101242890072986480021199895418,str\(\'intersection\'\),0.028155620107427239973141297469,True
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2829,1214,0.268164829311892394247962556619,0.769909138757735478364452319511,str\(\'intersection\'\),0.053196101197972897600685371344,False
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,305,4927,0.915596646672114711229539807391,0.292003551591187737734856000316,str\(\'kl\'\),0.078001493792980908237311155062,True
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1087,441,0.526166967352852177342015238537,0.491504966750741012493364223701,str\(\'kl\'\),0.067135940929874779459218814281,False
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3299,4144,0.159454920841380964890987570470,0.945571408733725582429485712055,str\(\'intersection\'\),0.018863576948642733766003942719,True
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4078,2318,0.771664702672511304548663702008,0.183280798913910997205434227908,str\(\'intersection\'\),0.038230349123477939954351967344,False
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1553,3536,0.421001462306827334280967534141,0.629999897332861991117169964127,str\(\'kl\'\),0.092968639275059106186205326594,True
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1836,864,0.820023807566612972230757350189,0.930232164381071924275090623269,str\(\'intersection\'\),0.083500434746965765397952452531,False
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3804,4659,0.484467347119003521882518725761,0.382154642729088667163495074419,str\(\'kl\'\),0.047488440126180656020160597564,True
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3645,1505,0.566489716319367286878616596368,0.739022032771259551608977744763,str\(\'kl\'\),0.022602411359548570807254108672,False
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,740,2787,0.247045830404385935441524679845,0.199190917555242763548051243561,str\(\'intersection\'\),0.063585247388109569777192575657,True
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,585,1966,0.325307211568579057736627646591,0.022957338303327561729316741435,str\(\'intersection\'\),0.098422970902174722329647238439,False
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2552,3258,0.987845095021650188016337779118,0.539848252236843073603722586995,str\(\'kl\'\),0.032567257145419720165691046532,True
