trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,SOBOL,0.869999999999999995559107901499,3961.000000000000000000000000000000,0.890000000000000013322676295502,3661,2537,6,0.098854783132672305323573880287
1,1_0,COMPLETED,SOBOL,0.900000000000000022204460492503,630.000000000000000000000000000000,0.920000000000000039968028886506,1791,1890,1,0.882380831811577115431077800167
2,2_0,COMPLETED,SOBOL,0.719999999999999973354647408996,7186.000000000000000000000000000000,0.089999999999999996669330926125,506,4595,10,0.404856466352939592390214329498
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1776.000000000000000000000000000000,1.000000000000000000000000000000,4867,199,5,0.611411895887926215564789345080
4,4_0,COMPLETED,SOBOL,0.839999999999999968913755310496,2036.000000000000000000000000000000,0.890000000000000013322676295502,3981,4207,2,0.641478846432641192087942272337
5,5_0,COMPLETED,SOBOL,0.890000000000000013322676295502,2966.000000000000000000000000000000,0.660000000000000031086244689504,841,1065,8,0.372428672716021536004404879350
6,6_0,COMPLETED,SOBOL,0.630000000000000004440892098501,1625.000000000000000000000000000000,0.520000000000000017763568394003,2057,3702,3,0.853957895118743204321276607516
7,7_0,COMPLETED,SOBOL,0.780000000000000026645352591004,6281.000000000000000000000000000000,0.859999999999999986677323704498,2686,1809,9,0.132683292401954533445973538619
8,8_0,FAILED,SOBOL,,,,3060,4860,4,0.268325740203261386973565549852
9,9_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1248.000000000000000000000000000000,1.000000000000000000000000000000,2431,505,8,0.748017350615933551694070047233
10,10_0,COMPLETED,SOBOL,0.830000000000000071054273576010,2161.000000000000000000000000000000,0.369999999999999995559107901499,1214,2855,2,0.227404479457065461511788839744
11,11_0,COMPLETED,SOBOL,0.890000000000000013322676295502,1483.000000000000000000000000000000,1.000000000000000000000000000000,4354,2251,7,0.753875404734164478171010159713
