trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,4433,383,1334,0.217086272448301309534457459449,0.104349371016025538327909316649,3.065967234373092598076482317992,str\(\'ks-test\'\),str\(\'full\'\),1598
1,1_0,FAILED,SOBOL,983,3229,4706,0.594695269064977716233499904774,0.857197524914517949845560451649,7.796905077224598024088209058391,str\(\'t-test\'\),str\(\'bounded\'\),3967
2,2_0,FAILED,SOBOL,1792,1437,365,0.317686612362042042345677828052,0.546691291291266701080076018116,5.006240331090055839524666225770,str\(\'ks-test\'\),str\(\'bounded\'\),2824
3,3_0,FAILED,SOBOL,2716,4987,3244,0.991634915834292751668499477091,0.292782229883596312181026632970,0.382633013830520229969778256418,str\(\'t-test\'\),str\(\'full\'\),202
4,4_0,FAILED,SOBOL,3195,2191,3945,0.872112630676478151059427545988,0.432824342252686622423141216132,4.817702519339509770190943527268,str\(\'ks-test\'\),str\(\'bounded\'\),3699
5,5_0,FAILED,SOBOL,2250,3887,2449,0.438904706455767179562599267229,0.686734351709485046910685923649,9.480209078366868880038964562118,str\(\'t-test\'\),str\(\'full\'\),773
6,6_0,FAILED,SOBOL,525,824,3107,0.722783722758293167842680304602,0.997971780305728306537105254392,7.072577943081037155081958189839,str\(\'ks-test\'\),str\(\'full\'\),2424
7,7_0,FAILED,SOBOL,3954,3066,855,0.086798994470387691446688904762,0.245122682075947534441340280864,2.380544072642922337479376437841,str\(\'t-test\'\),str\(\'bounded\'\),4508
8,8_0,FAILED,SOBOL,4333,1568,2521,0.388667014330625559814791358804,0.775118475388735572728649003693,1.144739446653053160929403020418,str\(\'ks-test\'\),str\(\'bounded\'\),3425
9,9_0,FAILED,SOBOL,263,4510,1048,0.797600560743361719495680972614,0.030981850123032929344990549225,5.807391128476710129291404882679,str\(\'t-test\'\),str\(\'full\'\),1046
10,10_0,FAILED,SOBOL,1966,201,4218,0.021089378517121077499796300003,0.343742118880152713877862424852,8.245619669550098507215807330795,str\(\'ks-test\'\),str\(\'full\'\),2151
11,11_0,FAILED,SOBOL,3519,3689,1939,0.663743576653301747825253187330,0.588817832918837713584991888638,3.553745225592516376877938455436,str\(\'t-test\'\),str\(\'bounded\'\),4782
12,12_0,FAILED,SOBOL,3061,1007,249,0.544579187477007509166071486106,0.698152258528396463255205617315,1.578170980739407314175082319707,str\(\'ks-test\'\),str\(\'full\'\),1324
13,13_0,FAILED,SOBOL,1486,2605,3596,0.142452113306149846794212976420,0.453077499974519015690788137363,6.309249066744931688788255996769,str\(\'t-test\'\),str\(\'bounded\'\),4240
14,14_0,FAILED,SOBOL,742,2061,1765,0.925803258074447521508432146220,0.140073816815391188894679430632,8.993653493411839505711213860195,str\(\'ks-test\'\),str\(\'bounded\'\),2550
15,15_0,FAILED,SOBOL,4791,4363,4668,0.258768032180145379772540081831,0.884209486596286287074519805174,4.370210370527581211774759140098,str\(\'t-test\'\),str\(\'full\'\),476
16,16_0,FAILED,SOBOL,4993,1956,1211,0.690407714910805214714173416723,0.271966915277764176295249853865,6.717926007933915144576531019993,str\(\'t-test\'\),str\(\'bounded\'\),1110
17,17_0,FAILED,SOBOL,921,4122,2684,0.125509963255375611712594263736,0.518079101685434584290135262563,1.332766404556110506618438193982,str\(\'ks-test\'\),str\(\'full\'\),3166
18,18_0,FAILED,SOBOL,1385,1214,2092,0.837240138072520512224627964315,0.831261956835165571888524027599,3.971164837467484165500763992895,str\(\'t-test\'\),str\(\'full\'\),4874
19,19_0,FAILED,SOBOL,2937,2676,4370,0.475239113122224832164164354253,0.086210681654512885674357391963,9.229464804624207374672550940886,str\(\'ks-test\'\),str\(\'bounded\'\),1940
20,20_0,FAILED,SOBOL,3726,149,3443,0.347138316201046126519003109934,0.195065383251756430116330420788,6.204146004729905072849760472309,str\(\'t-test\'\),str\(\'full\'\),4148
21,21_0,FAILED,SOBOL,2159,3463,96,0.967543563557788699469597304414,0.940117606481537193552355802240,0.906946795805357419695269527438,str\(\'ks-test\'\),str\(\'bounded\'\),1535
22,22_0,FAILED,SOBOL,148,1829,4505,0.245136020755395284131950006667,0.627665946304798105792599471897,3.147054391933604922115819135797,str\(\'t-test\'\),str\(\'bounded\'\),412
23,23_0,FAILED,SOBOL,4204,4596,1603,0.569082041407004024513582862710,0.381552811847999717720369972085,8.493310134645550846244077547453,str\(\'ks-test\'\),str\(\'full\'\),2809
24,24_0,FAILED,SOBOL,3760,773,4859,0.892939923232421328691543749301,0.599673634903505448079386042082,9.718156983787194391766206535976,str\(\'t-test\'\),str\(\'full\'\),3874
25,25_0,FAILED,SOBOL,318,2839,1486,0.296991718584671604563851587955,0.346801045864820467468092601848,4.420793580487370810772063123295,str\(\'ks-test\'\),str\(\'bounded\'\),1808
26,26_0,FAILED,SOBOL,2379,2453,3406,0.510193977253511565805865757284,0.035750403394922615485373995625,2.133002902251668331246037269011,str\(\'t-test\'\),str\(\'bounded\'\),139
27,27_0,FAILED,SOBOL,3310,3972,527,0.179273846967145794595310803743,0.787683903660625239773196426540,7.479118290062062968104328319896,str\(\'ks-test\'\),str\(\'full\'\),3083
28,28_0,FAILED,SOBOL,2537,1333,2287,0.051028409350663425647631754600,0.928205680556595358332572232030,8.042460140085779585206182673573,str\(\'t-test\'\),str\(\'bounded\'\),836
29,29_0,FAILED,SOBOL,1590,4745,3783,0.640139506757259391100944867503,0.176273135775700223737416649783,2.657141110227443370206401596079,str\(\'ks-test\'\),str\(\'full\'\),3439
