trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,1163,437,2,0.159807716876268379735392954899,0.971502441048622156216652001604,2.148921384900808195794752464280,str\(\'t-test\'\),str\(\'bounded\'\),3910
1,1_0,FAILED,SOBOL,4651,2707,2867,0.889499241029843679129385236592,0.415375605868175623580640376531,5.834243697497062619561347673880,str\(\'ks-test\'\),str\(\'full\'\),1190
2,2_0,FAILED,SOBOL,2676,1329,1834,0.423171635989099736985252775412,0.237658993365243070838843664205,7.541603431777097910071461228654,str\(\'t-test\'\),str\(\'full\'\),1678
3,3_0,FAILED,SOBOL,1825,4235,4048,0.652525921046733903274628119107,0.679518329679965948919573293097,3.854620941955596347128221168532,str\(\'ks-test\'\),str\(\'bounded\'\),3146
4,4_0,FAILED,SOBOL,1906,2052,3406,0.571493174787610747067390093434,0.528988753790035848290074227407,0.386190300988033419216094443982,str\(\'t-test\'\),str\(\'full\'\),2165
5,5_0,FAILED,SOBOL,3518,4801,1183,0.348019854106008996730281523924,0.086143366448581212835300391362,6.659606655943208330938887229422,str\(\'ks-test\'\),str\(\'bounded\'\),3010
6,6_0,FAILED,SOBOL,4121,1159,4760,0.837707631321623957809663352236,0.262820723779499554328964450178,9.928852720321156510863147559576,str\(\'t-test\'\),str\(\'bounded\'\),4749
7,7_0,FAILED,SOBOL,146,3273,1905,0.117789804948493836977974069669,0.817991997936740489194562542252,3.654691046569496393203735351562,str\(\'ks-test\'\),str\(\'full\'\),155
8,8_0,FAILED,SOBOL,562,1682,4633,0.272746444026008227901058944553,0.489084346372634148902847073259,4.920581684386358567451225098921,str\(\'t-test\'\),str\(\'full\'\),2261
9,9_0,FAILED,SOBOL,3929,3962,2500,0.558016324615105974160655932792,0.934851669458672374091179335664,8.684617785937152945052730501629,str\(\'ks-test\'\),str\(\'bounded\'\),2638
10,10_0,FAILED,SOBOL,3433,85,3455,0.005907628361135720991559328041,0.724003959579393230328037134313,5.391885705281980634140381880570,str\(\'t-test\'\),str\(\'bounded\'\),4653
11,11_0,FAILED,SOBOL,2390,2980,665,0.788840276360511793996010965202,0.171754628602415332361275090989,1.627373075000941637924256610859,str\(\'ks-test\'\),str\(\'full\'\),527
12,12_0,FAILED,SOBOL,1381,807,1317,0.996538948114961353752505601733,0.011459971955046058950111742547,2.611606625875458220775726658758,str\(\'t-test\'\),str\(\'bounded\'\),4165
13,13_0,FAILED,SOBOL,2875,3546,4096,0.203893514491617688921820672476,0.562715645205229542114011564991,8.806273451290092424414979177527,str\(\'ks-test\'\),str\(\'full\'\),663
14,14_0,FAILED,SOBOL,4801,2404,598,0.732581132920458899526749974029,0.776430032577365647483702559839,7.076647089813836721816642238991,str\(\'t-test\'\),str\(\'full\'\),1422
15,15_0,FAILED,SOBOL,632,4529,2740,0.441491193605586862425127492315,0.329699504589661962494773206345,0.879979797311127187597890042525,str\(\'ks-test\'\),str\(\'bounded\'\),3673
16,16_0,FAILED,SOBOL,854,2257,2272,0.861273739285767114814973410830,0.640198147313669307933992058679,9.128379150234163574850754230283,str\(\'ks-test\'\),str\(\'full\'\),2694
17,17_0,FAILED,SOBOL,4965,4674,4503,0.094546820010989907068221782538,0.193223504111170757413518117573,2.892820792158134146632164629409,str\(\'t-test\'\),str\(\'bounded\'\),2445
18,18_0,FAILED,SOBOL,2985,661,814,0.594985998554155237627583119320,0.405234273225069052681845960251,1.187119093275629033712448290316,str\(\'ks-test\'\),str\(\'bounded\'\),393
19,19_0,FAILED,SOBOL,1511,3693,3662,0.324697874369099748204092747983,0.956242979677394022708369902830,7.421021539157257151941848860588,str\(\'t-test\'\),str\(\'full\'\),4392
20,20_0,FAILED,SOBOL,2222,251,4260,0.399635980850085614779487741544,0.860295315407216598657669237582,8.381133081294596109955818974413,str\(\'ks-test\'\),str\(\'bounded\'\),920
21,21_0,FAILED,SOBOL,3206,2814,1422,0.675738453159108742873684150254,0.308292984688654569946919536960,4.577434967939742804787783825304,str\(\'t-test\'\),str\(\'full\'\),4295
22,22_0,FAILED,SOBOL,3804,1847,2655,0.136345352441072459326321109074,0.095250544795766473038511890081,1.308931503168307308726525661768,str\(\'ks-test\'\),str\(\'full\'\),3495
23,23_0,FAILED,SOBOL,456,3796,415,0.912790767941623948367180219066,0.541262009121477594142390898924,5.111889736106619785971361125121,str\(\'t-test\'\),str\(\'bounded\'\),1371
24,24_0,FAILED,SOBOL,246,1012,2997,0.693509791143238518706937156821,0.149978987632319343825670898696,6.353682875145227448854257090716,str\(\'ks-test\'\),str\(\'bounded\'\),978
25,25_0,FAILED,SOBOL,4241,3419,230,0.480361234810203319156585166638,0.704907098341733262536479287519,0.040600336478091782199673076548,str\(\'t-test\'\),str\(\'full\'\),3883
26,26_0,FAILED,SOBOL,3750,1906,3840,0.957424778683111044053077876015,0.883775348875671662440822728968,3.333810398581437794973680865951,str\(\'ks-test\'\),str\(\'full\'\),3437
27,27_0,FAILED,SOBOL,2079,4948,1686,0.242715017439797509091192750930,0.440689657105132914782785746866,9.646413503082468920979408721905,str\(\'t-test\'\),str\(\'bounded\'\),1782
28,28_0,FAILED,SOBOL,1690,1496,1078,0.045009422963485125335214576126,0.350563055377453580696567314590,6.153910916272551823169578710804,str\(\'ks-test\'\),str\(\'full\'\),2910
29,29_0,FAILED,SOBOL,2561,4070,3242,0.749939782330766302465008266154,0.792662729581817937507537408237,2.427691688508726741702048457228,str\(\'t-test\'\),str\(\'bounded\'\),1880
30,30_0,FAILED,SOBOL,4493,602,2087,0.311891066282987572400031694997,0.616653512662276637179559202195,4.159321757751517800727469875710,str\(\'ks-test\'\),str\(\'bounded\'\),177
31,31_0,FAILED,SOBOL,946,2540,4844,0.519164368841797063680587598355,0.060769844647496941425490746269,7.883534037070349498321775172371,str\(\'t-test\'\),str\(\'full\'\),4957
32,32_0,FAILED,SOBOL,1039,1259,3537,0.921723771074786757395713721053,0.830918758403509816190535275382,9.517636027761735562080502859317,str\(\'ks-test\'\),str\(\'full\'\),2352
33,33_0,FAILED,SOBOL,4389,4311,779,0.154872374808415758096202807792,0.275264256170019483427324757940,3.125821783285588129075449614902,str\(\'t-test\'\),str\(\'bounded\'\),2748
34,34_0,FAILED,SOBOL,2623,355,4551,0.659285925868898670110240800568,0.065872496938332913973823679044,0.170581258231773974509692948232,str\(\'ks-test\'\),str\(\'bounded\'\),4484
35,35_0,FAILED,SOBOL,1638,2792,2386,0.389122687637805941829327593950,0.508234652485698434887240182434,6.560696604962461542243090661941,str\(\'t-test\'\),str\(\'full\'\),340
36,36_0,FAILED,SOBOL,2173,1234,533,0.339307897921651613337701292039,0.669572503356263060148023669171,7.989218083822168914309713727562,str\(\'ks-test\'\),str\(\'bounded\'\),4348
37,37_0,FAILED,SOBOL,3646,3202,2688,0.615291187442839171417574561929,0.226254790503531699741301963513,4.341732834067196122873610875104,str\(\'t-test\'\),str\(\'full\'\),827
38,38_0,FAILED,SOBOL,4302,2139,1381,0.071923721643164753580812487144,0.434607145849615350563510673965,2.323440543124452251078082554159,str\(\'ks-test\'\),str\(\'full\'\),1317
39,39_0,FAILED,SOBOL,193,4721,4148,0.848487896097823934837833803613,0.989275630516931459013107996725,5.970142926911823799684952973621,str\(\'t-test\'\),str\(\'bounded\'\),3587
40,40_0,FAILED,SOBOL,353,4,1723,0.504475110689178163347889949364,0.317320722095668306117488555174,7.214062509757467545057352253934,str\(\'ks-test\'\),str\(\'bounded\'\),3820
41,41_0,FAILED,SOBOL,3899,3066,3963,0.291201601481065164289674385145,0.763560348385944998028662666911,1.057235745742916899203578395827,str\(\'t-test\'\),str\(\'full\'\),1080
42,42_0,FAILED,SOBOL,3154,1610,113,0.772209537211805630008143452869,0.583412670234218277975912769762,3.100864070622250334707814545254,str\(\'ks-test\'\),str\(\'full\'\),1846
43,43_0,FAILED,SOBOL,2284,4037,2952,0.057624186038970945378245858137,0.031666091568768026109914615063,9.257254237025044574238563654944,str\(\'t-test\'\),str\(\'bounded\'\),3335
44,44_0,FAILED,SOBOL,1407,2489,4814,0.234165814336389305205798905263,0.183223521875217565391125162932,5.295712425884791407781904126750,str\(\'ks-test\'\),str\(\'full\'\),1982
45,45_0,FAILED,SOBOL,3079,4447,1967,0.938977466799318816192965186929,0.734006921663880373962740577554,1.413280222773551919601686677197,str\(\'t-test\'\),str\(\'bounded\'\),2847
46,46_0,FAILED,SOBOL,4913,883,3351,0.496984366329386806349077687628,0.917021366536617255071917043097,4.395078554792330116640641790582,str\(\'ks-test\'\),str\(\'bounded\'\),4854
47,47_0,FAILED,SOBOL,916,3476,1121,0.704376903725787983923112278717,0.469788115980103615498819635832,8.275546646012925222635203681421,str\(\'t-test\'\),str\(\'full\'\),240
48,48_0,FAILED,SOBOL,724,736,3776,0.095459135122597224554219508263,0.561989691456779794087594837038,1.757318554162047741229457642476,str\(\'t-test\'\),str\(\'bounded\'\),1126
49,49_0,FAILED,SOBOL,4700,3622,1634,0.825275605645030774226711400843,0.115486905317753560384907984826,5.598858591375873494655479589710,str\(\'ks-test\'\),str\(\'full\'\),4013
50,50_0,FAILED,SOBOL,2940,2344,3062,0.362770027203485390110415664822,0.295823033329099427390929122339,8.555795294985175658553089306224,str\(\'t-test\'\),str\(\'full\'\),3210
51,51_0,FAILED,SOBOL,1327,4594,282,0.591999902190640581167713207833,0.847334045952185976879889039992,4.712561798405833890512894868152,str\(\'ks-test\'\),str\(\'bounded\'\),1575
52,52_0,FAILED,SOBOL,2482,1777,2169,0.635720052128657675538647708890,0.938503845620900389867813373712,0.775759363873861795823927423044,str\(\'t-test\'\),str\(\'full\'\),3113
53,53_0,FAILED,SOBOL,3332,3871,4958,0.412365438351407653794211682907,0.386029628096148380578256364970,6.892924674822018538122847530758,str\(\'ks-test\'\),str\(\'bounded\'\),2102
54,54_0,FAILED,SOBOL,3994,170,996,0.898231181532144540291540124599,0.204661740077659498604489840545,8.911997708529233008789560699370,str\(\'t-test\'\),str\(\'bounded\'\),52
55,55_0,FAILED,SOBOL,507,2899,3128,0.178194120321422816433099001188,0.650170868489891251584822384757,2.794053778019733869086849153973,str\(\'ks-test\'\),str\(\'full\'\),4813
56,56_0,FAILED,SOBOL,44,1991,869,0.457882805950939664185739275126,0.040590619886294004858839912231,4.062700296248309861368852580199,str\(\'t-test\'\),str\(\'full\'\),2545
57,57_0,FAILED,SOBOL,4212,4867,3724,0.743277163531631201998095548333,0.595990520738065243655512404075,7.670518729055300966024333320092,str\(\'ks-test\'\),str\(\'bounded\'\),2315
58,58_0,FAILED,SOBOL,3463,1088,2218,0.195021426303312178651694352993,0.805559308625757641841858003318,5.627330242466181964289262396051,str\(\'t-test\'\),str\(\'bounded\'\),620
59,59_0,FAILED,SOBOL,1970,3349,4441,0.977829188348725453217014091933,0.362975870976224523900555141154,2.019068730690516400017031628522,str\(\'ks-test\'\),str\(\'full\'\),4599
60,60_0,FAILED,SOBOL,1723,522,2544,0.811280637329444331840022641700,0.459951378509402264427308182348,3.472303362737410026284123887308,str\(\'t-test\'\),str\(\'bounded\'\),718
61,61_0,FAILED,SOBOL,2767,2627,331,0.018754386493936181512509620006,0.901579232828691568002454914676,9.823221269408241695941796933766,str\(\'ks-test\'\),str\(\'full\'\),4072
62,62_0,FAILED,SOBOL,4596,1425,4372,0.543589038461446794059384046705,0.694869627268984935142270842334,6.843388501998037831697274668841,str\(\'t-test\'\),str\(\'full\'\),3619
63,63_0,FAILED,SOBOL,1227,4144,1507,0.252380340192466967597084703812,0.138483675390481952849341951151,0.490503578000701989658693946694,str\(\'ks-test\'\),str\(\'bounded\'\),1515
64,64_0,FAILED,SOBOL,1204,2187,4129,0.739766277361661228617606411717,0.268628261750563979148864746094,2.556137096722610468901848435053,str\(\'ks-test\'\),str\(\'bounded\'\),385
65,65_0,FAILED,SOBOL,4536,4751,1281,0.464271954402327546862494500601,0.835734914895147062985358843434,8.859606963597238760144136904273,str\(\'t-test\'\),str\(\'full\'\),4520
66,66_0,FAILED,SOBOL,2790,1205,2787,0.973513107324019077992716120207,0.503424682479351792707689128292,7.133165853803977718428086518543,str\(\'ks-test\'\),str\(\'full\'\),2781
67,67_0,FAILED,SOBOL,1783,3153,557,0.196459482988342648557278380395,0.072517533143982293442064701594,0.830479374385438950945115266222,str\(\'t-test\'\),str\(\'bounded\'\),2395
68,68_0,FAILED,SOBOL,2025,326,2444,0.029909983919933439550087328485,0.231917528841644515757991484861,4.933616968934424917847536562476,str\(\'ks-test\'\),str\(\'full\'\),3542
69,69_0,FAILED,SOBOL,3481,2743,4684,0.797247015563771088686451093963,0.661831046475097495296324723313,8.669446484543383846244068990927,str\(\'t-test\'\),str\(\'bounded\'\),1282
70,70_0,FAILED,SOBOL,4157,1308,643,0.264584784816950580044192520290,0.997008045611903037652723469364,5.380204204848037186081910476787,str\(\'ks-test\'\),str\(\'bounded\'\),794
71,71_0,FAILED,SOBOL,26,4341,3481,0.534262856118380979886239856569,0.428938221026211985442699869964,1.646072916499339067186724605563,str\(\'t-test\'\),str\(\'full\'\),4305
72,72_0,FAILED,SOBOL,520,932,1219,0.813952259290963375804039969807,0.754968056449666580220991818351,0.406415868804790081370015286666,str\(\'ks-test\'\),str\(\'full\'\),3287
73,73_0,FAILED,SOBOL,4044,3505,3373,0.109630049273371693585588104725,0.327976504303514937443964072372,6.632362747061998575759389495943,str\(\'t-test\'\),str\(\'bounded\'\),1808
74,74_0,FAILED,SOBOL,3319,2460,1946,0.579901817524805629489037528401,0.021004122875630856087658671072,9.904832206280902440198588010389,str\(\'ks-test\'\),str\(\'bounded\'\),1049
75,75_0,FAILED,SOBOL,2432,4398,4713,0.372020306130871170058327379593,0.591995920384302709571500145103,3.680847577455453656369854797958,str\(\'t-test\'\),str\(\'full\'\),3780
76,76_0,FAILED,SOBOL,1262,1581,2816,0.415739508019760228840766558278,0.745521658688783617208173382096,2.081417372793890496751600949210,str\(\'ks-test\'\),str\(\'bounded\'\),288
77,77_0,FAILED,SOBOL,2912,3988,59,0.629498176721856039783631331375,0.173543851049616920656504248655,5.894729349914938687504672998330,str\(\'t-test\'\),str\(\'full\'\),4892
78,78_0,FAILED,SOBOL,4765,53,4021,0.182586580645293011793128812315,0.479476828591898107667645945185,7.605617028312757987862369191134,str\(\'ks-test\'\),str\(\'full\'\),2878
