trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,1216,977,1,0.085280177012085914278749498862,0.914561970949173019818090324407,9.888247699022292280801593733486,str\(\'ks-test\'\),str\(\'bounded\'\),3046
1,1_0,FAILED,SOBOL,3946,4358,4077,0.595601985109969978005040047719,0.442643371652811756788992170186,2.665911494301631989856105064973,str\(\'t-test\'\),str\(\'full\'\),1463
2,2_0,FAILED,SOBOL,3409,1688,1911,0.325888063609600042713765333247,0.165208367962390190175625548363,2.043970225032418763788655269309,str\(\'ks-test\'\),str\(\'full\'\),900
3,3_0,FAILED,SOBOL,1753,3604,3467,0.867626746617257582627757983573,0.691046606147661779395718895103,5.521559917306528397773490723921,str\(\'t-test\'\),str\(\'bounded\'\),4983
4,4_0,FAILED,SOBOL,2197,2246,4693,0.892659987561404744127457888681,0.502859641481190888789853943308,7.632290978213773335880887316307,str\(\'ks-test\'\),str\(\'full\'\),607
5,5_0,FAILED,SOBOL,2651,3050,644,0.412825179904699302024795315447,0.108777004892006520786473799944,4.784514852296561926436879730318,str\(\'t-test\'\),str\(\'bounded\'\),4025
6,6_0,FAILED,SOBOL,4380,418,2843,0.634253613455221021411034598714,0.254212280618026864598135716733,0.393533901872113345277170992631,str\(\'ks-test\'\),str\(\'bounded\'\),3340
7,7_0,FAILED,SOBOL,469,4914,1274,0.185864234646782283677524105769,0.858372848372906394054382417380,6.995812993854285011252613912802,str\(\'t-test\'\),str\(\'full\'\),2422
8,8_0,FAILED,SOBOL,293,1320,2564,0.488133931769058115879289516670,0.385782673381268981227520953325,6.119606174327433478765669860877,str\(\'ks-test\'\),str\(\'full\'\),98
9,9_0,FAILED,SOBOL,4868,3389,1640,0.944167776456102725290975286043,0.974345566956326347707317836466,1.475446772271767237327821931103,str\(\'t-test\'\),str\(\'bounded\'\),4179
10,10_0,FAILED,SOBOL,3101,704,4425,0.228026257477700722287039525327,0.636379247417673488129707948247,3.351992159891873601651468561613,str\(\'ks-test\'\),str\(\'bounded\'\),3458
11,11_0,FAILED,SOBOL,2061,3964,981,0.715018226325511929708511615900,0.226698932930827129483830617573,9.250914138300343481091658759397,str\(\'t-test\'\),str\(\'full\'\),1877
12,12_0,FAILED,SOBOL,1265,12,2247,0.553882517188787448780828981398,0.033638090452179310319014149400,6.363284726051614548225643375190,str\(\'ks-test\'\),str\(\'bounded\'\),2503
13,13_0,FAILED,SOBOL,3584,4658,3198,0.004072976700961589840987997491,0.575073764875531190376989343349,1.094185849789530040609975003463,str\(\'t-test\'\),str\(\'full\'\),1584
14,14_0,FAILED,SOBOL,4082,2013,368,0.792789136132225347175506158237,0.781042497925460321717139322573,4.201267544576898771424566803034,str\(\'ks-test\'\),str\(\'full\'\),1053
15,15_0,FAILED,SOBOL,767,2694,3799,0.273909166796132919063921917768,0.324721320925280443336902180818,8.225379220686852121957599592861,str\(\'t-test\'\),str\(\'bounded\'\),4471
16,16_0,FAILED,SOBOL,836,2064,1873,0.684766378317028245881203929457,0.719071048049256256184946778376,0.810454905566759475910032506363,str\(\'t-test\'\),str\(\'full\'\),4358
17,17_0,FAILED,SOBOL,4318,2643,2802,0.135473520886152970499338721311,0.138167380176484583254037374900,6.782596735837870483010192401707,str\(\'ks-test\'\),str\(\'bounded\'\),276
18,18_0,FAILED,SOBOL,3644,278,1214,0.911983841503039016629372781608,0.470666638717055330065619500601,8.665440996655263461434515193105,str\(\'t-test\'\),str\(\'bounded\'\),2088
19,19_0,FAILED,SOBOL,1510,4392,4662,0.393622458757832638376328304730,0.887519825985655153033349051839,3.938286590031348399776334190392,str\(\'ks-test\'\),str\(\'full\'\),3671
20,20_0,FAILED,SOBOL,1964,834,3430,0.368481430204585180820942014179,0.823039784207940106064427254751,1.679869691408239384955436435121,str\(\'t-test\'\),str\(\'bounded\'\),1797
21,21_0,FAILED,SOBOL,2877,3834,2483,0.824912288123741732626115208404,0.288563786765560492675319892442,5.777201591872611174949270207435,str\(\'ks-test\'\),str\(\'full\'\),2714
22,22_0,FAILED,SOBOL,4782,1509,4030,0.096686503689736122413300734024,0.073443212030455465311185037081,8.890200951772742499201740429271,str\(\'t-test\'\),str\(\'full\'\),4649
23,23_0,FAILED,SOBOL,60,3200,604,0.584073582235723698374840751057,0.537210418932139832648431365669,3.538106251460499951377869365388,str\(\'ks-test\'\),str\(\'bounded\'\),1232
24,24_0,FAILED,SOBOL,509,544,4308,0.773128598343580941687491758785,0.191372817408293482976944233087,4.580045539309271163119774428196,str\(\'t-test\'\),str\(\'bounded\'\),1251
25,25_0,FAILED,SOBOL,4645,4789,237,0.293690803918987497489467841660,0.670737702207639840956687748985,7.974629946242087541463661182206,str\(\'ks-test\'\),str\(\'full\'\),2833
26,26_0,FAILED,SOBOL,2702,2429,3699,0.503035923780873472921371103439,0.939020180130377357663462589699,7.356460863948800721345833153464,str\(\'t-test\'\),str\(\'full\'\),4804
27,27_0,FAILED,SOBOL,2453,2866,2147,0.055041654670611027400095593975,0.420141856867820018273107507412,0.207373118459247052225435936634,str\(\'ks-test\'\),str\(\'bounded\'\),723
