trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,SOBOL,4734,509,3859,0.543564753532409628000721113494,0.6
1,1_0,FAILED,SOBOL,602,2682,582,0.345823709454387451245338525041,0.7
2,2_0,FAILED,SOBOL,1755,1377,3211,0.940921917419880626809458590287,0.3
3,3_0,FAILED,SOBOL,3541,4164,2426,0.134602039737626910653744971569,0.1
4,4_0,FAILED,SOBOL,2959,2351,669,0.069962350204586978841270195062,0.6
5,5_0,FAILED,SOBOL,2420,4592,4891,0.760950833866372744473949296662,0.00000001
6,6_0,FAILED,SOBOL,1192,707,1324,0.420180999213829620142490739454,0.00000000001
7,7_0,FAILED,SOBOL,4071,3583,3040,0.721618893831968311047830866301,0.9
8,8_0,FAILED,SOBOL,3991,1603,1803,0.836281804470345391244734400971,0.6
9,9_0,FAILED,SOBOL,641,3776,2581,0.020946784492582082304323876087,0.00001
10,10_0,FAILED,SOBOL,2028,283,1206,0.673302936326712342385292231484,0.0001
11,11_0,FAILED,SOBOL,2721,3071,4491,0.496759676827117802044853078769,0.000000001
12,12_0,FAILED,SOBOL,3311,944,3670,0.300676180467009557251145679402,0.001
13,13_0,FAILED,SOBOL,1365,3186,1948,0.622824537316337245584918491659,0.2
14,14_0,FAILED,SOBOL,59,2114,4260,0.215048761511221542264138406608,0.0000000001
15,15_0,FAILED,SOBOL,4657,4989,45,0.896534790754318189343052836193,0.1
16,16_0,FAILED,SOBOL,4430,2003,2725,0.395068633345887043617494782666,0.01
17,17_0,FAILED,SOBOL,281,4801,1625,0.711643418665975358017306007241,0.0000001
18,18_0,FAILED,SOBOL,1431,1152,4582,0.122392316710203882812457720775,0.00001
19,19_0,FAILED,SOBOL,3240,3315,994,0.798183026326820255214045118919,0.4
20,20_0,FAILED,SOBOL,2655,95,2126,0.997191323027014742130802460451,0.1
21,21_0,FAILED,SOBOL,2099,2961,3526,0.175795475164428366410263038233,0.000000001
22,22_0,FAILED,SOBOL,868,1732,257,0.522413635278120680460745006712,0.8
23,23_0,FAILED,SOBOL,3769,3984,4170,0.339687643647193893148283905248,0.7
24,24_0,FAILED,SOBOL,4312,910,365,0.221186682520434274579201883171,0.001
25,25_0,FAILED,SOBOL,945,3707,3964,0.917687835779041005679346199031,0.000000000001
