trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,SOBOL,3821,4834,1748,0.490891976773738858419449115900,0.4
1,1_0,FAILED,SOBOL,809,2287,3502,0.728585773197934050138258044171,0.0000000001
2,2_0,FAILED,SOBOL,2315,3341,468,0.249645866291597490205234066707,0.00000000001
3,3_0,FAILED,SOBOL,3058,809,4958,0.970927725302055510958609829686,0.0000001
4,4_0,FAILED,SOBOL,3249,3035,2955,0.816730701293796323980700435641,0.00001
5,5_0,FAILED,SOBOL,1499,493,2451,0.087582518037408588207348714150,0.000000001
6,6_0,FAILED,SOBOL,385,3891,4253,0.575301166541874353654861806717,0.1
7,7_0,FAILED,SOBOL,4870,1353,1016,0.329864720739424244211335235377,0.8
8,8_0,FAILED,SOBOL,4497,3471,3756,0.003122684786096215168310630261,0.2
9,9_0,FAILED,SOBOL,251,1013,831,0.778739997962489716165634945355,0.7
10,10_0,FAILED,SOBOL,1638,4644,2789,0.261790559655055377064059030090,0.4
11,11_0,FAILED,SOBOL,3617,2182,1972,0.523117647266015395324245673692,0.00001
12,12_0,FAILED,SOBOL,2577,4328,283,0.671963285282254241259636273753,0.00001
13,13_0,FAILED,SOBOL,2053,1875,4460,0.418485330626368501327760895947,0.000001
14,14_0,FAILED,SOBOL,1056,2537,1269,0.930568979281932162628265814419,0.9
15,15_0,FAILED,SOBOL,4317,70,3336,0.162681054878979908240310692236,0.5
16,16_0,FAILED,SOBOL,4092,2710,636,0.617136954514309721275822084863,0.0000000001
17,17_0,FAILED,SOBOL,1163,173,3960,0.348073875246569519603667686170,0.000000001
18,18_0,FAILED,SOBOL,1966,4196,2149,0.860150378214195376891382238682,0.000001
19,19_0,FAILED,SOBOL,2782,1653,2584,0.107862806694582105682123085444,0.9
20,20_0,FAILED,SOBOL,3529,4504,4663,0.198284675534814602837485608688,0.000000000001
21,21_0,FAILED,SOBOL,1843,1972,89,0.958314841594547051073504917440,0.5
22,22_0,FAILED,SOBOL,26,3651,3129,0.441358272470533830045269496622,0.00000001
23,23_0,FAILED,SOBOL,4604,1105,1447,0.718287735469639310181833025126,0.000000001
24,24_0,FAILED,SOBOL,4782,3994,3627,0.886654430011287297830335774051,0.00001
25,25_0,FAILED,SOBOL,590,1526,1632,0.141921003172174098327928959407,0.0001
26,26_0,FAILED,SOBOL,1274,2813,4829,0.629632505988702129151590725087,0.1
27,27_0,FAILED,SOBOL,3356,361,568,0.399796532040461893853233732443,0.6
