trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,SOBOL,0.520000000000000017763568394003,35.000000000000000000000000000000,0.410000000000000031086244689504,2455,2921,3626,False
1,1_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,4288,2215,171,True
2,2_0,COMPLETED,SOBOL,0.540000000000000035527136788005,49.000000000000000000000000000000,0.220000000000000001110223024625,2662,4154,4661,False
3,3_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,910,947,1870,True
4,4_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,28,4646,1105,True
5,5_0,COMPLETED,SOBOL,0.520000000000000017763568394003,7.000000000000000000000000000000,0.000000000000000000000000000000,3275,176,2690,False
6,6_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,4778,3379,2179,True
7,7_0,COMPLETED,SOBOL,0.600000000000000088817841970013,24.000000000000000000000000000000,0.609999999999999986677323704498,1608,1410,4349,False
8,8_0,COMPLETED,SOBOL,0.579999999999999960031971113494,24.000000000000000000000000000000,0.250000000000000000000000000000,1499,4055,2277,False
9,9_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,4580,846,3861,True
10,10_0,COMPLETED,SOBOL,0.540000000000000035527136788005,15.000000000000000000000000000000,0.770000000000000017763568394003,3619,2788,694,False
11,11_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,617,2079,2865,True
12,12_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,946,3591,4798,True
13,13_0,COMPLETED,SOBOL,0.579999999999999960031971113494,17.000000000000000000000000000000,0.930000000000000048849813083507,2943,1623,1343,False
14,14_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,3860,4822,3176,True
15,15_0,COMPLETED,SOBOL,0.680000000000000048849813083507,105.000000000000000000000000000000,0.989999999999999991118215802999,1941,356,385,False
16,16_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,2149,4932,3965,True
17,17_0,COMPLETED,SOBOL,0.520000000000000017763568394003,9.000000000000000000000000000000,0.000000000000000000000000000000,3922,482,2419,False
18,18_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,3046,3698,3085,True
19,19_0,COMPLETED,SOBOL,0.589999999999999968913755310496,19.000000000000000000000000000000,0.600000000000000088817841970013,1197,1750,876,False
20,20_0,COMPLETED,SOBOL,0.550000000000000044408920985006,15.000000000000000000000000000000,0.089999999999999996669330926125,369,2581,1484,False
21,21_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,3517,1895,4899,True
22,22_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13.000000000000000000000000000000,0.690000000000000057731597280508,4516,3849,565,False
23,23_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,1288,661,3394,True
24,24_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,1856,3251,155,True
25,25_0,COMPLETED,SOBOL,0.609999999999999986677323704498,33.000000000000000000000000000000,0.849999999999999977795539507497,4879,1304,3571,False
26,26_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,3340,4517,1581,True
27,27_0,COMPLETED,SOBOL,0.520000000000000017763568394003,6.000000000000000000000000000000,0.000000000000000000000000000000,239,71,4410,False
28,28_0,COMPLETED,SOBOL,0.550000000000000044408920985006,43.000000000000000000000000000000,0.119999999999999995559107901499,701,4340,2637,False
29,29_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,2600,1151,1092,True
30,30_0,COMPLETED,SOBOL,0.570000000000000062172489379009,37.000000000000000000000000000000,0.609999999999999986677323704498,4184,3108,4101,False
