trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,,,,3488,28,454,601,1357
1,1_0,ABANDONED,SOBOL,,,,1215,101,178,1190,659
2,2_0,ABANDONED,SOBOL,,,,1777,58,322,238,75
3,3_0,ABANDONED,SOBOL,,,,4187,67,44,1585,1881
4,4_0,ABANDONED,SOBOL,,,,4446,41,235,1945,1669
5,5_0,ABANDONED,SOBOL,,,,2171,80,396,356,346
6,6_0,ABANDONED,SOBOL,,,,235,15,104,1340,884
7,7_0,ABANDONED,SOBOL,,,,2643,118,262,993,1066
8,8_0,ABANDONED,SOBOL,,,,3045,48,88,448,585
9,9_0,ABANDONED,SOBOL,,,,458,73,310,1858,1402
10,10_0,ABANDONED,SOBOL,,,,2261,22,188,843,1862
11,11_0,COMPLETED,SOBOL,0.170000000000000012212453270877,290.000000000000000000000000000000,0.000000000000000000000000000000,4981,111,412,1495,186
12,12_0,ABANDONED,SOBOL,,,,3962,5,369,1100,395
13,13_0,ABANDONED,SOBOL,,,,1377,124,28,690,1587
14,14_0,ABANDONED,SOBOL,,,,678,35,470,1735,1173
15,15_0,ABANDONED,SOBOL,,,,3400,90,130,84,872
16,16_0,ABANDONED,SOBOL,,,,3166,38,283,1293,1970
17,17_0,COMPLETED,SOBOL,0.170000000000000012212453270877,205.000000000000000000000000000000,0.000000000000000000000000000000,912,95,68,883,44
18,18_0,ABANDONED,SOBOL,,,,1455,0,431,1930,692
19,19_0,ABANDONED,SOBOL,,,,3884,121,217,278,1259
20,20_0,ABANDONED,SOBOL,,,,4747,19,2,129,1034
21,21_0,ABANDONED,SOBOL,,,,2495,106,348,1538,983
22,22_0,ABANDONED,SOBOL,,,,536,53,150,523,257
23,23_0,ABANDONED,SOBOL,,,,2967,76,498,1175,1699
24,24_0,FAILED,SOBOL,,,,2721,10,165,1627,212
25,25_0,ABANDONED,SOBOL,,,,157,115,452,38,1769
26,26_0,ABANDONED,SOBOL,,,,1937,44,49,1021,1497
