trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,,,,3433,12,38,637,784
1,1_0,ABANDONED,SOBOL,,,,738,18,275,1834,1433
2,2_0,ABANDONED,SOBOL,,,,1596,4,202,467,1584
3,3_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1692.000000000000000000000000000000,0.000000000000000000000000000000,4294,25,485,1003,202
4,4_0,ABANDONED,SOBOL,,,,4779,0,316,1360,414
5,5_0,ABANDONED,SOBOL,,,,2478,20,123,170,1811
6,6_0,ABANDONED,SOBOL,,,,210,9,418,1536,1205
7,7_0,ABANDONED,SOBOL,,,,2515,16,146,992,573
8,8_0,ABANDONED,SOBOL,,,,2934,6,388,113,1263
9,9_0,ABANDONED,SOBOL,,,,553,26,175,1422,895
10,10_0,FAILED,SOBOL,,,,2034,10,349,788,119
11,11_0,ABANDONED,SOBOL,,,,4422,17,89,1744,1720
12,12_0,ABANDONED,SOBOL,,,,4007,7,228,1884,1883
13,13_0,ABANDONED,SOBOL,,,,1394,14,461,583,267
14,14_0,ABANDONED,SOBOL,,,,1000,2,2,1215,748
15,15_0,ABANDONED,SOBOL,,,,3620,22,312,252,1099
16,16_0,COMPLETED,SOBOL,0.140000000000000013322676295502,1713.000000000000000000000000000000,0.000000000000000000000000000000,3576,3,165,1610,158
17,17_0,ABANDONED,SOBOL,,,,1201,23,397,920,1556
18,18_0,ABANDONED,SOBOL,,,,1429,6,63,1286,1457
19,19_0,ABANDONED,SOBOL,,,,3817,14,374,243,825
20,20_0,ABANDONED,SOBOL,,,,4612,11,452,387,537
21,21_0,ABANDONED,SOBOL,,,,2000,17,238,1085,1185
22,22_0,ABANDONED,SOBOL,,,,353,5,287,717,1829
23,23_0,ABANDONED,SOBOL,,,,2978,25,28,1753,446
24,24_0,ABANDONED,SOBOL,,,,2784,8,253,1135,1639
25,25_0,ABANDONED,SOBOL,,,,98,15,59,333,22
26,26_0,ABANDONED,SOBOL,,,,2199,1,479,1965,996
27,27_0,ABANDONED,SOBOL,,,,4901,21,208,501,1347
28,28_0,ABANDONED,SOBOL,,,,4172,3,102,862,1010
29,29_0,ABANDONED,SOBOL,,,,1874,24,338,1671,643
30,30_0,ABANDONED,SOBOL,,,,850,13,141,39,374
31,31_0,ABANDONED,SOBOL,,,,3164,19,424,1494,1976
32,32_0,ABANDONED,SOBOL,,,,3241,4,359,1796,599
33,33_0,ABANDONED,SOBOL,,,,930,24,80,737,1247
34,34_0,ABANDONED,SOBOL,,,,1797,12,383,1120,1767
35,35_0,ABANDONED,SOBOL,,,,4092,19,181,414,385
36,36_0,ABANDONED,SOBOL,,,,4981,9,11,208,220
37,37_0,ABANDONED,SOBOL,,,,2276,16,302,1259,1618
38,38_0,ABANDONED,SOBOL,,,,19,0,222,877,1396
39,39_0,ABANDONED,SOBOL,,,,2707,20,466,1590,763
40,40_0,ABANDONED,SOBOL,,,,3055,10,193,1459,1073
41,41_0,ABANDONED,SOBOL,,,,432,17,496,12,707
42,42_0,COMPLETED,SOBOL,0.100000000000000005551115123126,391.000000000000000000000000000000,0.000000000000000000000000000000,1923,6,44,1628,311
43,43_0,ABANDONED,SOBOL,,,,4533,26,269,842,1912
44,44_0,ABANDONED,SOBOL,,,,3896,1,407,544,1702
45,45_0,ABANDONED,SOBOL,,,,1505,22,156,1984,85
46,46_0,ABANDONED,SOBOL,,,,1121,8,322,368,932
47,47_0,ABANDONED,SOBOL,,,,3499,14,116,1162,1283
48,48_0,ABANDONED,SOBOL,,,,3699,7,471,957,475
49,49_0,ABANDONED,SOBOL,,,,1078,13,219,1509,1873
50,50_0,ABANDONED,SOBOL,,,,1315,2,260,127,1144
51,51_0,ABANDONED,SOBOL,,,,3930,23,55,1340,511
52,52_0,ABANDONED,SOBOL,,,,4498,5,130,1046,846
53,53_0,ABANDONED,SOBOL,,,,2114,25,432,487,1494
54,54_0,ABANDONED,SOBOL,,,,477,11,106,1869,1522
55,55_0,COMPLETED,SOBOL,0.100000000000000005551115123126,475.000000000000000000000000000000,0.000000000000000000000000000000,2855,18,331,664,141
56,56_0,ABANDONED,SOBOL,,,,2595,1,74,295,1947
57,57_0,ABANDONED,SOBOL,,,,287,21,365,1235,330
58,58_0,ABANDONED,SOBOL,,,,2398,9,160,618,684
59,59_0,ABANDONED,SOBOL,,,,4702,15,405,1911,1036
60,60_0,ABANDONED,SOBOL,,,,4371,12,295,1709,1326
61,61_0,ABANDONED,SOBOL,,,,1675,20,16,761,959
62,62_0,ABANDONED,SOBOL,,,,661,3,444,1378,56
63,63_0,ABANDONED,SOBOL,,,,3354,23,243,93,1656
64,64_0,ABANDONED,SOBOL,,,,3315,0,457,1220,1221
65,65_0,ABANDONED,SOBOL,,,,700,20,232,310,620
66,66_0,ABANDONED,SOBOL,,,,1712,10,309,1926,399
67,67_0,ABANDONED,SOBOL,,,,4334,16,6,603,1765
68,68_0,ABANDONED,SOBOL,,,,4740,11,179,776,1600
69,69_0,FAILED,SOBOL,,,,2361,19,384,1695,249
70,70_0,ABANDONED,SOBOL,,,,248,4,93,78,769
71,71_0,ABANDONED,SOBOL,,,,2633,24,345,1393,1386
72,72_0,ABANDONED,SOBOL,,,,2818,8,119,1524,701
73,73_0,ABANDONED,SOBOL,,,,514,14,320,943,1083
74,74_0,ABANDONED,SOBOL,,,,2153,1,142,1325,1929
75,75_0,ABANDONED,SOBOL,,,,4460,22,422,141,282
76,76_0,COMPLETED,SOBOL,0.100000000000000005551115123126,513.000000000000000000000000000000,0.000000000000000000000000000000,3968,6,278,473,72
77,77_0,ABANDONED,SOBOL,,,,1277,26,35,1061,1704
78,78_0,ABANDONED,SOBOL,,,,1040,10,490,678,1309
79,79_0,ABANDONED,SOBOL,,,,3736,17,198,1854,910
80,80_0,ABANDONED,SOBOL,,,,3458,11,342,26,1844
81,81_0,ABANDONED,SOBOL,,,,1162,18,98,1445,493
