start_time,end_time,run_time,program_string,recent_samples_size,n_samples,const,max_depth,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744565667,1744565680,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 2016 const 10 max_depth 1 threshold 0.12265981247631157,5000,2016,10.0,1,0.1226598124763115,0.68,4,0,,i7178,4,483.08984375,482.91015625,-1,0.9309198374584412,4331191
1744565667,1744565680,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 4332 const 0.001 max_depth 20 threshold 0.001,1,4332,0.001,20,0.001,0.71,2,0,,i7183,2,483.04296875,482.8763020833333,-1,9.235315847801996e-05,4331190
1744565687,1744565699,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 4630 const 10 max_depth 20 threshold 0.999,5000,4630,10.0,20,0.999,0.72,3,0,,i7186,3,482.77734375,482.6041666666667,-1,0.4617657923900997,4331193
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 4570 const 0.001 max_depth 1 threshold 0.999,5000,4570,0.001,1,0.999,0.62,3,0,,i7183,3,483.265625,482.125,-1,0.4617657923900997,4331195
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 2907 const 10 max_depth 1 threshold 0.999,1,2907,10.0,1,0.999,0.67,1,0,,i7178,1,484.0859375,483.8984375,-1,0.0001616180273365,4331196
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 2731 const 10 max_depth 1 threshold 0.001,5000,2731,10.0,1,0.001,0.7,3,0,,i7178,3,483.81640625,483.6419270833333,-1,0.8080901366826746,4331198
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2330 n_samples 1041 const 0.001 max_depth 20 threshold 0.999,2330,1041,0.001,20,0.999,0.7,3,0,,i7178,3,483.19140625,483.0026041666667,-1,0.9613963797561876,4331199
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4882 n_samples 3402 const 10 max_depth 1 threshold 0.6871282076052331,4882,3402,10.0,1,0.6871282076052331,0.67,3,0,,i7184,3,483.36328125,483.1640625,-1,0.6763021795345401,4331194
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 2501 const 0.001 max_depth 1 threshold 0.001,5000,2501,0.001,1,0.001,0.71,3,0,,i7177,3,483.2109375,483.0377604166667,-1,0.9235315847801996,4331201
1744565687,1744565700,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 49 const 10 max_depth 1 threshold 0.001,1,49,10.0,1,0.001,0.72,2,0,,i7177,2,483.51953125,483.3489583333333,-1,0.0101819357222016,4331200
1744565688,1744565700,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1664 n_samples 2305 const 0.001 max_depth 20 threshold 0.001,1664,2305,0.001,20,0.001,0.68,3,0,,i7176,3,482.46484375,482.2708333333333,-1,0.3457702253417067,4331202
1744565688,1744565701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 4922 const 10 max_depth 20 threshold 0.999,1,4922,10.0,20,0.999,0.66,2,0,,i7171,2,484.16796875,483.9557291666667,-1,9.235315847801996e-05,4331205
1744565688,1744565701,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 3007 const 0.001 max_depth 1 threshold 0.001,1,3007,0.001,1,0.001,0.71,2,0,,i7175,2,483.00390625,482.8359375,-1,0.0001616180273365,4331203
1744565687,1744565706,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 994 const 0.001 max_depth 1 threshold 0.999,5000,994,0.001,1,0.999,0.71,7,0,,i7178,7,483.37890625,483.19921875,-1,0.9638899150350942,4331197
1744565687,1744565706,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4926 n_samples 787 const 0.001 max_depth 1 threshold 0.5799289744477707,4926,787,0.001,1,0.5799289744477707,0.71,8,0,,i7172,8,483.89453125,483.68359375,-1,0.981206132249723,4331204
1744565658,1744565709,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 4187 const 10 max_depth 20 threshold 0.999,1,4187,10.0,20,0.999,0.67,37,0,,i7184,37,483.640625,482.865234375,-1,0.0001154414480975,4331189
1744565706,1744565719,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4652 n_samples 3647 const 0.001 max_depth 1 threshold 0.001,4652,3647,0.001,1,0.001,0.69,3,0,,i7186,3,483.4296875,483.25390625,-1,0.537033616549686,4331206
