start_time,end_time,run_time,program_string,recent_samples_size,n_samples,const,max_depth,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745670151,1745670737,586,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3962 n_samples 1798 const 0.001 max_depth 1 threshold 0.001,3962,1798,0.001,1,0.001,0.18,573,0,,i7180,573,947.296875,743.978515625,-1,0.9987974585659772,4765156
1745669452,1745671036,1584,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4470 n_samples 318 const 0.001 max_depth 14 threshold 0.001,4470,318,0.001,14,0.001,0.38,1564,0,,i7180,1564,868.77734375,770.8504569575472,-1,0.9999770042695406,4764839
1745670783,1745671494,711,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 2351 const 2.796944463018191 max_depth 5 threshold 0.999,5000,2351,2.796944463018191,5,0.999,0.15,694,0,,i7180,694,953.66796875,715.7819552951389,-1,0.9985747156081942,4765405
1745671432,1745671992,560,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4032 n_samples 2045 const 0.001 max_depth 1 threshold 0.999,4032,2045,0.001,1,0.999,0.17,545,0,,i7180,545,946.25,728.6245888157895,-1,0.985364344804295,4765644
1745672172,1745672806,634,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1346 n_samples 742 const 0.001 max_depth 8 threshold 0.999,1346,742,0.001,8,0.999,0.26,621,0,,i7179,621,932.39453125,767.7257690429688,-1,0.9067189466332222,4765906
1745672892,1745673353,461,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4004 n_samples 2086 const 5.55796857849551 max_depth 1 threshold 0.001,4004,2086,5.55796857849551,1,0.001,0.17,446,0,,i7176,446,960.890625,733.9956781914893,-1,0.958662243670876,4766151
1745673613,1745674195,582,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4845 n_samples 3764 const 0.001 max_depth 20 threshold 0.001,4845,3764,0.001,20,0.001,0.11,568,0,,i7176,568,777.1875,618.2794623940678,-1,0.6422707517304287,4766391
1745674262,1745675432,1170,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1403 n_samples 344 const 4.581439833832588 max_depth 4 threshold 0.999,1403,344,4.581439833832588,4,0.999,0.36,1154,0,,i7176,1154,865.63671875,753.9518339512712,-1,0.9999256020485138,4766585
1745675012,1745675579,567,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 732 n_samples 310 const 0.001 max_depth 8 threshold 0.001,732,310,0.001,8,0.001,0.31,552,0,,i7176,552,919.265625,776.7756600215517,-1,0.9999715935094324,4766802
1745676292,1745676744,452,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1437 n_samples 1153 const 4.045774258873697 max_depth 3 threshold 0.001,1437,1153,4.045774258873697,3,0.001,0.2,437,0,,i7186,437,917.65625,720.0505264945652,-1,0.6226689205488495,4768130
