start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744547355,1744547386,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 49 feature_id 0 batch_size 1746 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 82,49,0,1746,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,82,0.17,13.0,0,,i7129,13.0,792.09765625,791.9814453125,-1.0,0.0,4324310
1744547355,1744547386,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 38 feature_id 0 batch_size 472 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 25,38,0,472,str\(\'H\'\),1,str\(\'stdev\'\),0.001,25,0.17,10.0,0,,i7129,10.0,793.1484375,792.984375,-1.0,0.3566750629722922,4324306
1744547355,1744547387,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 0 batch_size 1 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 1,1,0,1,str\(\'H\'\),2,str\(\'stdev\'\),0.999,1,0.17,21.0,0,,i7131,21.0,793.078125,792.9453125,-1.0,0.2080604534005037,4324303
1744547371,1744547403,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1264 feature_id 0 batch_size 1165 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 82,1264,0,1165,str\(\'H\'\),1,str\(\'stdev\'\),0.999,82,0.17,20.0,0,,i7136,20.0,791.60546875,791.521875,-1.0,0.3212426532325776,4324312
1744547384,1744547404,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 104 feature_id 0 batch_size 2326 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.999 subsets 52,104,0,2326,str\(\'H\'\),3,str\(\'tstat\'\),0.999,52,0.17,8.0,0,,i7133,8.0,792.421875,792.171875,-1.0,0.1952980688497061,4324318
1744547385,1744547404,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 127 batch_size 5000 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 6,1,127,5000,str\(\'H\'\),1,str\(\'stdev\'\),0.999,6,0.17,9.0,0,,i7128,9.0,791.13671875,790.99609375,-1.0,0.0,4324322
1744547385,1744547410,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 73 feature_id 0 batch_size 1891 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 77,73,0,1891,str\(\'KL\'\),1,str\(\'stdev\'\),0.001,77,0.17,15.0,0,,i7134,15.0,793.0,792.87109375,-1.0,0.1587741393786733,4324315
1744547391,1744547410,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 149 feature_id 0 batch_size 2599 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 1,149,0,2599,str\(\'KL\'\),3,str\(\'stdev\'\),0.999,1,0.17,8.0,0,,i7128,8.0,791.21875,791.0455729166666,-1.0,0.2182199832073887,4324324
1744547415,1744547434,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 127 batch_size 5000 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 1,1,127,5000,str\(\'H\'\),3,str\(\'stdev\'\),0.001,1,0.17,7.0,0,,i7133,7.0,792.29296875,792.12109375,-1.0,0.0,4324330
1744547415,1744547434,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4619 feature_id 0 batch_size 3076 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 1,4619,0,3076,str\(\'H\'\),2,str\(\'tstat\'\),0.999,1,0.17,9.0,0,,i7129,9.0,791.64453125,791.3515625,-1.0,0.3486985726280436,4324333
1744547415,1744547434,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 127 batch_size 5000 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 14,1,127,5000,str\(\'H\'\),1,str\(\'stdev\'\),0.001,14,0.17,7.0,0,,i7126,7.0,791.7578125,791.5768229166666,-1.0,0.0,4324336
