start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1750031395,1750031946,551,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 188 significance 0.4003881788291037 gamma 0.18155453157611193 max_node_size 2589 max_tree_depth 1882 max_time_stationary 1745,188,0.4003881788291037,0.1815545315761119,2589,1882,1745,,,1,,i7168,5451504,,,,,
1750031420,1750031952,532,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 310 significance 0.5565736327134073 gamma 0.4397030307427049 max_node_size 4179 max_tree_depth 1018 max_time_stationary 2453,310,0.5565736327134073,0.4397030307427049,4179,1018,2453,,,1,,i7164,5451518,,,,,
1750031434,1750031960,526,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3726 significance 0.25372834522277116 gamma 0.3028762176968157 max_node_size 2920 max_tree_depth 2595 max_time_stationary 4178,3726,0.2537283452227711,0.3028762176968157,2920,2595,4178,,,1,,i7162,5451531,,,,,
1750031463,1750031963,500,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4090 significance 0.4582104043271393 gamma 0.10032171999663114 max_node_size 490 max_tree_depth 1160 max_time_stationary 3061,4090,0.4582104043271393,0.1003217199966311,490,1160,3061,,,1,,i7158,5451547,,,,,
1750031451,1750031966,515,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1425 significance 0.07812874594144523 gamma 0.35024128843285146 max_node_size 2391 max_tree_depth 1792 max_time_stationary 2062,1425,0.0781287459414452,0.3502412884328514,2391,1792,2062,,,1,,i7160,5451538,,,,,
1750031463,1750031982,519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 386 significance 0.3689803438466042 gamma 0.9946260851901024 max_node_size 3153 max_tree_depth 2755 max_time_stationary 1440,386,0.3689803438466042,0.9946260851901024,3153,2755,1440,,,1,,i7157,5451557,,,,,
1750031438,1750031989,551,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 766 significance 0.15055495071411132 gamma 0.05364269664697349 max_node_size 4808 max_tree_depth 1450 max_time_stationary 645,766,0.1505549507141113,0.0536426966469734,4808,1450,645,,,1,,i7163,5451527,,,,,
1750031471,1750031997,526,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2606 significance 0.7010506148040294 gamma 0.3321160706635565 max_node_size 79 max_tree_depth 3403 max_time_stationary 1265,2606,0.7010506148040294,0.3321160706635565,79,3403,1265,,,1,,i7155,5451570,,,,,
1750031463,1750032001,538,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4875 significance 0.8648715141583234 gamma 0.39258952577225864 max_node_size 1150 max_tree_depth 1596 max_time_stationary 3785,4875,0.8648715141583234,0.3925895257722586,1150,1596,3785,,,1,,i7157,5451548,,,,,
1750031451,1750032021,570,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1159 significance 0.9628730664495379 gamma 0.5152332942858339 max_node_size 2553 max_tree_depth 3186 max_time_stationary 408,1159,0.962873066449538,0.5152332942858339,2553,3186,408,,,1,,i7158,5451541,,,,,
