start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744387829,1744387855,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 143 significance 0.999 gamma 0.6273173841986202 max_node_size 1 max_tree_depth 2120 max_time_stationary 2027,143,0.999,0.6273173841986202,1,2120,2027,0.73,11,0,,i7056,11,519.359375,505.4091796875,-1,0.0,4238217
1744387830,1744387856,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 258 significance 0.999 gamma 0.999 max_node_size 1 max_tree_depth 1 max_time_stationary 5000,258,0.999,0.999,1,1,5000,0.73,13,0,,i7083,13,524.97265625,524.890625,-1,0.0,4238208
1744387835,1744387860,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 206 significance 0.001 gamma 0.999 max_node_size 1 max_tree_depth 5000 max_time_stationary 1237,206,0.001,0.999,1,5000,1237,0.73,11,0,,i7056,11,496.98046875,496.8583984375,-1,0.0,4238215
1744387836,1744387868,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 995 significance 0.001 gamma 0.999 max_node_size 1 max_tree_depth 5000 max_time_stationary 5000,995,0.001,0.999,1,5000,5000,0.73,10,0,,i7065,10,524.4375,524.2747395833334,-1,0.0,4238209
1744387829,1744388796,967,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 163 significance 0.001 gamma 0.999 max_node_size 3342 max_tree_depth 5000 max_time_stationary 2643,163,0.001,0.999,3342,5000,2643,0.71,955,0,,i7056,955,658.63671875,516.884127869898,-1,0.4120304474286775,4238218
1744387834,1744388816,982,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 983 significance 0.001 gamma 0.999 max_node_size 5000 max_tree_depth 5000 max_time_stationary 5000,983,0.001,0.999,5000,5000,5000,0.72,973,0,,i7111,973,713.2578125,561.6191015625,-1,0.3407389071105885,4238204
1744387831,1744390163,2332,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 190 significance 0.001 gamma 0.999 max_node_size 2915 max_tree_depth 1 max_time_stationary 1,190,0.001,0.999,2915,1,1,0.7,2320,0,,i7108,2320,624.05078125,586.6526943108975,-1,0.99888606968253,4238205
1744387829,1744392149,4320,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 181 significance 0.001 gamma 0.999 max_node_size 5000 max_tree_depth 1 max_time_stationary 1,181,0.001,0.999,5000,1,1,0.7,4307,0,,i7085,4307,674.73828125,618.5985403435335,-1,0.9556903273717432,4238207
1744413834,1744413853,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2367 significance 0.999 gamma 0.999 max_node_size 1 max_tree_depth 5000 max_time_stationary 5000,2367,0.999,0.999,1,5000,5000,0.73,10,0,,i7166,10,524.40234375,524.3098958333334,-1,0.0,4250241
1744413834,1744413853,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2352 significance 0.999 gamma 0.999 max_node_size 1 max_tree_depth 1 max_time_stationary 5000,2352,0.999,0.999,1,1,5000,0.73,10,0,,i7173,10,524.26953125,524.1884765625,-1,0.0,4250239
