start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744591554,1744591573,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2594 significance 0.001 gamma 0.999 max_node_size 3621 max_tree_depth 1 max_time_stationary 5000,2594,0.001,0.999,3621,1,5000,0.91,3,0,,i7111,3,752.3984375,751.2473958333334,-1,0.0112359550561797,4337103
1744591554,1744591574,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2255 significance 0.001 gamma 0.999 max_node_size 1 max_tree_depth 4238 max_time_stationary 1342,2255,0.001,0.999,1,4238,1342,0.91,1,0,,i7112,1,752.41796875,752.3046875,-1,0.0,4337098
1744591554,1744591574,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4169 significance 0.001 gamma 0.001 max_node_size 1 max_tree_depth 1 max_time_stationary 3465,4169,0.001,0.001,1,1,3465,0.91,1,0,,i7112,1,753.80859375,753.6953125,-1,0.0,4337100
1744591558,1744591578,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1 significance 0.001 gamma 0.001 max_node_size 5000 max_tree_depth 2692 max_time_stationary 4343,1,0.001,0.001,5000,2692,4343,0.91,7,0,,i7113,7,753.9375,753.6315104166666,-1,0.1947565543071161,4337104
1744591559,1744591585,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4481 significance 0.999 gamma 0.999 max_node_size 3858 max_tree_depth 5000 max_time_stationary 2123,4481,0.999,0.999,3858,5000,2123,0.91,9,0,,i7110,9,747.42578125,747.2552083333334,-1,0.0,4337106
1744591554,1744591586,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3418 significance 0.001 gamma 0.999 max_node_size 2073 max_tree_depth 3428 max_time_stationary 5000,3418,0.001,0.999,2073,3428,5000,0.91,8,0,,i7112,8,754.796875,753.2747395833334,-1,0.0,4337099
1744591579,1744591592,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3357 significance 0.7256164063678384 gamma 0.999 max_node_size 1 max_tree_depth 3187 max_time_stationary 1,3357,0.7256164063678384,0.999,1,3187,1,0.91,1,0,,i7113,1,753.4296875,753.3190104166666,-1,0.0,4337109
1744591583,1744591596,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1891 significance 0.15055156725107938 gamma 0.001 max_node_size 1 max_tree_depth 5000 max_time_stationary 4519,1891,0.1505515672510793,0.001,1,5000,4519,0.91,1,0,,i7111,1,753.93359375,753.8216145833334,-1,0.0,4337114
1744591584,1744591596,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2567 significance 0.1486475075869438 gamma 0.999 max_node_size 1 max_tree_depth 3389 max_time_stationary 3323,2567,0.1486475075869438,0.999,1,3389,3323,0.91,1,0,,i7112,1,754.265625,754.15234375,-1,0.0,4337112
1744591539,1744591602,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3587 significance 0.001 gamma 0.001 max_node_size 3729 max_tree_depth 1 max_time_stationary 1,3587,0.001,0.001,3729,1,1,0.92,45,0,,i7114,45,753.7890625,748.98046875,-1,0.4850187265917603,4337088
