start_time,end_time,run_time,program_string,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746193304,1746193707,403,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 4414 n_samples 4850 confidence 0.05 feature_proportion 0.001 n_clusters 50,4414,4850,0.001,50,0.05,0.69,389.0,0,,i7176,389.0,1572.875,1320.381288109756,-1.0,0.8995530317160957,4903283
1746194104,1746194362,258,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3299 n_samples 4895 confidence 0.05 feature_proportion 0.999 n_clusters 1,3299,4895,0.999,1,0.05,0.69,243.0,0,,i7173,243.0,1420.015625,1206.468605324074,-1.0,0.6666234896686078,4903472
1746194883,1746194896,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2389 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 50,2389,1,0.999,50,0.1,,,1,,i7171,,,,,,4903632
1746195625,1746195638,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2390 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 1,2390,1,0.999,1,0.1,,,1,,i7186,,,,,,4903776
1746196303,1746196316,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2386 n_samples 1 confidence 0.25 feature_proportion 0.999 n_clusters 1,2386,1,0.999,1,0.25,,,1,,i7169,,,,,,4903909
1746197523,1746197536,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2388 n_samples 1 confidence 0.25 feature_proportion 0.999 n_clusters 50,2388,1,0.999,50,0.25,,,1,,i7167,,,,,,4904139
1746198204,1746198216,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2390 n_samples 1 confidence 0.025 feature_proportion 0.999 n_clusters 1,2390,1,0.999,1,0.025,,,1,,i7167,,,,,,4904259
1746198804,1746198817,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2385 n_samples 1 confidence 0.25 feature_proportion 0.999 n_clusters 1,2385,1,0.999,1,0.25,,,1,,i7180,,,,,,4904371
1746199503,1746199516,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2386 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 1,2386,1,0.999,1,0.1,,,1,,i7166,,,,,,4904524
1746196884,1746199597,2713,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3293 n_samples 131 confidence 0.005 feature_proportion 0.999 n_clusters 1,3293,131,0.999,1,0.005,0.81,2696.0,0,,i7179,2696.0,1637.80859375,1509.4698558134191,-1.0,0.9997875691695508,4904011
