start_time,end_time,run_time,program_string,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746192695,1746192818,123,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 393 confidence 0.005 feature_proportion 0.001 n_clusters 32,5000,393,0.001,32,0.005,0.65,109.0,0,,i7180,109.0,858.16015625,808.2923677884615,-1.0,0.998320738874895,4903115
1746192815,1746192861,46,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 2060 confidence 0.25 feature_proportion 0.001 n_clusters 50,5000,2060,0.001,50,0.25,0.61,29.0,0,,i7180,29.0,791.5546875,781.63515625,-1.0,0.8648194794290512,4903147
1746192986,1746193024,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 2017 confidence 0.1 feature_proportion 0.999 n_clusters 50,5000,2017,0.999,50,0.1,0.59,22.0,0,,i7179,22.0,790.75390625,782.765625,-1.0,0.846767422334173,4903187
1746193146,1746193191,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 1585 confidence 0.25 feature_proportion 0.999 n_clusters 50,5000,1585,0.999,50,0.25,0.61,31.0,0,,i7179,31.0,794.09765625,788.3600260416666,-1.0,0.9315701091519732,4903235
1746193343,1746193369,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1 n_samples 773 confidence 0.05 feature_proportion 0.999 n_clusters 50,1,773,0.999,50,0.05,0.55,11.0,0,,i7176,11.0,801.71875,796.2177734375,-1.0,0.0011754827875734,4903290
1746193505,1746193537,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 3145 confidence 0.001 feature_proportion 0.999 n_clusters 50,5000,3145,0.999,50,0.001,0.58,19.0,0,,i7179,19.0,792.72265625,786.380859375,-1.0,0.6838790931989924,4903329
1746193714,1746193740,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 4671 confidence 0.05 feature_proportion 0.999 n_clusters 50,5000,4671,0.999,50,0.05,0.54,13.0,0,,i7174,13.0,792.08203125,791.064453125,-1.0,0.4198152812762384,4903382
1746193924,1746194001,77,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3969 n_samples 727 confidence 0.25 feature_proportion 0.999 n_clusters 50,3969,727,0.999,50,0.25,0.6,65.0,0,,i7174,65.0,834.625,795.2890625,-1.0,0.9766582703610412,4903428
1746194143,1746194200,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3767 n_samples 805 confidence 0.005 feature_proportion 0.999 n_clusters 23,3767,805,0.999,23,0.005,0.6,45.0,0,,i7172,45.0,817.13671875,793.2550223214286,-1.0,0.9462636439966414,4903483
1746194343,1746194362,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1 n_samples 4646 confidence 0.1 feature_proportion 0.001 n_clusters 50,1,4646,0.001,50,0.1,0.52,6.0,0,,i7172,6.0,796.6953125,792.5872395833334,-1.0,8.396305625524769e-05,4903521
