start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745398959,1745399000,41,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 226 recent_samples_proportion 0.001 threshold 0.09821466493404031,5000,226,0.001,0.0982146649340403,,,1,,i7172,4614720,,,,,
1745399352,1745399365,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4820 n_reference_samples 1335 recent_samples_proportion 0.001 threshold 0.044159320690848505,4820,1335,0.001,0.0441593206908485,,,1,,i7178,4616271,,,,,
1745399599,1745399613,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4756 n_reference_samples 1284 recent_samples_proportion 0.001 threshold 0.4787163264586339,4756,1284,0.001,0.4787163264586339,,,1,,i7178,4616492,,,,,
1745400170,1745400184,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 400 recent_samples_proportion 0.001 threshold 0.001,5000,400,0.001,0.001,,,1,,i7186,4616932,,,,,
1745400570,1745400583,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4339 n_reference_samples 1297 recent_samples_proportion 0.001 threshold 0.5284424500507191,4339,1297,0.001,0.5284424500507191,,,1,,i7186,4617263,,,,,
1745401051,1745401064,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4944 n_reference_samples 230 recent_samples_proportion 0.001 threshold 0.4093613657193192,4944,230,0.001,0.4093613657193192,,,1,,i7186,4617654,,,,,
1745401792,1745401805,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 1314 recent_samples_proportion 0.001 threshold 0.001,5000,1314,0.001,0.001,,,1,,i7185,4618444,,,,,
1745402282,1745402295,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 927 recent_samples_proportion 0.001 threshold 0.001,5000,927,0.001,0.001,,,1,,i7185,4618957,,,,,
1745402518,1745402532,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4483 n_reference_samples 1323 recent_samples_proportion 0.001 threshold 0.05208261542503807,4483,1323,0.001,0.052082615425038,,,1,,i7186,4619144,,,,,
1745403686,1745403699,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 1294 recent_samples_proportion 0.001 threshold 0.04414118476760539,5000,1294,0.001,0.0441411847676053,,,1,,i7186,4619332,,,,,
1745403685,1745403767,82,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4865 n_reference_samples 1425 recent_samples_proportion 0.001 threshold 0.001,4865,1425,0.001,0.001,,,1,,i7181,4619271,,,,,
1745404290,1745404303,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 794 recent_samples_proportion 0.001 threshold 0.42113189202868256,5000,794,0.001,0.4211318920286825,,,1,,i7186,4619889,,,,,
1745404524,1745404537,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 4816 n_reference_samples 1333 recent_samples_proportion 0.001 threshold 0.49139044452756725,4816,1333,0.001,0.4913904445275672,,,1,,i7183,4620127,,,,,
1745404622,1745404635,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 1016 recent_samples_proportion 0.001 threshold 0.001,5000,1016,0.001,0.001,,,1,,i7183,4620262,,,,,
1745404940,1745404953,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 5000 n_reference_samples 1337 recent_samples_proportion 0.001 threshold 0.021754746446138028,5000,1337,0.001,0.021754746446138,,,1,,i7182,4620599,,,,,
1744908360,1744908429,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier D3 recent_samples_size 1662 n_reference_samples 342 recent_samples_proportion 0.5720243100170046 threshold 0.9105802231673151,1662,342,0.5720243100170046,0.9105802231673152,0.71,6.0,0,,i7185,4511362,6.0,484.109375,482.4361979166667,-1.0,0.1614102327299593
