start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747402743,1747402832,89,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1365 n_reference_samples 3921 recent_samples_proportion 0.9652721912078559 threshold 0.9337841419745236,1365,3921,0.965272191207856,0.9337841419745236,0.58,63.0,0,,i7131,63.0,1051.125,1044.1879340277778,-1.0,0.0165022486580589,5077980
1747402743,1747402845,102,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2058 n_reference_samples 3665 recent_samples_proportion 0.19934764308854938 threshold 0.6684186662230641,2058,3665,0.1993476430885493,0.6684186662230641,0.58,74.0,0,,i7131,74.0,1060.10546875,1053.488671875,-1.0,0.1954881764108516,5077978
1747402755,1747402863,108,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 246 n_reference_samples 2570 recent_samples_proportion 0.3897147461771965 threshold 0.11337517049908638,246,2570,0.3897147461771965,0.1133751704990863,0.67,94.0,0,,i7125,94.0,1181.42578125,1093.8837890625,-1.0,0.0951690120412012,5078000
1747402787,1747402884,97,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2484 n_reference_samples 2056 recent_samples_proportion 0.5038229374699295 threshold 0.7567911103088408,2484,2056,0.5038229374699295,0.7567911103088408,0.6,77.0,0,,i7131,77.0,1051.640625,1046.95,-1.0,0.0882123341139734,5078014
1747402775,1747402889,114,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 627 n_reference_samples 4699 recent_samples_proportion 0.6483236756268889 threshold 0.3465832919925451,627,4699,0.6483236756268889,0.3465832919925451,0.68,103.0,0,,i7146,103.0,1219.51171875,1108.2749399038462,-1.0,0.1321112515802781,5078004
1747402815,1747402905,90,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3731 n_reference_samples 4275 recent_samples_proportion 0.45938083417899905 threshold 0.820482463510707,3731,4275,0.459380834178999,0.820482463510707,0.54,75.0,0,,i7162,75.0,1051.43359375,1043.820703125,-1.0,0.0708810870931863,5078025
1747402816,1747402925,109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3858 n_reference_samples 3584 recent_samples_proportion 0.3056849275622517 threshold 0.904061016317457,3858,3584,0.3056849275622517,0.904061016317457,0.55,93.0,0,,i7131,93.0,1051.94140625,1044.3818359375,-1.0,0.064744772129075,5078029
1747402847,1747402968,121,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 369 n_reference_samples 4181 recent_samples_proportion 0.03735815808549523 threshold 0.6194389228262007,369,4181,0.0373581580854952,0.6194389228262007,0.66,99.0,0,,i7167,99.0,1154.01953125,1075.0247395833333,-1.0,0.0879463638059314,5078035
1747402756,1747402971,215,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2861 n_reference_samples 3316 recent_samples_proportion 0.6878176809418947 threshold 0.5867984548155218,2861,3316,0.6878176809418947,0.5867984548155218,0.7,193.0,0,,i7131,193.0,1393.625,1199.1310369318182,-1.0,0.805411632228693,5077990
1747402775,1747402985,210,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2579 n_reference_samples 2409 recent_samples_proportion 0.009626833455637099 threshold 0.9860636902619153,2579,2409,0.009626833455637,0.9860636902619152,0.71,195.0,0,,i7125,195.0,1369.875,1167.97265625,-1.0,0.9773700717774416,5078010
