start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745398489,1745398503,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 3392 n_reference_samples 978 recent_samples_proportion 0.001 threshold 0.30869867436739984,3392,978,0.001,0.3086986743673998,,,1,,i7186,4614169,,,,,
1745398959,1745399000,41,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 1391 n_reference_samples 1583 recent_samples_proportion 0.001 threshold 0.4145787367275506,1391,1583,0.001,0.4145787367275506,,,1,,i7172,4614769,,,,,
1745399239,1745399265,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 3457 n_reference_samples 982 recent_samples_proportion 0.001 threshold 0.31590193791178667,3457,982,0.001,0.3159019379117866,,,1,,i7168,4615884,,,,,
1745399451,1745399464,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 1017 n_reference_samples 165 recent_samples_proportion 0.001 threshold 0.5997173261574613,1017,165,0.001,0.5997173261574613,,,1,,i7178,4616354,,,,,
1745399789,1745399909,120,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 3430 n_reference_samples 980 recent_samples_proportion 0.001 threshold 0.2983931523969423,3430,980,0.001,0.2983931523969423,,,1,,i7179,4616642,,,,,
1745399910,1745399923,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 975 n_reference_samples 146 recent_samples_proportion 0.001 threshold 0.5972336971839278,975,146,0.001,0.5972336971839278,,,1,,i7178,4616731,,,,,
1745400010,1745400023,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 3233 n_reference_samples 947 recent_samples_proportion 0.001 threshold 0.35521982808936703,3233,947,0.001,0.355219828089367,,,1,,i7179,4616792,,,,,
1745400451,1745400464,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 1040 n_reference_samples 199 recent_samples_proportion 0.001 threshold 0.5988567199493489,1040,199,0.001,0.5988567199493489,,,1,,i7185,4617164,,,,,
1745400712,1745400725,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 3424 n_reference_samples 981 recent_samples_proportion 0.001 threshold 0.30691307274889523,3424,981,0.001,0.3069130727488952,,,1,,i7186,4617365,,,,,
1745400893,1745400906,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier D3 recent_samples_size 1005 n_reference_samples 162 recent_samples_proportion 0.001 threshold 0.6024580006146674,1005,162,0.001,0.6024580006146674,,,1,,i7186,4617525,,,,,
