start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745407522,1745407541,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1518 n_reference_samples 397 recent_samples_proportion 0.001 threshold 0.3288010273390678,1518,397,0.001,0.3288010273390678,,,1,,i7173,4623612,,,,,
1745407811,1745407824,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1595 n_reference_samples 230 recent_samples_proportion 0.001 threshold 0.600573548720966,1595,230,0.001,0.600573548720966,,,1,,i7167,4623908,,,,,
1745408072,1745408092,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3575 n_reference_samples 456 recent_samples_proportion 0.001 threshold 0.001,3575,456,0.001,0.001,,,1,,i7182,4624176,,,,,
1745408249,1745408269,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4538 n_reference_samples 287 recent_samples_proportion 0.001 threshold 0.11828756454846298,4538,287,0.001,0.1182875645484629,,,1,,i7185,4624352,,,,,
1745408542,1745408573,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3584 n_reference_samples 456 recent_samples_proportion 0.001 threshold 0.001,3584,456,0.001,0.001,,,1,,i7178,4624570,,,,,
1745408704,1745408736,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4402 n_reference_samples 287 recent_samples_proportion 0.001 threshold 0.11871123217192664,4402,287,0.001,0.1187112321719266,,,1,,i7183,4624720,,,,,
1745409015,1745409040,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 2020 n_reference_samples 427 recent_samples_proportion 0.001 threshold 0.2630603160365671,2020,427,0.001,0.2630603160365671,,,1,,i7178,4624955,,,,,
1745409297,1745409354,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3715 n_reference_samples 460 recent_samples_proportion 0.001 threshold 0.001,3715,460,0.001,0.001,,,1,,i7178,4625237,,,,,
1745409431,1745409450,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4730 n_reference_samples 294 recent_samples_proportion 0.001 threshold 0.1235590745875144,4730,294,0.001,0.1235590745875144,,,1,,i7175,4625429,,,,,
1745409670,1745409695,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3579 n_reference_samples 458 recent_samples_proportion 0.001 threshold 0.001,3579,458,0.001,0.001,,,1,,i7173,4625656,,,,,
