start_time,end_time,run_time,program_string,recent_samples_size,max_window_size,min_window_size,min_p_value,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745684706,1745684719,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2774 max_window_size 1 min_window_size 5000 min_p_value 0.0001,2774,1,5000,0.0001,,,1,,i7180,4771535,,,,,
1745685014,1745685027,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 1 min_p_value 0.999,5000,1,1,0.999,,,1,,i7176,4771681,,,,,
1745685393,1745685406,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 1 min_p_value 0.999,1,1,1,0.999,,,1,,i7171,4772128,,,,,
1745685734,1745685784,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 3250 min_p_value 0.999,5000,1,3250,0.999,,,1,,i7169,4772249,,,,,
1745686083,1745686096,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 840 min_p_value 0.999,5000,1,840,0.999,,,1,,i7168,4772370,,,,,
1745686435,1745686448,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2987 max_window_size 1 min_window_size 5000 min_p_value 0.0001,2987,1,5000,0.0001,,,1,,i7168,4772484,,,,,
1745686894,1745686907,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 5000 min_p_value 0.0001,5000,1,5000,0.0001,,,1,,i7166,4772623,,,,,
1745687274,1745687287,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 3429 min_p_value 0.0001,1,1,3429,0.0001,,,1,,i7164,4772729,,,,,
1745687583,1745687596,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 5000 min_p_value 0.0001,1,1,5000,0.0001,,,1,,i7163,4772823,,,,,
1745687974,1745687986,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2896 max_window_size 1 min_window_size 5000 min_p_value 0.0001,2896,1,5000,0.0001,,,1,,i7162,4772927,,,,,
