start_time,end_time,run_time,program_string,recent_samples_size,max_window_size,min_window_size,min_p_value,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744365398,1744365517,119,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1544 max_window_size 431 min_window_size 478 min_p_value 0.3506614877258427,1544,431,478,0.3506614877258427,0.06,94.0,0,,i7117,94.0,878.734375,660.814453125,-1.0,0.0,4223825
1744365398,1744365517,119,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1021 max_window_size 3439 min_window_size 4460 min_p_value 0.6956083844212815,1021,3439,4460,0.6956083844212815,0.06,91.0,0,,i7117,91.0,879.421875,665.5439453125,-1.0,0.0,4223826
1744365420,1744365527,107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2426 max_window_size 2495 min_window_size 4340 min_p_value 0.1770690009803511,2426,2495,4340,0.1770690009803511,0.06,93.0,0,,i7117,93.0,877.32421875,659.8170572916666,-1.0,0.0,4223835
1744365421,1744365528,107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 4673 max_window_size 2014 min_window_size 2346 min_p_value 0.1111173038112931,4673,2014,2346,0.1111173038112931,0.06,93.0,0,,i7176,93.0,881.06640625,664.1966145833334,-1.0,0.0,4223827
1744365421,1744365529,108,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 3678 max_window_size 788 min_window_size 3791 min_p_value 0.8147757723674178,3678,788,3791,0.8147757723674178,0.06,95.0,0,,i7122,95.0,878.578125,658.271484375,-1.0,0.0,4223833
1744365420,1744365534,114,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 556 max_window_size 1744 min_window_size 3172 min_p_value 0.5831593062190339,556,1744,3172,0.5831593062190339,0.06,101.0,0,,i7143,101.0,879.05859375,666.0141225961538,-1.0,0.0,4223829
1744365426,1744365539,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 4769 max_window_size 4530 min_window_size 4853 min_p_value 0.31099059336250645,4769,4530,4853,0.3109905933625064,0.06,93.0,0,,i7116,93.0,880.125,661.4091796875,-1.0,0.0,4223838
1744365426,1744365546,120,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 4299 max_window_size 287 min_window_size 3717 min_p_value 0.4097828356272541,4299,287,3717,0.4097828356272541,0.06,98.0,0,,i7116,98.0,877.6875,652.0423177083334,-1.0,0.0,4223837
1744365451,1744365558,107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2585 max_window_size 2970 min_window_size 4174 min_p_value 0.44996764248702675,2585,2970,4174,0.4499676424870267,0.06,92.0,0,,i7138,92.0,876.27734375,661.0465494791666,-1.0,0.0,4223842
1744365451,1744365559,108,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 925 max_window_size 957 min_window_size 1958 min_p_value 0.8814590299295262,925,957,1958,0.8814590299295262,0.06,94.0,0,,i7172,94.0,878.625,661.2861328125,-1.0,0.0,4223839
