start_time,end_time,run_time,program_string,recent_samples_size,batch_size,theta,lambida,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744522144,1744522157,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 2093 batch_size 2929 theta 0.09668042498997884 lambida 0.999,2093,2929,0.0966804249899788,0.999,0.74,2,0,,i7087,2,524.765625,524.7356770833334,-1,0.12377003527446,4299912
1744522144,1744522157,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4995 batch_size 1212 theta 0.6049003434422823 lambida 0.027774784462927103,4995,1212,0.6049003434422823,0.0277747844629271,0.73,1,0,,i7090,1,524.21484375,524.1080729166666,-1,0.0,4299910
1744522145,1744522157,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 702 batch_size 2988 theta 0.02601464409147188 lambida 0.645494860567155,702,2988,0.0260146440914718,0.645494860567155,0.73,2,0,,i7093,2,523.875,523.7669270833334,-1,0.092827526455845,4299904
1744522154,1744522167,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4284 batch_size 4957 theta 0.5207598462165806 lambida 0.9283183451341642,4284,4957,0.5207598462165806,0.9283183451341642,0.73,1,0,,i7100,1,525.83203125,525.7291666666666,-1,0.0,4299917
1744522154,1744522167,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4292 batch_size 2830 theta 0.8388369575059732 lambida 0.0725117385697784,4292,2830,0.8388369575059732,0.0725117385697784,0.73,1,0,,i7107,1,524.25,524.2005208333334,-1,0.0,4299916
1744522154,1744522167,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4885 batch_size 2254 theta 0.9456610144987692 lambida 0.8551678605596337,4885,2254,0.9456610144987692,0.8551678605596337,0.73,1,0,,i7116,1,525.73828125,525.7083333333334,-1,0.0,4299915
1744522174,1744522187,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 1145 batch_size 3089 theta 0.03687473324121683 lambida 0.6427329839185176,1145,3089,0.0368747332412168,0.6427329839185176,0.73,2,0,,i7116,2,524.15625,524.1263020833334,-1,0.030942508818615,4299918
1744522174,1744522187,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4933 batch_size 88 theta 0.6121910807714913 lambida 0.1757591184378991,4933,88,0.6121910807714913,0.1757591184378991,0.73,1,0,,i7107,1,524.4609375,524.4283854166666,-1,0.0,4299920
1744522174,1744522187,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4951 batch_size 133 theta 0.8538757084158268 lambida 0.08711323952702879,4951,133,0.8538757084158268,0.0871132395270287,0.73,1,0,,i7108,1,522.5703125,522.4856770833334,-1,0.0,4299919
1744522175,1744522187,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4679 batch_size 3765 theta 0.497332043638849 lambida 0.9054049991314893,4679,3765,0.497332043638849,0.9054049991314892,0.73,1,0,,i7104,1,523.99609375,523.9635416666666,-1,0.0,4299921
