start_time,end_time,run_time,program_string,recent_samples_size,batch_size,theta,lambida,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744531242,1744531280,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4701 batch_size 872 theta 0.47643661549188177 lambida 0.6150203513297059,4701,872,0.4764366154918817,0.6150203513297059,0.19,26,0,,i7057,26,526.22265625,516.40390625,-1,0.0,4312486
1744531242,1744531281,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 2904 batch_size 1542 theta 0.45717096719024747 lambida 0.7436021929004897,2904,1542,0.4571709671902474,0.7436021929004897,0.19,27,0,,i7025,27,526.43359375,515.21015625,-1,0.0,4312522
1744531243,1744531281,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4850 batch_size 2564 theta 0.999 lambida 0.8265457448540569,4850,2564,0.999,0.8265457448540569,0.19,29,0,,i7031,29,527.5,517.2171875,-1,0.0,4312506
1744531243,1744531282,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 1010 batch_size 62 theta 0.41646449027652005 lambida 0.3814094100458027,1010,62,0.41646449027652,0.3814094100458027,0.19,28,0,,i7056,28,527.65234375,517.7484375,-1,0.0,4312488
1744531247,1744531285,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 603 batch_size 1 theta 0.999 lambida 0.999,603,1,0.999,0.999,0.19,26,0,,i7026,26,527.50390625,516.29453125,-1,0.0006044480120309,4312515
1744531241,1744531285,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4148 batch_size 3463 theta 0.9177074364248893 lambida 0.999,4148,3463,0.9177074364248892,0.999,0.19,30,0,,i7049,30,525.14453125,516.7727864583334,-1,0.0066489281323402,4312494
1744531241,1744531285,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 1632 batch_size 4956 theta 0.3596090808070705 lambida 0.999,1632,4956,0.3596090808070705,0.999,0.2,29,0,,i7019,29,522.07421875,514.65546875,-1,0.0145067522887423,4312530
1744531242,1744531286,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4277 batch_size 4981 theta 0.7177117074666507 lambida 0.999,4277,4981,0.7177117074666507,0.999,0.32,33,0,,i7050,33,528.55859375,519.197265625,-1,0.035662432709825,4312492
1744531243,1744531287,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 186 batch_size 718 theta 0.383400417587261 lambida 0.999,186,718,0.383400417587261,0.999,0.19,30,0,,i7029,30,526.890625,518.1608072916666,-1,0.0006044480120309,4312509
1744531243,1744531294,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DDAL recent_samples_size 4140 batch_size 3648 theta 0.5639713541918238 lambida 0.999,4140,3648,0.5639713541918238,0.999,0.2,34,0,,i7027,34,526.30078125,517.103515625,-1,0.0126934082526495,4312512
