start_time,end_time,run_time,program_string,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744720247,1744720273,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3852 n_subspaces 45 feature_percentage 0.10163790417246074 alpha 0.001 window_size 537 mode EDFSMode.RANDOM,3852,45,0.1016379041724607,0.001,537,EDFSMode.RANDOM,0.71,16,0,,i7139,16,486.03515625,484.453125,-1,0.9918729220539344,4448406
1744720247,1744720278,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3692 n_subspaces 55 feature_percentage 0.17814897043640388 alpha 0.999 window_size 491 mode EDFSMode.RANDOM,3692,55,0.1781489704364038,0.999,491,EDFSMode.RANDOM,0.72,19,0,,i7140,19,485.09375,483.611328125,-1,0.9975988178795716,4448403
1744720247,1744720279,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4227 n_subspaces 47 feature_percentage 0.36042407233207563 alpha 0.001 window_size 653 mode EDFSMode.RANDOM,4227,47,0.3604240723320756,0.001,653,EDFSMode.RANDOM,0.72,20,0,,i7138,20,484.2265625,483.001953125,-1,0.995059106021426,4448407
1744720247,1744720279,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4701 n_subspaces 1 feature_percentage 0.001 alpha 0.001 window_size 127 mode EDFSMode.RANDOM,4701,1,0.001,0.001,127,EDFSMode.RANDOM,0.73,22,0,,i7140,22,482.984375,482.84375,-1,0.1541143332101958,4448404
1744720217,1744720287,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1390 n_subspaces 89 feature_percentage 0.6666378490273053 alpha 0.999 window_size 275 mode EDFSMode.RANDOM,1390,89,0.6666378490273053,0.999,275,EDFSMode.RANDOM,0.72,62,0,,i7149,62,491.87890625,486.5833333333333,-1,0.990949390469154,4448395
1744720247,1744720291,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3208 n_subspaces 78 feature_percentage 0.08795620774865687 alpha 0.999 window_size 193 mode EDFSMode.RANDOM,3208,78,0.0879562077486568,0.999,193,EDFSMode.RANDOM,0.74,31,0,,i7137,31,492.17578125,486.5787760416667,-1,0.9981529368304396,4448409
1744720276,1744720301,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4359 n_subspaces 100 feature_percentage 0.001 alpha 0.001 window_size 814 mode EDFSMode.RANDOM,4359,100,0.001,0.001,814,EDFSMode.RANDOM,0.72,14,0,,i7171,14,484.93359375,484.78515625,-1,0.9772811230144072,4448410
1744720276,1744720302,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1698 n_subspaces 100 feature_percentage 0.001 alpha 0.001 window_size 973 mode EDFSMode.RANDOM,1698,100,0.001,0.001,973,EDFSMode.RANDOM,0.72,13,0,,i7147,13,478.140625,477.921875,-1,0.8624861470262283,4448413
1744720277,1744720308,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1030 n_subspaces 100 feature_percentage 0.001 alpha 0.001 window_size 236 mode EDFSMode.RANDOM,1030,100,0.001,0.001,236,EDFSMode.RANDOM,0.73,24,0,,i7170,24,487.26171875,484.45078125,-1,0.9916882157369782,4448411
1744720278,1744720316,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 974 n_subspaces 73 feature_percentage 0.001 alpha 0.999 window_size 200 mode EDFSMode.RANDOM,974,73,0.001,0.999,200,EDFSMode.RANDOM,0.73,28,0,,i7136,28,488.3359375,484.85,-1,0.9974141115626154,4448416
1744720277,1744720316,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4828 n_subspaces 1 feature_percentage 0.999 alpha 0.999 window_size 275 mode EDFSMode.RANDOM,4828,1,0.999,0.999,275,EDFSMode.RANDOM,0.72,27,0,,i7157,27,496.65625,487.875,-1,0.9973679349833764,4448412
