start_time,end_time,run_time,program_string,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746274694,1746275923,1229,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2085 n_subspaces 13 feature_percentage 0.001 alpha 0.001 window_size 838 mode EDFSMode.RANDOM,2085,13,0.001,0.001,838,EDFSMode.RANDOM,0.05,1212,0,,i7184,1212,710.03125,606.1212197580645,-1,0.9955347702207996,4922092
1746333288,1746334248,960,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3383 n_subspaces 73 feature_percentage 0.2972283969189289 alpha 0.001 window_size 854 mode EDFSMode.RANDOM,3383,73,0.2972283969189289,0.001,854,EDFSMode.RANDOM,0.24,947,0,,i7181,947,944.43359375,767.7185083762887,-1,0.999630715622623,4935097
1746493955,1746494613,658,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 840 n_subspaces 55 feature_percentage 0.1960261020911235 alpha 0.6007340296415778 window_size 707 mode EDFSMode.RANDOM,840,55,0.1960261020911235,0.6007340296415778,707,EDFSMode.RANDOM,0.21,644,0,,i7181,644,940.3671875,725.4292210820895,-1,0.5938850294638433,4966740
1746540842,1746541818,976,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 473 n_subspaces 100 feature_percentage 0.001 alpha 0.001 window_size 934 mode EDFSMode.RANDOM,473,100,0.001,0.001,934,EDFSMode.RANDOM,0.13,921,0,,i7175,921,728.87890625,599.3274671052632,-1,0.2531563894538874,4974933
1746550911,1746551978,1067,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4238 n_subspaces 59 feature_percentage 0.17989037429944763 alpha 0.42733040319746174 window_size 655 mode EDFSMode.RANDOM,4238,59,0.1798903742994476,0.4273304031974617,655,EDFSMode.RANDOM,0.3,1035,0,,i7184,1035,903.31640625,780.462890625,-1,0.9994214995651102,4976521
1746554279,1746555960,1681,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3966 n_subspaces 32 feature_percentage 0.10773515460623585 alpha 0.7426751622574188 window_size 279 mode EDFSMode.RANDOM,3966,32,0.1077351546062358,0.7426751622574188,279,EDFSMode.RANDOM,0.4,1663,0,,i7183,1663,843.2734375,745.9637111686391,-1,0.9998660836873248,4977071
1746556625,1746558812,2187,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3937 n_subspaces 31 feature_percentage 0.09247783429361477 alpha 0.726863028990826 window_size 228 mode EDFSMode.RANDOM,3937,31,0.0924778342936147,0.726863028990826,228,EDFSMode.RANDOM,0.41,2172,0,,i7180,2172,859.44140625,754.361319206621,-1,0.999870141757406,4977422
1746618110,1746618887,777,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2827 n_subspaces 35 feature_percentage 0.2511135702342918 alpha 0.999 window_size 613 mode EDFSMode.RANDOM,2827,35,0.2511135702342918,0.999,613,EDFSMode.RANDOM,0.24,763,0,,i7181,763,974.00390625,766.3141317246835,-1,0.9994611784725694,4987219
1746634367,1746635663,1296,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 5000 n_subspaces 62 feature_percentage 0.2073416933217658 alpha 0.999 window_size 457 mode EDFSMode.RANDOM,5000,62,0.2073416933217658,0.999,457,EDFSMode.RANDOM,0.34,1282,0,,i7182,1282,862.98828125,759.7368201335878,-1,0.9998020563593792,4989659
1746777261,1746778135,874,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2730 n_subspaces 96 feature_percentage 0.001 alpha 0.8796459556194899 window_size 422 mode EDFSMode.RANDOM,2730,96,0.001,0.8796459556194899,422,EDFSMode.RANDOM,0.27,851,0,,i7176,851,937.078125,780.8816139914773,-1,0.9997226985444604,5012945
