start_time,end_time,run_time,program_string,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747423056,1747423107,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2011 batch_size 4224 gamma 9.747508134524338 alpha 0.01479811225552112 use_mmd2 False use_k2s_test False,2011,4224,9.747508134524338,0.0147981122555211,False,False,0.58,39.0,0,,i7082,39.0,1157.23828125,1091.21484375,-1.0,0.0,5086274
1747422706,1747423247,541,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2309 batch_size 2471 gamma 0.6810771318105981 alpha 0.008055292202159763 use_mmd2 True use_k2s_test False,2309,2471,0.6810771318105981,0.0080552922021597,True,False,0.68,524.0,0,,i7046,524.0,2658.86328125,1521.7968039772727,-1.0,0.4395642922771894,5086221
1747428170,1747428220,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 383 batch_size 1739 gamma 2.8228281718017536 alpha 0.029543749915901574 use_mmd2 False use_k2s_test False,383,1739,2.8228281718017536,0.0295437499159015,False,False,0.58,39.0,0,,i7042,39.0,1298.0546875,1167.548828125,-1.0,0.0,5086634
1747433045,1747433121,76,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 716 batch_size 2753 gamma 2.15197812692076 alpha 0.03762406273139641 use_mmd2 False use_k2s_test False,716,2753,2.15197812692076,0.0376240627313964,False,False,0.58,39.0,0,,i7081,39.0,1345.2890625,1174.052734375,-1.0,0.0,5086739
1747436591,1747436723,132,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1601 batch_size 239 gamma 5.260168170990423 alpha 0.019104884216561913 use_mmd2 False use_k2s_test False,1601,239,5.260168170990423,0.0191048842165619,False,False,0.58,96.0,0,,i7148,96.0,1346.73046875,1199.4049479166667,-1.0,0.0,5086838
1747436765,1747436816,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3353 batch_size 2582 gamma 2.626221145185642 alpha 0.047933697802480316 use_mmd2 False use_k2s_test False,3353,2582,2.626221145185642,0.0479336978024803,False,False,0.58,34.0,0,,i7146,34.0,1396.515625,1186.5345052083333,-1.0,0.0,5087036
1747436673,1747436914,241,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4353 batch_size 97 gamma 9.47297579092253 alpha 0.00873482544720173 use_mmd2 False use_k2s_test False,4353,97,9.47297579092253,0.0087348254472017,False,False,0.58,214.0,0,,i7126,214.0,1431.32421875,1235.6013997395833,-1.0,0.0,5086950
1747436900,1747436975,75,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4567 batch_size 4082 gamma 5.534701632067562 alpha 0.0011499960301443934 use_mmd2 False use_k2s_test False,4567,4082,5.534701632067562,0.0011499960301443,False,False,0.58,34.0,0,,i7069,34.0,1304.87109375,1168.4889322916667,-1.0,0.0,5087167
1747436937,1747437019,82,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3060 batch_size 1568 gamma 2.34858403606154 alpha 0.04315561236487702 use_mmd2 False use_k2s_test False,3060,1568,2.34858403606154,0.043155612364877,False,False,0.58,40.0,0,,i7079,40.0,1138.25,1073.9994419642858,-1.0,0.0108322452729822,5087147
1747438823,1747439475,652,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4025 batch_size 3178 gamma 1.0314392281593754 alpha 0.013737877293489874 use_mmd2 True use_k2s_test False,4025,3178,1.0314392281593754,0.0137378772934898,True,False,0.64,636.0,0,,i7034,636.0,6301.890625,2409.857540246212,-1.0,0.285410319647952,5087469
