start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747593578,1747593616,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 661 n_samples 942 n_permutations 899 update_interval 6 n_consecutive_deviations 7,661,942,899,6,7,,,1,,i7178,5111312,,,,,
1747595389,1747595698,309,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2086 n_samples 30 n_permutations 720 update_interval 154 n_consecutive_deviations 5,2086,30,720,154,5,0.69,295.0,0,,i7153,5113386,295.0,1610.484375,1314.88525390625,-1.0,0.9859191173930764
1747594161,1747596477,2316,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1771 n_samples 2049 n_permutations 438 update_interval 217 n_consecutive_deviations 10,1771,2049,438,217,10,0.78,2262.0,0,,i7134,5111779,2262.0,1446.57421875,1375.612064830044,-1.0,0.9820210980083316
1747594454,1747596917,2463,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 345 n_samples 1746 n_permutations 196 update_interval 69 n_consecutive_deviations 2,345,1746,196,69,2,0.83,2437.0,0,,i7143,5112297,2437.0,1503.4140625,1338.4975069867887,-1.0,0.9972781220423756
1747594133,1747597108,2975,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4064 n_samples 547 n_permutations 145 update_interval 174 n_consecutive_deviations 2,4064,547,145,174,2,0.79,2951.0,0,,i7151,5112003,2951.0,1464.109375,1269.276278409091,-1.0,0.9999101918440376
1747594186,1747597477,3291,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2543 n_samples 4522 n_permutations 751 update_interval 92 n_consecutive_deviations 4,2543,4522,751,92,4,0.82,3232.0,0,,i7115,5111908,3232.0,1401.33203125,1290.2690625,-1.0,0.9959016393442623
1747593784,1747597509,3725,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2264 n_samples 3998 n_permutations 13 update_interval 228 n_consecutive_deviations 9,2264,3998,13,228,9,0.76,3702.0,0,,i7167,5111502,3702.0,2139.0703125,1503.1881510416667,-1.0,0.9869622736661762
1747593719,1747597721,4002,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3348 n_samples 1312 n_permutations 677 update_interval 103 n_consecutive_deviations 3,3348,1312,677,103,3,0.82,3965.0,0,,i7164,5111424,3965.0,1448.7890625,1364.892612390351,-1.0,0.9998860127251248
1747594280,1747597928,3648,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 167 n_samples 2899 n_permutations 544 update_interval 49 n_consecutive_deviations 6,167,2899,544,49,6,0.81,3631.0,0,,i7142,5112103,3631.0,1991.82421875,1570.4638805650684,-1.0,0.9739970846890912
1747596002,1747598500,2498,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4383 n_samples 2238 n_permutations 951 update_interval 236 n_consecutive_deviations 7,4383,2238,951,236,7,0.78,2480.0,0,,i7154,5114059,2480.0,1557.8046875,1420.007,-1.0,0.9953714258081008
