start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747325956,1747325994,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4712 n_samples 1282 n_permutations 777 update_interval 213 n_consecutive_deviations 7,4712,1282,777,213,7,0.74,25.0,0,,i7089,25.0,524.09765625,524.03125,-1.0,0.9863852961198094,5053444
1747326164,1747326202,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1499 n_samples 2087 n_permutations 802 update_interval 245 n_consecutive_deviations 4,1499,2087,802,245,4,0.74,26.0,0,,i7088,26.0,524.20703125,521.7015625,-1.0,0.9024692122037254,5053516
1747326043,1747326232,189,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1551 n_samples 3831 n_permutations 468 update_interval 62 n_consecutive_deviations 2,1551,3831,468,62,2,0.71,176.0,0,,i7089,176.0,525.59765625,506.82109375,-1.0,0.8537657033232254,5053470
1747326307,1747326377,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3380 n_samples 937 n_permutations 668 update_interval 139 n_consecutive_deviations 6,3380,937,668,139,6,0.73,59.0,0,,i7114,59.0,539.55859375,528.86865234375,-1.0,0.9972151742063248,5053560
1747326226,1747326433,207,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4745 n_samples 4677 n_permutations 485 update_interval 31 n_consecutive_deviations 9,4745,4677,485,31,9,0.72,195.0,0,,i7089,195.0,530.14453125,521.2924360795455,-1.0,0.999195494770716,5053536
1747326402,1747326465,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 379 n_samples 3327 n_permutations 111 update_interval 105 n_consecutive_deviations 1,379,3327,111,105,1,0.73,55.0,0,,i7114,55.0,528.90234375,525.478515625,-1.0,0.8165728077232502,5053587
1747326482,1747326583,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1097 n_samples 226 n_permutations 306 update_interval 74 n_consecutive_deviations 2,1097,226,306,74,2,0.71,90.0,0,,i7089,90.0,544.87109375,530.7307942708334,-1.0,0.9981434494708832,5053612
1747326581,1747326626,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2626 n_samples 2779 n_permutations 988 update_interval 170 n_consecutive_deviations 8,2626,2779,988,170,8,0.74,32.0,0,,i7086,32.0,523.21484375,523.1399739583334,-1.0,0.9258617488705984,5053645
1747326732,1747326776,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2027 n_samples 3966 n_permutations 607 update_interval 214 n_consecutive_deviations 5,2027,3966,607,214,5,0.72,34.0,0,,i7085,34.0,523.10546875,523.044921875,-1.0,0.8228850795222477,5053693
1747326641,1747326823,182,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4250 n_samples 1538 n_permutations 166 update_interval 61 n_consecutive_deviations 9,4250,1538,166,61,9,0.71,170.0,0,,i7086,170.0,544.26171875,527.5651726973684,-1.0,0.999443034841265,5053666
1747326803,1747326828,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2333 n_samples 1133 n_permutations 191 update_interval 181 n_consecutive_deviations 8,2333,1133,191,181,8,0.73,14.0,0,,i7111,14.0,523.51953125,523.4345703125,-1.0,0.5929203539823009,5053704
1747326962,1747326994,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2947 n_samples 2437 n_permutations 343 update_interval 203 n_consecutive_deviations 1,2947,2437,343,203,1,0.74,25.0,0,,i7089,25.0,523.26171875,523.1484375,-1.0,0.9577944179714092,5053759
1747326905,1747327082,177,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3931 n_samples 3678 n_permutations 506 update_interval 94 n_consecutive_deviations 4,3931,3678,506,94,4,0.72,163.0,0,,i7106,163.0,549.67578125,534.6346628289474,-1.0,0.9985766445943436,5053733
1747327026,1747327134,108,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 793 n_samples 4873 n_permutations 902 update_interval 41 n_consecutive_deviations 7,793,4873,902,41,7,0.72,96.0,0,,i7085,96.0,532.1796875,524.6647135416666,-1.0,0.7415681663469275,5053781
1747327123,1747327155,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 78 n_samples 1733 n_permutations 691 update_interval 9 n_consecutive_deviations 7,78,1733,691,9,7,0.74,23.0,0,,i7084,23.0,523.41796875,523.3421875,-1.0,0.8616869855807909,5053809
1747327204,1747327267,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3704 n_samples 4318 n_permutations 8 update_interval 234 n_consecutive_deviations 2,3704,4318,8,234,2,0.74,53.0,0,,i7108,53.0,523.546875,523.3955078125,-1.0,0.905315923015038,5053835
1747327303,1747327430,127,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4419 n_samples 578 n_permutations 842 update_interval 126 n_consecutive_deviations 5,4419,578,842,126,5,0.72,112.0,0,,i7105,112.0,549.27734375,534.4924665178571,-1.0,0.9977721393650596,5053858
1747327382,1747327465,83,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1799 n_samples 2973 n_permutations 401 update_interval 150 n_consecutive_deviations 10,1799,2973,401,150,10,0.73,72.0,0,,i7186,72.0,534.88671875,526.725390625,-1.0,0.8986323411102172,5053876
1747327523,1747327574,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4532 n_samples 2910 n_permutations 239 update_interval 205 n_consecutive_deviations 6,4532,2910,239,205,6,0.74,37.0,0,,i7186,37.0,524.4140625,524.3274739583334,-1.0,0.996781979082864,5053931
1747327632,1747327759,127,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3592 n_samples 1650 n_permutations 915 update_interval 65 n_consecutive_deviations 9,3592,1650,915,65,9,0.72,118.0,0,,i7184,118.0,551.4453125,534.4813058035714,-1.0,0.997029519153413,5053963
1747327704,1747327761,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 190 n_samples 4097 n_permutations 357 update_interval 164 n_consecutive_deviations 4,190,4097,357,164,4,0.74,45.0,0,,i7186,45.0,523.55859375,523.3872767857143,-1.0,0.7002289745652578,5053983
1747327449,1747327804,355,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1687 n_samples 338 n_permutations 555 update_interval 55 n_consecutive_deviations 1,1687,338,555,55,1,0.71,341.0,0,,i7183,341.0,528.90625,507.27375422297297,-1.0,0.9962868989417664,5053899
1747327781,1747327832,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 680 n_samples 2189 n_permutations 52 update_interval 134 n_consecutive_deviations 5,680,2189,52,134,5,0.73,40.0,0,,i7181,40.0,528.5390625,524.5110677083334,-1.0,0.8951048951048951,5054006
1747327902,1747328009,107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3059 n_samples 4799 n_permutations 736 update_interval 95 n_consecutive_deviations 10,3059,4799,736,95,10,0.72,96.0,0,,i7181,96.0,535.41796875,527.072265625,-1.0,0.8844606720712915,5054039
1747327983,1747328021,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3819 n_samples 1039 n_permutations 419 update_interval 235 n_consecutive_deviations 8,3819,1039,419,235,8,0.74,25.0,0,,i7181,25.0,523.14453125,523.028125,-1.0,0.969861996410669,5054060
1747328142,1747328182,40,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2139 n_samples 1298 n_permutations 441 update_interval 116 n_consecutive_deviations 6,2139,1298,441,116,6,0.74,25.0,0,,i7178,25.0,523.4296875,523.36328125,-1.0,0.9975245992945108,5054116
1747328043,1747328189,146,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2445 n_samples 3449 n_permutations 859 update_interval 25 n_consecutive_deviations 3,2445,3449,859,25,3,0.71,131.0,0,,i7179,131.0,541.3203125,529.445556640625,-1.0,0.9349588464632712,5054087
1747328210,1747328337,127,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4138 n_samples 3903 n_permutations 757 update_interval 144 n_consecutive_deviations 2,4138,3903,757,144,2,0.73,101.0,0,,i7179,101.0,512.88671875,437.67037259615387,-1.0,0.9998762299647256,5054135
1747328382,1747328427,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 985 n_samples 2558 n_permutations 651 update_interval 225 n_consecutive_deviations 8,985,2558,651,225,8,0.74,32.0,0,,i7183,32.0,511.3203125,510.3177083333333,-1.0,0.8577882294696454,5054184
1747328282,1747328453,171,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2739 n_samples 143 n_permutations 93 update_interval 4 n_consecutive_deviations 3,2739,143,93,4,3,0.71,161.0,0,,i7175,161.0,559.65625,538.5557154605264,-1.0,0.9998143449470884,5054164
1747328463,1747328489,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 491 n_samples 689 n_permutations 939 update_interval 193 n_consecutive_deviations 10,491,689,939,193,10,0.74,12.0,0,,i7175,12.0,523.19921875,523.123046875,-1.0,0.5955195247230646,5054219
1747328603,1747328647,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4857 n_samples 1993 n_permutations 593 update_interval 175 n_consecutive_deviations 2,4857,1993,593,175,2,0.74,32.0,0,,i7174,32.0,523.84375,523.73828125,-1.0,0.997586484312148,5054269
1747328561,1747328807,246,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3268 n_samples 3253 n_permutations 257 update_interval 35 n_consecutive_deviations 5,3268,3253,257,35,5,0.71,237.0,0,,i7174,237.0,554.02734375,536.9957932692307,-1.0,0.9981434494708832,5054254
