Unnamed: 0,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,start_time
1746327939.0,1746327952,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2877 n_samples 246 n_permutations 2 update_interval 250 n_consecutive_deviations 5,2877,246,2,250,5,,,1,,i7175,4934022,,,,,,
1746327948.0,1746327961,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1573 n_samples 410 n_permutations 2 update_interval 2 n_consecutive_deviations 10,1573,410,2,2,10,,,1,,i7175,4934024,,,,,,
1746327948.0,1746327961,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 679 n_permutations 1000 update_interval 2 n_consecutive_deviations 3,1,679,1000,2,3,0.91,0.0,0,,i7173,4934032,0.0,753.4921875,753.4427083333334,-1.0,0.0,
1746327948.0,1746327961,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 356 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,356,2,2,10,,,1,,i7175,4934025,,,,,,
1746327949.0,1746327963,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 1025 n_permutations 1000 update_interval 250 n_consecutive_deviations 7,1,1025,1000,250,7,0.91,0.0,0,,i7174,4934028,0.0,753.05859375,753.0091145833334,-1.0,0.0,
1746327949.0,1746327963,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2616 n_samples 4461 n_permutations 1000 update_interval 2 n_consecutive_deviations 10,2616,4461,1000,2,10,0.91,0.0,0,,i7174,4934030,0.0,751.8046875,751.7552083333334,-1.0,0.0,
1746327949.0,1746327963,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3492 n_samples 2216 n_permutations 2 update_interval 250 n_consecutive_deviations 1,3492,2216,2,250,1,0.91,0.0,0,,i7174,4934027,0.0,751.9921875,751.9427083333334,-1.0,0.0,
1746327949.0,1746327963,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 3591 n_permutations 1000 update_interval 250 n_consecutive_deviations 1,5000,3591,1000,250,1,0.91,0.0,0,,i7174,4934029,0.0,752.96875,752.8645833333334,-1.0,0.0,
1746327959.0,1746327972,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 507 n_permutations 1000 update_interval 2 n_consecutive_deviations 10,5000,507,1000,2,10,,,1,,i7183,4934036,,,,,,
1746327959.0,1746327972,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 4701 n_permutations 362 update_interval 2 n_consecutive_deviations 10,1,4701,362,2,10,0.91,0.0,0,,i7184,4934034,0.0,751.68359375,751.6510416666666,-1.0,0.0,
