start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746200464,1746205970,5506,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 845 feature_id 1 threshold 0.6433952617432586 window_size 1,845,1,0.6433952617432586,1,0.26,5489.0,0,,i7179,5489.0,790.6796875,750.0566087227768,-1.0,1.0,4904730
1746204547,1746207131,2584,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3400 feature_id 117 threshold 0.30833259722304757 window_size 2261,3400,117,0.3083325972230475,2261,0.2,2568.0,0,,i7173,2568.0,791.84375,768.1643038127413,-1.0,0.5939546599496222,4905537
1746207685,1746210847,3162,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 541 feature_id 1 threshold 0.6349911222445271 window_size 1,541,1,0.6349911222445271,1,0.26,3150.0,0,,i7179,3150.0,791.34375,770.7444055599369,-1.0,1.0,4906147
1746210747,1746211101,354,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2056 feature_id 0 threshold 0.2543107934906728 window_size 265,2056,0,0.2543107934906728,265,0.32,342.0,0,,i7185,342.0,791.9609375,791.9542863175676,-1.0,1.0,4906810
1746213167,1746213199,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 5000 feature_id 127 threshold 0.9806944311880309 window_size 2944,5000,127,0.9806944311880308,2944,0.17,18.0,0,,i7185,18.0,790.984375,790.9462890625,-1.0,0.0,4907349
1746214487,1746214709,222,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2033 feature_id 0 threshold 0.001 window_size 472,2033,0,0.001,472,0.33,207.0,0,,i7179,207.0,791.671875,791.66796875,-1.0,1.0,4907661
1746215648,1746215680,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 127 threshold 0.7533087082483553 window_size 4178,1,127,0.7533087082483553,4178,0.17,16.0,0,,i7183,16.0,790.578125,790.5400390625,-1.0,0.0,4907931
1746218006,1746218038,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 5000 feature_id 127 threshold 0.8365022763990664 window_size 2119,5000,127,0.8365022763990664,2119,0.17,15.0,0,,i7180,15.0,789.30078125,789.2626953125,-1.0,0.0,4908468
1746220108,1746220134,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1264 feature_id 127 threshold 0.999 window_size 3813,1264,127,0.999,3813,0.17,15.0,0,,i7173,15.0,790.6171875,790.580078125,-1.0,0.0,4909003
1746221259,1746221708,449,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2119 feature_id 0 threshold 0.3467926946079884 window_size 412,2119,0,0.3467926946079884,412,0.19,432.0,0,,i7185,432.0,792.54296875,792.5392323369565,-1.0,0.988832913518052,4909280
