start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745670453,1745671148,695,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.7835716394537756 window_size 1564,1,3,0.7835716394537756,1564,0.52,678.0,0,,i7179,678.0,575.08203125,532.5463169642857,-1.0,0.8480163829589181,4765277
1745669812,1745671825,2013,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 4 threshold 0.45293465826700885 window_size 1363,1,4,0.4529346582670088,1363,0.5,2000.0,0,,i7181,2000.0,531.8515625,519.775525990099,-1.0,0.3184570618265693,4765003
1745671800,1745672757,957,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.6021596152392491 window_size 1401,1,3,0.6021596152392491,1401,0.52,942.0,0,,i7179,942.0,577.1328125,533.2737596649484,-1.0,0.8681299950072594,4765777
1745673113,1745674085,972,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.6686284315403465 window_size 915,1,3,0.6686284315403465,915,0.52,959.0,0,,i7178,959.0,542.32421875,511.2900589923469,-1.0,0.8676657789340196,4766223
1745676593,1745677385,792,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.5387094425305169 window_size 3050,1,3,0.5387094425305169,3050,0.52,779.0,0,,i7185,779.0,577.39453125,531.181787109375,-1.0,0.8687332341232663,4768223
1745676064,1745677505,1441,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.2684118957681289 window_size 4847,1,3,0.2684118957681289,4847,0.52,1426.0,0,,i7186,1426.0,583.2109375,533.7029094827586,-1.0,0.902727390319886,4768077
1745678612,1745679910,1298,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4380 feature_id 4 threshold 0.8025243944821486 window_size 4500,4380,4,0.8025243944821486,4500,0.5,1289.0,0,,i7183,1289.0,523.1328125,516.3966185591603,-1.0,0.0,4768769
1745679332,1745680150,818,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1 feature_id 3 threshold 0.6810671224386603 window_size 2356,1,3,0.6810671224386603,2356,0.52,802.0,0,,i7183,802.0,573.74609375,532.011859939759,-1.0,0.8486836935642003,4768946
1747320128,1747321409,1281,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2714 feature_id 4 threshold 0.6842369821071624 window_size 3527,2714,4,0.6842369821071624,3527,0.5,1218.0,0,,i7185,1218.0,512.47265625,505.3321572580645,-1.0,0.0,5050874
1747320565,1747322092,1527,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3598 feature_id 6 threshold 0.9814879172034562 window_size 2765,3598,6,0.9814879172034562,2765,0.5,1461.0,0,,i7176,1461.0,510.21875,395.4945893158784,-1.0,0.0,5051079
1747320634,1747322390,1756,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 166 feature_id 8 threshold 0.9299525010418147 window_size 407,166,8,0.9299525010418148,407,0.5,1734.0,0,,i7169,1734.0,520.94140625,512.8368030894886,-1.0,0.0,5051222
1747321438,1747322968,1530,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2993 feature_id 8 threshold 0.47846771859377624 window_size 4164,2993,8,0.4784677185937762,4164,0.5,1471.0,0,,i7135,1471.0,513.1484375,504.7216600251678,-1.0,0.0,5051682
1747321679,1747323174,1495,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1091 feature_id 8 threshold 0.12722532338090242 window_size 2625,1091,8,0.1272253233809024,2625,0.5,1459.0,0,,i7130,1459.0,509.203125,428.9527027027027,-1.0,0.0,5051840
1747322823,1747324184,1361,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3254 feature_id 9 threshold 0.7039862972609698 window_size 1402,3254,9,0.7039862972609698,1402,0.5,1304.0,0,,i7114,1304.0,526.015625,517.1380991541354,-1.0,0.0,5052296
1747323225,1747324736,1511,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 445 feature_id 6 threshold 0.6309772932287305 window_size 4356,445,6,0.6309772932287305,4356,0.5,1444.0,0,,i7111,1444.0,516.0078125,499.47273596938777,-1.0,0.0,5052454
1747323589,1747324976,1387,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4169 feature_id 7 threshold 0.7774207587875426 window_size 3138,4169,7,0.7774207587875426,3138,0.56,1367.0,0,,i7111,1367.0,518.8203125,500.83116007194246,-1.0,0.0,5052610
1747324304,1747325565,1261,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 704 feature_id 4 threshold 0.9574677857235074 window_size 4530,704,4,0.9574677857235074,4530,0.5,1228.0,0,,i7101,1228.0,509.27734375,410.76603125,-1.0,0.0,5052876
1747320295,1747325803,5508,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2413 feature_id 7 threshold 0.6138400374557823 window_size 4764,2413,7,0.6138400374557823,4764,0.41,5471.0,0,,i7181,5471.0,509.03515625,482.4730262408925,-1.0,0.0248887513433857,5050975
1747324509,1747325949,1440,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2647 feature_id 6 threshold 0.21022430773079395 window_size 608,2647,6,0.2102243077307939,608,0.5,1415.0,0,,i7099,1415.0,523.71875,516.2683376736111,-1.0,0.0,5052964
1747325020,1747326490,1470,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 646 feature_id 9 threshold 0.5497775397505611 window_size 3618,646,9,0.5497775397505611,3618,0.5,1450.0,0,,i7097,1450.0,525.8359375,516.6648862670068,-1.0,0.0,5053143
1747325526,1747327055,1529,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4428 feature_id 5 threshold 0.915021285880357 window_size 3895,4428,5,0.915021285880357,3895,0.49,1516.0,0,,i7178,1516.0,524.4765625,516.7490361201299,-1.0,0.0111677814702835,5053296
1747327121,1747328949,1828,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2 feature_id 5 threshold 0.052605595963075756 window_size 4407,2,5,0.0526055959630757,4407,0.56,1812.0,0,,i7085,1812.0,509.78515625,433.0006617144809,-1.0,0.9775846499218448,5053804
1747327662,1747329249,1587,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3823 feature_id 8 threshold 0.42028523721545935 window_size 3122,3823,8,0.4202852372154593,3122,0.5,1571.0,0,,i7186,1571.0,526.61328125,517.6672808569182,-1.0,0.0,5053969
1747328182,1747329713,1531,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1621 feature_id 8 threshold 0.9980029023420066 window_size 1840,1621,8,0.9980029023420066,1840,0.5,1521.0,0,,i7180,1521.0,523.44140625,515.0518212256494,-1.0,0.0,5054132
1747329178,1747330810,1632,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1245 feature_id 7 threshold 0.7615299524646253 window_size 2248,1245,7,0.7615299524646253,2248,0.56,1603.0,0,,i7170,1603.0,507.04296875,391.3995159125767,-1.0,0.0,5054431
1747336937,1747338908,1971,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4924 feature_id 8 threshold 0.6467460949234665 window_size 261,4924,8,0.6467460949234665,261,0.5,1939.0,0,,i7173,1939.0,524.5,515.5223612882653,-1.0,0.0,5057783
