start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745917419,1745917971,552,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 829 n_samples 197 k_neighbors 18 n_permutations 2 significance_level 0.1660063167475164,829,197,18,2,0.1660063167475164,0.73,542.0,0,,i7167,542.0,556.1640625,512.5040433114035,-1.0,0.9997922053934244,4835708
1747593528,1747595712,2184,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2391 n_samples 121 k_neighbors 70 n_permutations 153 significance_level 0.35676143124885856,2391,121,70,153,0.3567614312488585,0.73,2168.0,0,,i7186,2168.0,509.13671875,478.216877140411,-1.0,0.9999769117103804,5111274
1747602619,1747607699,5080,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3056 n_samples 12 k_neighbors 21 n_permutations 952 significance_level 0.6511201779656112,3056,12,21,952,0.6511201779656112,0.75,5067.0,0,,i7072,5067.0,524.21484375,501.0146733791749,-1.0,1.0,5119235
1747600763,1747613298,12535,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4476 n_samples 236 k_neighbors 85 n_permutations 472 significance_level 0.04008292377740145,4476,236,85,472,0.0400829237774014,0.74,12523.0,0,,i7073,12523.0,495.57421875,441.0719198564593,-1.0,0.9998845585519024,5117988
1747610453,1747615578,5125,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2164 n_samples 931 k_neighbors 8 n_permutations 6 significance_level 0.08548097009956837,2164,931,8,6,0.0854809700995683,0.7,5112.0,0,,i7159,5112.0,544.921875,492.0287219785575,-1.0,0.9936738086442556,5123765
1747627486,1747629300,1814,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 979 n_samples 76 k_neighbors 80 n_permutations 117 significance_level 0.5300023233368992,979,76,80,117,0.5300023233368992,0.74,1799.0,0,,i7182,1799.0,521.69140625,479.7557305975275,-1.0,0.9999769117103804,5132417
1747625628,1747639302,13674,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 63 n_samples 209 k_neighbors 33 n_permutations 678 significance_level 0.9659275152962655,63,209,33,678,0.9659275152962656,0.76,13661.0,0,,i7185,13661.0,482.63671875,387.6421966441112,-1.0,0.9961211673439232,5131469
1747637030,1747642720,5690,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3387 n_samples 193 k_neighbors 68 n_permutations 265 significance_level 0.8390072096306831,3387,193,68,265,0.8390072096306831,0.74,5676.0,0,,i7134,5676.0,537.08984375,491.9574013157895,-1.0,0.999861470262283,5136460
1744277961,1744278528,567,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 20 n_samples 57 k_neighbors 83 n_permutations 93 significance_level 0.0632035945765674,20,57,83,93,0.0632035945765674,0.78,551.0,0,,i7138,551.0,489.125,485.0191945043104,-1.0,0.9989148503878832,4208896
1744358832,1744358845,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 57 n_permutations 178 significance_level 0.5314526585338007,5000,1,57,178,0.5314526585338007,,,1,,i7136,,,,,,4219630
1744358834,1744358847,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 100 n_permutations 1000 significance_level 0.9728973132578687,5000,1,100,1000,0.9728973132578688,,,1,,i7120,,,,,,4219635
1744358834,1744358847,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4285 n_samples 1 k_neighbors 100 n_permutations 1 significance_level 0.7639093972715056,4285,1,100,1,0.7639093972715056,,,1,,i7120,,,,,,4219634
1744358863,1744358876,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 932 n_samples 1 k_neighbors 95 n_permutations 471 significance_level 0.8760123709758418,932,1,95,471,0.8760123709758418,,,1,,i7119,,,,,,4219640
1744358864,1744358877,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 71 n_permutations 1000 significance_level 0.001,1,1,71,1000,0.001,,,1,,i7093,,,,,,4219645
1744358904,1744358929,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1905 n_samples 1 k_neighbors 12 n_permutations 1 significance_level 0.8428411688609718,1905,1,12,1,0.8428411688609718,,,1,,i7080,,,,,,4219659
1744358894,1744358951,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3413 n_samples 1 k_neighbors 1 n_permutations 1 significance_level 0.6931841616389748,3413,1,1,1,0.6931841616389748,0.71,47.0,0,,i7093,47.0,483.02734375,482.9162946428572,-1.0,0.0,4219648
1744358904,1744360669,1765,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 1 n_permutations 1000 significance_level 0.0920825929403362,1,1,1,1000,0.0920825929403362,0.71,1743.0,0,,i7080,1743.0,482.85546875,482.81592072740114,-1.0,0.0,4219657
