start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745889321,1745889334,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2687 n_samples 1 k_neighbors 72 n_permutations 30 significance_level 0.999,2687,1,72,30,0.999,,,1,,i7185,4829915,,,,,
1745448074,1745448094,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2907 n_samples 30 k_neighbors 88 n_permutations 720 significance_level 0.42100189915299413,2907,30,88,720,0.4210018991529941,,,1,,i7178,4660432,,,,,
1745493079,1745493098,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1665 n_samples 18 k_neighbors 52 n_permutations 54 significance_level 0.8996378066707402,1665,18,52,54,0.8996378066707402,,,1,,i7185,4686483,,,,,
1745528582,1745528595,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4451 n_samples 5 k_neighbors 40 n_permutations 386 significance_level 0.00937077653966844,4451,5,40,386,0.0093707765396684,,,1,,i7185,4703715,,,,,
1747653892,1747655495,1603,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1028 n_samples 44 k_neighbors 24 n_permutations 800 significance_level 0.8519426047801971,1028,44,24,800,0.8519426047801971,0.79,1589.0,0,,i7145,5145247,1589.0,806.328125,787.0697544642857,-1.0,0.9997481108312344
1747664436,1747666252,1816,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4816 n_samples 113 k_neighbors 88 n_permutations 378 significance_level 0.28252109078504145,4816,113,88,378,0.2825210907850414,0.77,1792.0,0,,i7080,5148714,1792.0,837.11328125,786.1473428914835,-1.0,0.9994122586062132
1747657827,1747666604,8777,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2198 n_samples 330 k_neighbors 82 n_permutations 625 significance_level 0.9002122361436486,2198,330,82,625,0.9002122361436486,0.79,8757.0,0,,i7147,5146655,8757.0,797.3125,760.1877672462941,-1.0,0.9997481108312344
1747662207,1747668049,5842,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2513 n_samples 272 k_neighbors 44 n_permutations 632 significance_level 0.5232278644833713,2513,272,44,632,0.5232278644833713,0.79,5824.0,0,,i7092,5147992,5824.0,810.94921875,772.2742000214041,-1.0,0.997984886649874
1747669516,1747679121,9605,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4019 n_samples 1438 k_neighbors 23 n_permutations 16 significance_level 0.5414596504103393,4019,1438,23,16,0.5414596504103393,0.69,9580.0,0,,i7173,5150251,9580.0,951.13671875,847.9577880859375,-1.0,0.9828715365239294
1747688638,1747689592,954,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1303 n_samples 197 k_neighbors 68 n_permutations 54 significance_level 0.0926866128500551,1303,197,68,54,0.0926866128500551,0.78,945.0,0,,i7129,5154812,945.0,911.21875,821.1127577319587,-1.0,0.9971452560873216
1747690799,1747693908,3109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2034 n_samples 147 k_neighbors 41 n_permutations 962 significance_level 0.48614106186293066,2034,147,41,962,0.4861410618629306,0.78,3097.0,0,,i7123,5155296,3097.0,790.90625,742.0083508613782,-1.0,0.998992443324937
1747687710,1747698140,10430,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3490 n_samples 453 k_neighbors 6 n_permutations 204 significance_level 0.45652720537409186,3490,453,6,204,0.4565272053740918,0.75,10415.0,0,,i7141,5154592,10415.0,803.0390625,743.1184496344679,-1.0,0.9980688497061292
