start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747741899,1747741912,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 144 window_size 2218 ev_threshold 0.3619004449415952 delta 0.2580405169390142 divergence_metric str\(\'intersection\'\) sample_period 0.05615714930929244 online_scaling False,144,2218,0.3619004449415952,0.2580405169390142,str\(\'intersection\'\),0.0561571493092924,False,,,1,,i7164,5172879,,,,,
1747741899,1747741912,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4350 window_size 3726 ev_threshold 0.8585573972892017 delta 0.509273771027103 divergence_metric str\(\'kl\'\) sample_period 0.01644150348380208 online_scaling True,4350,3726,0.8585573972892017,0.509273771027103,str\(\'kl\'\),0.016441503483802,True,,,1,,i7143,5172886,,,,,
1747741928,1747741935,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 99 window_size 2679 ev_threshold 0.8368178109992296 delta 0.7056487887762487 divergence_metric str\(\'intersection\'\) sample_period 0.08574472955428064 online_scaling False,99,2679,0.8368178109992296,0.7056487887762487,str\(\'intersection\'\),0.0857447295542806,False,,,1,,i7163,5172892,,,,,
1747741929,1747741935,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3518 window_size 2911 ev_threshold 0.4096256711762398 delta 0.5756078204680234 divergence_metric str\(\'intersection\'\) sample_period 0.042348247896879916 online_scaling False,3518,2911,0.4096256711762398,0.5756078204680234,str\(\'intersection\'\),0.0423482478968799,False,,,1,,i7148,5172897,,,,,
1747741929,1747741935,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4705 window_size 3511 ev_threshold 0.06088888615742326 delta 0.26095853686891496 divergence_metric str\(\'kl\'\) sample_period 0.025511827282607556 online_scaling False,4705,3511,0.0608888861574232,0.2609585368689149,str\(\'kl\'\),0.0255118272826075,False,,,1,,i7157,5172894,,,,,
1747741929,1747741936,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2465 window_size 870 ev_threshold 0.975739794028923 delta 0.7972280740998685 divergence_metric str\(\'intersection\'\) sample_period 0.06666665099561216 online_scaling False,2465,870,0.975739794028923,0.7972280740998685,str\(\'intersection\'\),0.0666666509956121,False,,,1,,i7185,5172888,,,,,
1747741929,1747741942,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2430 window_size 4159 ev_threshold 0.4414950750302523 delta 0.22347641542181373 divergence_metric str\(\'intersection\'\) sample_period 0.09616350686177612 online_scaling False,2430,4159,0.4414950750302523,0.2234764154218137,str\(\'intersection\'\),0.0961635068617761,False,,,1,,i7149,5172896,,,,,
1747741929,1747741942,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4315 window_size 1371 ev_threshold 0.3170048033129424 delta 0.4661281518731266 divergence_metric str\(\'kl\'\) sample_period 0.034757282398641114 online_scaling True,4315,1371,0.3170048033129424,0.4661281518731266,str\(\'kl\'\),0.0347572823986411,True,,,1,,i7158,5172893,,,,,
1747741929,1747741942,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 801 window_size 2433 ev_threshold 0.532015693411231 delta 0.5044024836197496 divergence_metric str\(\'intersection\'\) sample_period 0.07645533985458315 online_scaling True,801,2433,0.532015693411231,0.5044024836197496,str\(\'intersection\'\),0.0764553398545831,True,,,1,,i7156,5172895,,,,,
1747741960,1747741966,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3233 window_size 545 ev_threshold 0.9661830628681928 delta 0.9780268249902874 divergence_metric str\(\'kl\'\) sample_period 0.04517587748356164 online_scaling True,3233,545,0.9661830628681928,0.9780268249902874,str\(\'kl\'\),0.0451758774835616,True,,,1,,i7185,5172898,,,,,
