start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747989062,1747989069,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4789 window_size 1503 ev_threshold 0.13424543849378825 delta 0.29268833677098155 divergence_metric str\(\'intersection\'\) sample_period 0.05004009638912976 online_scaling True,4789,1503,0.1342454384937882,0.2926883367709815,str\(\'intersection\'\),0.0500400963891297,True,,,1,,i7166,5181730
1747989062,1747989069,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1841 window_size 3549 ev_threshold 0.754266031647101 delta 0.5046138827744872 divergence_metric str\(\'kl\'\) sample_period 0.06655416526831685 online_scaling False,1841,3549,0.754266031647101,0.5046138827744872,str\(\'kl\'\),0.0665541652683168,False,,,1,,i7131,5181731
1748006027,1748006034,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 543 window_size 1673 ev_threshold 0.04948396203480661 delta 0.09148556844703853 divergence_metric str\(\'kl\'\) sample_period 0.010938298404216767 online_scaling False,543,1673,0.0494839620348066,0.0914855684470385,str\(\'kl\'\),0.0109382984042167,False,,,1,,i7007,5184402
1748006057,1748006070,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3451 window_size 3376 ev_threshold 0.9345991361252963 delta 0.8617235718667507 divergence_metric str\(\'intersection\'\) sample_period 0.08438026275485755 online_scaling True,3451,3376,0.9345991361252964,0.8617235718667507,str\(\'intersection\'\),0.0843802627548575,True,,,1,,i7028,5184403
1748006087,1748006099,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4787 window_size 2990 ev_threshold 0.5143782078810036 delta 0.016093517454341053 divergence_metric str\(\'kl\'\) sample_period 0.06237983541563154 online_scaling True,4787,2990,0.5143782078810036,0.016093517454341,str\(\'kl\'\),0.0623798354156315,True,,,1,,i7028,5184404
1748006207,1748006219,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4322 window_size 3002 ev_threshold 0.4246069535557181 delta 0.4188813707139343 divergence_metric str\(\'intersection\'\) sample_period 0.024809685396030547 online_scaling False,4322,3002,0.4246069535557181,0.4188813707139343,str\(\'intersection\'\),0.0248096853960305,False,,,1,,i7028,5184405
1748006238,1748006251,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4623 window_size 634 ev_threshold 0.48072305497154594 delta 0.2591677194684744 divergence_metric str\(\'intersection\'\) sample_period 0.07374421394430102 online_scaling False,4623,634,0.4807230549715459,0.2591677194684744,str\(\'intersection\'\),0.073744213944301,False,,,1,,i7028,5184406
1748006268,1748006280,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 824 window_size 4617 ev_threshold 0.10931594758480788 delta 0.24364694694429637 divergence_metric str\(\'kl\'\) sample_period 0.06549497039988637 online_scaling False,824,4617,0.1093159475848078,0.2436469469442963,str\(\'kl\'\),0.0654949703998863,False,,,1,,i7028,5184407
1748006298,1748006310,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2529 window_size 3769 ev_threshold 0.3489358192067593 delta 0.7370151893645525 divergence_metric str\(\'kl\'\) sample_period 0.06975823157466948 online_scaling True,2529,3769,0.3489358192067593,0.7370151893645525,str\(\'kl\'\),0.0697582315746694,True,,,1,,i7028,5184408
1748006328,1748006341,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3304 window_size 425 ev_threshold 0.09366357654705644 delta 0.6137764419484883 divergence_metric str\(\'kl\'\) sample_period 0.09516433262266219 online_scaling False,3304,425,0.0936635765470564,0.6137764419484883,str\(\'kl\'\),0.0951643326226621,False,,,1,,i7028,5184409
