start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746194724,1746198926,4202,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1573 n_samples 86 n_clusters 4 threshold 0.22626898614503443,1573,86,4,0.2262689861450344,0.82,4188.0,0,,i7172,4188.0,1324.515625,1245.772286965558,-1.0,0.9889259635378886,4903597
1746220247,1746225694,5447,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3919 n_samples 243 n_clusters 3 threshold 0.47161031008884313,3919,243,3,0.4716103100888431,0.74,5429.0,0,,i7173,5429.0,1992.453125,1358.8191012041284,-1.0,0.6719860728275062,4909034
1746232630,1746238106,5476,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3469 n_samples 68 n_clusters 8 threshold 0.7576405502445995,3469,68,8,0.7576405502445995,0.83,5460.0,0,,i7186,5460.0,1341.7734375,1311.5786952554745,-1.0,0.9989084854890744,4911667
1746255153,1746260388,5235,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 816 n_samples 221 n_clusters 9 threshold 0.5133090733606368,816,221,9,0.5133090733606368,0.76,5220.0,0,,i7179,5220.0,2421.80078125,1517.7624716722328,-1.0,0.716802069732579,4916456
1746302209,1746306216,4007,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2728 n_samples 171 n_clusters 3 threshold 0.3427690551970154,2728,171,3,0.3427690551970154,0.79,3990.0,0,,i7186,3990.0,2120.16796875,1602.3528191240648,-1.0,0.919989568437269,4928420
1746306077,1746310216,4139,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4739 n_samples 150 n_clusters 8 threshold 0.9250853562373668,4739,150,8,0.9250853562373668,0.8,4120.0,0,,i7186,4120.0,1415.8125,1366.4680612167874,-1.0,0.9726275103106672,4929228
1746330759,1746336973,6214,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3228 n_samples 391 n_clusters 1 threshold 0.5276559537947177,3228,391,1,0.5276559537947177,0.67,6202.0,0,,i7176,6202.0,1752.63671875,1300.2913987138263,-1.0,0.4042886848631807,4934592
1746364223,1746366551,2328,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2322 n_samples 52 n_clusters 10 threshold 0.34449581979587673,2322,52,10,0.3444958197958767,0.83,2311.0,0,,i7185,2311.0,1593.40625,1459.5624161748926,-1.0,0.998936118767832,4941920
1746367545,1746373730,6185,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4668 n_samples 209 n_clusters 6 threshold 0.09997030142135918,4668,209,6,0.0999703014213591,0.76,6166.0,0,,i7181,6166.0,1804.12890625,1365.9926489178802,-1.0,0.7966518828625313,4942577
1746376824,1746379286,2462,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SPLL recent_samples_size 640 n_samples 96 n_clusters 10 threshold 0.28126552615537065,640,96,10,0.2812655261553706,0.81,2448.0,0,,i7181,2448.0,1697.921875,1438.8739087803644,-1.0,0.9670162276429504,4944287
