start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744554766,1744554779,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3651 n_samples 965 n_clusters 2 threshold 0.9792626498933535,3651,965,2,0.9792626498933537,0.75,5.0,0,,i7157,5.0,531.85546875,527.1770833333334,-1.0,0.9555046723188316,4327519
1744554766,1744554779,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 306 n_samples 1 n_clusters 1 threshold 0.1616702266636766,306,1,1,0.1616702266636766,,,1,,i7157,,,,,,4327518
1744554766,1744554779,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 823 n_samples 572 n_clusters 2 threshold 0.999,823,572,2,0.999,0.75,4.0,0,,i7162,4.0,532.69140625,528.046875,-1.0,0.9712853518163252,4327514
1744554766,1744554779,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1 n_samples 5000 n_clusters 8 threshold 0.999,1,5000,8,0.999,0.73,3.0,0,,i7170,3.0,533.125,527.12890625,-1.0,0.0001237700352744,4327511
1744554766,1744554779,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2393 n_samples 3066 n_clusters 2 threshold 0.9572388447358355,2393,3066,2,0.9572388447358356,0.73,2.0,0,,i7167,2.0,533.64453125,527.6380208333334,-1.0,0.5923633888235658,4327512
1744554767,1744554780,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1146 n_samples 1102 n_clusters 1 threshold 0.7092786638381696,1146,1102,1,0.7092786638381696,0.74,5.0,0,,i7164,5.0,531.7734375,527.1653645833334,-1.0,0.8920106442230336,4327513
1744554761,1744554780,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 736 n_samples 1117 n_clusters 1 threshold 0.671934510070482,736,1117,1,0.671934510070482,0.74,7.0,0,,i7185,7.0,530.81640625,526.2057291666666,-1.0,0.5921158487530169,4327508
1744554736,1744554781,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 236 n_samples 20 n_clusters 7 threshold 0.20922129690088745,236,20,7,0.2092212969008874,0.72,36.0,0,,i7156,36.0,539.296875,530.9947916666666,-1.0,1.0,4327504
1744554760,1744554817,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2207 n_samples 13 n_clusters 1 threshold 0.5242364647129951,2207,13,1,0.5242364647129951,0.71,45.0,0,,i7183,45.0,540.01953125,530.72265625,-1.0,1.0,4327509
1744554766,1744554836,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 228 n_samples 4083 n_clusters 3 threshold 0.9043603777503896,228,4083,3,0.9043603777503896,0.72,59.0,0,,i7161,59.0,530.79296875,529.515625,-1.0,0.0282195680425768,4327515
