start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745669311,1745670197,886,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1803 n_samples 766 n_clusters 1 threshold 0.999,1803,766,1,0.999,0.92,875.0,0,,i7183,875.0,736.078125,669.2088107638889,-1.0,0.9999746131834948,4764760
1745670481,1745670495,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 270 n_samples 1 n_clusters 1 threshold 0.999,270,1,1,0.999,,,1,,i7180,,,,,,4765290
1745669913,1745671326,1413,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1315 n_samples 463 n_clusters 1 threshold 0.20591810954229225,1315,463,1,0.2059181095422922,0.92,1397.0,0,,i7181,1397.0,776.609375,685.6893430897887,-1.0,0.9999903288318076,4765049
1745671292,1745672322,1030,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1811 n_samples 668 n_clusters 3 threshold 0.999,1811,668,3,0.999,0.92,1014.0,0,,i7181,1014.0,754.72265625,668.7481971153846,-1.0,0.999960106431206,4765598
1745672102,1745673008,906,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 224 n_samples 320 n_clusters 3 threshold 0.7779040252904006,224,320,3,0.7779040252904006,0.89,894.0,0,,i7179,894.0,702.48828125,623.109375,-1.0,0.6247187805624026,4765886
1745673003,1745673806,803,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4176 n_samples 2044 n_clusters 1 threshold 0.999,4176,2044,1,0.999,0.9,786.0,0,,i7178,786.0,760.3671875,662.8716724537037,-1.0,0.9975326432148898,4766192
1745673961,1745674624,663,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 674 n_samples 755 n_clusters 1 threshold 0.8840709051505973,674,755,1,0.8840709051505973,0.91,647.0,0,,i7176,647.0,750.828125,649.3171058768656,-1.0,0.8433137774253174,4766504
1745675614,1745677038,1424,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1848 n_samples 3199 n_clusters 2 threshold 0.999,1848,3199,2,0.999,0.88,1415.0,0,,i7175,1415.0,637.0390625,577.2220052083334,-1.0,0.5540418834116496,4766982
1745676334,1745678008,1674,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1561 n_samples 2073 n_clusters 2 threshold 0.999,1561,2073,2,0.999,0.89,1658.0,0,,i7186,1658.0,737.5390625,646.1474376860119,-1.0,0.7227542036336997,4768137
1745676962,1745678136,1174,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 881 n_samples 2124 n_clusters 2 threshold 0.9563367319112591,881,2124,2,0.9563367319112592,0.85,1163.0,0,,i7184,1163.0,660.78515625,592.4999671743698,-1.0,0.4004540613466376,4768332
