start_time,end_time,run_time,program_string,recent_samples_size,delta,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744344113,1744344336,223,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 2185 delta 0.2433044930100441,2185,0.2433044930100441,0.6,203,0,,i7128,203,1051.58203125,1042.2734375,-1,0.197077089939414,4214854
1744344208,1744344353,145,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 49 delta 0.1066595594715327,49,0.1066595594715327,0.59,134,0,,i7083,134,1052.54296875,1043.73046875,-1,0.0097320953624449,4214879
1744344113,1744344373,260,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 2578 delta 0.6105957008749247,2578,0.6105957008749247,0.64,245,0,,i7119,245,1051.484375,1041.515914351852,-1,0.1291199491547671,4214855
1744344112,1744344414,302,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 4721 delta 0.4583414284344763,4721,0.4583414284344763,0.64,290,0,,i7083,290,1152.60546875,1074.540574596774,-1,0.2609134180293327,4214858
1744344142,1744344422,280,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 578 delta 0.8397979067694396,578,0.8397979067694396,0.62,262,0,,i7119,262,1052.94140625,1039.4571659482758,-1,0.0249563048779645,4214862
1744344203,1744344437,234,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 627 delta 0.525306886959821,627,0.525306886959821,0.63,223,0,,i7134,223,1052.6640625,1037.4875,-1,0.0303206151167851,4214877
1744344234,1744344438,204,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 2191 delta 0.9447342516109347,2191,0.9447342516109348,0.6,188,0,,i7096,188,1052.703125,1049.4986979166667,-1,0.0908167706368779,4214885
1744344174,1744344439,265,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 3721 delta 0.8003441600818187,3721,0.8003441600818187,0.63,246,0,,i7087,246,1089.39453125,1053.7589699074074,-1,0.1542351453855878,4214874
1744344173,1744344450,277,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 1517 delta 0.6374319295678288,1517,0.6374319295678288,0.64,261,0,,i7139,261,1052.6875,1036.3919719827586,-1,0.0523996048441137,4214870
1744344203,1744344475,272,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier STUDD recent_samples_size 4655 delta 0.7237277129348367,4655,0.7237277129348367,0.61,257,0,,i7062,257,1117.671875,1060.060546875,-1,0.1929493689249963,4214881
