start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747739820,1747739826,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4843 batch_size 3365 detection_buf_size 3029 overlap 0.3384761102888733 alpha 0.7443029415346682 gamma 2.2316169805787505 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3637,4843,3365,3029,0.3384761102888733,0.7443029415346682,2.2316169805787505,str\(\'ks-test\'\),str\(\'bounded\'\),3637,,,1,,i7184,5172111
1747739820,1747739833,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1717 batch_size 1556 detection_buf_size 2216 overlap 0.8705151976384222 alpha 0.32070531882718206 gamma 8.236690231487154 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 554,1717,1556,2216,0.8705151976384222,0.320705318827182,8.236690231487154,str\(\'t-test\'\),str\(\'full\'\),554,,,1,,i7184,5172113
1747739820,1747739833,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2181 batch_size 2715 detection_buf_size 280 overlap 0.9612263543754817 alpha 0.4094820621814579 gamma 6.02621031467896 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2880,2181,2715,280,0.9612263543754817,0.4094820621814579,6.02621031467896,str\(\'ks-test\'\),str\(\'bounded\'\),2880,,,1,,i7181,5172115
1747739820,1747739833,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4057 batch_size 2053 detection_buf_size 4457 overlap 0.49933136232756076 alpha 0.5172901863213628 gamma 4.434778346574866 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1037,4057,2053,4457,0.4993313623275607,0.5172901863213628,4.434778346574866,str\(\'t-test\'\),str\(\'full\'\),1037,,,1,,i7171,5172120
1747739850,1747739856,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2885 batch_size 12 detection_buf_size 991 overlap 0.42183916316367687 alpha 0.6175902279559523 gamma 6.448212301769295 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1830,2885,12,991,0.4218391631636768,0.6175902279559523,6.448212301769295,str\(\'t-test\'\),str\(\'full\'\),1830,,,1,,i7179,5172130
1747739850,1747739856,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4048 batch_size 2700 detection_buf_size 2923 overlap 0.5192266026902944 alpha 0.890558459142223 gamma 8.2057197565604 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 18,4048,2700,2923,0.5192266026902944,0.890558459142223,8.2057197565604,str\(\'ks-test\'\),str\(\'full\'\),18,,,1,,i7176,5172134
1747739850,1747739857,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2875 batch_size 4449 detection_buf_size 1312 overlap 0.5654507660102099 alpha 0.9927924801018089 gamma 0.2590602171123028 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 2039,2875,4449,1312,0.5654507660102099,0.9927924801018088,0.2590602171123028,str\(\'ks-test\'\),str\(\'full\'\),2039,,,1,,i7185,5172122
1747739850,1747739863,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1011 batch_size 4444 detection_buf_size 4235 overlap 0.8836451352573931 alpha 0.4473918606732041 gamma 3.080290465113707 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 4919,1011,4444,4235,0.8836451352573931,0.4473918606732041,3.080290465113707,str\(\'ks-test\'\),str\(\'bounded\'\),4919,,,1,,i7184,5172124
1747739879,1747739886,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2171 batch_size 2068 detection_buf_size 2498 overlap 0.053462914001196626 alpha 0.03423415496386588 gamma 2.2580152306910604 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3253,2171,2068,2498,0.0534629140011966,0.0342341549638658,2.2580152306910604,str\(\'t-test\'\),str\(\'bounded\'\),3253,,,1,,i7179,5172140
1747739911,1747739918,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1708 batch_size 3370 detection_buf_size 20 overlap 0.14207697863131763 alpha 0.1969532557874918 gamma 4.426994292789139 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 814,1708,3370,20,0.1420769786313176,0.1969532557874918,4.426994292789139,str\(\'ks-test\'\),str\(\'full\'\),814,,,1,,i7186,5172151
