start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747320289,1747320413,124,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 160 batch_size 532 detection_buf_size 1358 overlap 0.6271495234966278 alpha 0.9336391880512237 gamma 9.985338127672673 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 4948,160,532,1358,0.6271495234966278,0.9336391880512236,9.985338127672671,str\(\'t-test\'\),str\(\'full\'\),4948,0.73,87.0,0,,i7181,87.0,528.69921875,526.2436079545455,-1.0,0.0,5050969
1747320883,1747321001,118,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2314 batch_size 802 detection_buf_size 485 overlap 0.4390433437693864 alpha 0.16079203167185188 gamma 7.379374090308324 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 4401,2314,802,485,0.4390433437693864,0.1607920316718518,7.379374090308324,str\(\'t-test\'\),str\(\'full\'\),4401,0.73,82.0,0,,i7151,82.0,530.26953125,527.7720170454545,-1.0,0.0,5051388
1747321520,1747321573,53,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2375 batch_size 4404 detection_buf_size 4140 overlap 0.9321822847072035 alpha 0.9028261033240705 gamma 2.0558714956147597 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3846,2375,4404,4140,0.9321822847072035,0.9028261033240704,2.05587149561476,str\(\'t-test\'\),str\(\'bounded\'\),3846,0.73,26.0,0,,i7136,26.0,526.59375,525.30546875,-1.0,0.0,5051760
1747321637,1747321896,259,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1691 batch_size 146 detection_buf_size 3259 overlap 0.8687758053969592 alpha 0.8187475745026023 gamma 4.171705740427599 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 2221,1691,146,3259,0.8687758053969592,0.8187475745026023,4.171705740427599,str\(\'ks-test\'\),str\(\'full\'\),2221,0.73,221.0,0,,i7130,221.0,529.4140625,527.75515625,-1.0,0.0,5051811
1747322297,1747322772,475,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 798 batch_size 1041 detection_buf_size 4912 overlap 0.056921307992190126 alpha 0.08685306673124432 gamma 1.6316245378339662 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 2143,798,1041,4912,0.0569213079921901,0.0868530667312443,1.6316245378339662,str\(\'ks-test\'\),str\(\'full\'\),2143,0.73,413.0,0,,i7119,413.0,535.9921875,528.5727982954545,-1.0,0.0,5052040
1747323027,1747323140,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3492 batch_size 421 detection_buf_size 1118 overlap 0.9824078631810844 alpha 0.523153350610286 gamma 6.021238033696078 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 1289,3492,421,1118,0.9824078631810844,0.523153350610286,6.021238033696078,str\(\'ks-test\'\),str\(\'full\'\),1289,0.73,87.0,0,,i7118,87.0,528.54296875,526.6111505681819,-1.0,0.0,5052384
1747323715,1747324064,349,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4137 batch_size 586 detection_buf_size 3051 overlap 0.11960237264074386 alpha 0.24720531922206282 gamma 7.655295455746353 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 3822,4137,586,3051,0.1196023726407438,0.2472053192220628,7.655295455746353,str\(\'ks-test\'\),str\(\'full\'\),3822,0.73,314.0,0,,i7106,314.0,530.7109375,528.8536305147059,-1.0,0.0,5052646
1747324873,1747325236,363,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1094 batch_size 294 detection_buf_size 75 overlap 0.23214584323763848 alpha 0.41844518074579534 gamma 1.9975310699017719 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4766,1094,294,75,0.2321458432376384,0.4184451807457953,1.997531069901772,str\(\'ks-test\'\),str\(\'full\'\),4766,0.73,312.0,0,,i7097,312.0,525.484375,519.1884191176471,-1.0,0.0,5053080
1747326211,1747326289,78,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3391 batch_size 933 detection_buf_size 3782 overlap 0.8067125564813614 alpha 0.9712439721841365 gamma 5.020093859012239 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4370,3391,933,3782,0.8067125564813614,0.9712439721841364,5.020093859012239,str\(\'ks-test\'\),str\(\'full\'\),4370,0.73,50.0,0,,i7087,50.0,530.2265625,526.3292410714286,-1.0,0.0,5053524
1747326663,1747326735,72,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 450 batch_size 654 detection_buf_size 3708 overlap 0.5840466725118458 alpha 0.5708240417130291 gamma 8.954824568779207 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1935,450,654,3708,0.5840466725118458,0.5708240417130291,8.954824568779207,str\(\'t-test\'\),str\(\'full\'\),1935,0.73,63.0,0,,i7086,63.0,524.90625,519.8467881944445,-1.0,0.0,5053672
1747334661,1747334720,59,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4750 batch_size 1007 detection_buf_size 668 overlap 0.6897124091740697 alpha 0.7732859642747789 gamma 0.8542364063672722 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1628,4750,1007,668,0.6897124091740697,0.7732859642747789,0.8542364063672722,str\(\'t-test\'\),str\(\'full\'\),1628,0.73,49.0,0,,i7145,49.0,530.66796875,526.6897321428571,-1.0,0.0,5056838
1747334821,1747335131,310,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2058 batch_size 377 detection_buf_size 4385 overlap 0.27120549798570576 alpha 0.3359631555024534 gamma 6.49540562237613 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 2483,2058,377,4385,0.2712054979857057,0.3359631555024534,6.49540562237613,str\(\'t-test\'\),str\(\'full\'\),2483,0.73,253.0,0,,i7043,253.0,529.49609375,528.4899553571429,-1.0,0.0,5056881
1747335326,1747335404,78,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4355 batch_size 1243 detection_buf_size 4684 overlap 0.46679085029661654 alpha 0.5947567342501133 gamma 2.440055314509198 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2873,4355,1243,4684,0.4667908502966165,0.5947567342501133,2.440055314509198,str\(\'ks-test\'\),str\(\'bounded\'\),2873,0.73,66.0,0,,i7041,66.0,531.12109375,527.359375,-1.0,0.0,5057034
1747334490,1747336467,1977,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2763 batch_size 35 detection_buf_size 2493 overlap 0.37685436495020985 alpha 0.008294682223349809 gamma 3.3844585152333604 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1549,2763,35,2493,0.3768543649502098,0.0082946822233498,3.3844585152333604,str\(\'t-test\'\),str\(\'full\'\),1549,0.73,1951.0,0,,i7105,1951.0,535.828125,523.7966370558376,-1.0,0.0,5056781
