start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1751006599,1751006624,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2982 batch_size 645 detection_buf_size 2863 overlap 0.9942322488520294 alpha 0.8172841026652604 gamma 1.6174812392462046 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2,2982,645,2863,0.9942322488520294,0.8172841026652604,1.6174812392462046,str\(\'ks-test\'\),2,str\(\'bounded\'\),0.91,11.0,0,,i7176,11.0,758.60546875,753.9462890625,-1.0,0.0,5569704
1751006699,1751007022,323,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2124 batch_size 897 detection_buf_size 4317 overlap 0.6797165704704821 alpha 0.5580472663361579 gamma 4.582413655781187 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3,2124,897,4317,0.6797165704704821,0.5580472663361579,4.582413655781187,str\(\'t-test\'\),3,str\(\'bounded\'\),0.91,303.0,0,,i7159,303.0,766.3125,756.1403882575758,-1.0,0.0,5569753
1751014495,1751020699,6204,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3569 batch_size 3873 detection_buf_size 2094 overlap 0.3355576767493039 alpha 0.8310795782078058 gamma 7.999204057561235 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 4,3569,3873,2094,0.3355576767493039,0.8310795782078058,7.999204057561235,str\(\'ks-test\'\),4,str\(\'bounded\'\),0.91,6182.0,0,,i7171,6182.0,877.39453125,812.0969758064516,-1.0,0.0,5570672
1751022421,1751023406,985,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2553 batch_size 3385 detection_buf_size 4937 overlap 0.41273637279681863 alpha 0.7823376241214574 gamma 4.9872599194729705 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 21,2553,3385,4937,0.4127363727968186,0.7823376241214574,4.9872599194729705,str\(\'ks-test\'\),21,str\(\'bounded\'\),,,-9,,i7181,,,,,,5571602
1751022354,1751028536,6182,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1088 batch_size 4741 detection_buf_size 1715 overlap 0.5175373306460679 alpha 0.4674580826256424 gamma 9.127649504029192 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 4,1088,4741,1715,0.5175373306460679,0.4674580826256424,9.127649504029192,str\(\'t-test\'\),4,str\(\'bounded\'\),0.91,6170.0,0,,i7186,6170.0,920.08984375,823.4578516256058,-1.0,0.0,5571586
1751022503,1751028751,6248,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1277 batch_size 2271 detection_buf_size 3234 overlap 0.6263999874908477 alpha 0.8365482620429248 gamma 8.652179050860926 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 4,1277,2271,3234,0.6263999874908477,0.8365482620429248,8.652179050860926,str\(\'t-test\'\),4,str\(\'bounded\'\),0.91,6214.0,0,,i7173,6214.0,846.203125,804.1889797351525,-1.0,0.0,5571635
1751029890,1751029896,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4447 batch_size 4713 detection_buf_size 4373 overlap 0.26890212247148154 alpha 0.3526820306889713 gamma 6.135607946137898 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 45,4447,4713,4373,0.2689021224714815,0.3526820306889713,6.135607946137898,str\(\'t-test\'\),45,str\(\'bounded\'\),,,1,,i7186,,,,,,5572809
1751029910,1751029916,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 596 batch_size 2176 detection_buf_size 1637 overlap 0.841146738089621 alpha 0.9670557829868048 gamma 4.631878272934817 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 11,596,2176,1637,0.841146738089621,0.9670557829868048,4.631878272934817,str\(\'ks-test\'\),11,str\(\'bounded\'\),,,1,,i7186,,,,,,5572810
1751029910,1751029916,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1206 batch_size 4348 detection_buf_size 418 overlap 0.8858255794718861 alpha 0.8465709119476378 gamma 0.7654010939160363 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 43,1206,4348,418,0.8858255794718861,0.8465709119476378,0.7654010939160363,str\(\'t-test\'\),43,str\(\'bounded\'\),,,1,,i7186,,,,,,5572811
1751029920,1751029927,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3758 batch_size 1264 detection_buf_size 2998 overlap 0.44448499983921647 alpha 0.45757642342709004 gamma 9.690301648278721 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3,3758,1264,2998,0.4444849998392164,0.45757642342709,9.69030164827872,str\(\'ks-test\'\),3,str\(\'bounded\'\),,,1,,i7185,,,,,,5572829
