start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747332345,1747339404,7059,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1360 n_reference_samples 3949 n_recent_samples 79 threshold 0.23883814341016113 stability_offset 1e-08,1360,3949,79,0.2388381434101611,1e-08,0.52,7036.0,0,,i7153,7036.0,803.3515625,758.7203125,-1.0,0.0,5055787
1747349666,1747351567,1901,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1920 n_reference_samples 2320 n_recent_samples 22 threshold 0.2674717617146671 stability_offset 0.3,1920,2320,22,0.2674717617146671,0.3,0.59,1873.0,0,,i7086,1873.0,795.68359375,782.7847039473684,-1.0,0.3229219143576826,5059927
1747393092,1747398623,5531,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3195 n_reference_samples 1236 n_recent_samples 9 threshold 0.5666759261805564 stability_offset 1e-08,3195,1236,9,0.5666759261805564,1e-08,0.81,5513.0,0,,i7135,5513.0,790.5234375,721.6523931962025,-1.0,1.0,5074468
1747405595,1747410815,5220,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 882 n_reference_samples 1509 n_recent_samples 128 threshold 0.001987118046730757 stability_offset 0.001,882,1509,128,0.0019871180467307,0.001,0.52,5208.0,0,,i7182,5208.0,797.203125,779.7262338671128,-1.0,0.0,5080118
1744350945,1744356412,5467,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 266 n_reference_samples 2105 n_recent_samples 87 threshold 0.9451440133154392 stability_offset 0.5,266,2105,87,0.9451440133154392,0.5,0.8,5453.0,0,,i7088,5453.0,791.94921875,762.0359060786107,-1.0,0.8382871536523929,4216955
1744398323,1744398480,157,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 293 n_recent_samples 1 threshold 0.07482312564560033 stability_offset 1e-12,1,293,1,0.0748231256456003,1e-12,0.52,141.0,0,,i7119,141.0,798.6875,797.8154871323529,-1.0,0.0,4244519
1744398323,1744398537,214,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2414 n_reference_samples 2194 n_recent_samples 1 threshold 0.07900925986887351 stability_offset 0.2,2414,2194,1,0.0790092598688735,0.2,0.52,203.0,0,,i7126,203.0,800.03515625,799.2265625,-1.0,0.0,4244514
1744398323,1744403501,5178,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2188 n_reference_samples 1 n_recent_samples 353 threshold 0.14153088620797352 stability_offset 1e-12,2188,1,353,0.1415308862079735,1e-12,0.85,5167.0,0,,i7124,5167.0,791.54296875,772.2892807683045,-1.0,1.0,4244516
1744398314,1744405369,7055,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 5000 n_recent_samples 1 threshold 0.999 stability_offset 0.9,5000,5000,1,0.999,0.9,0.73,7044.0,0,,i7136,7044.0,800.65625,769.0645139872521,-1.0,0.9999160369437448,4244506
1744422678,1744422841,163,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 985 n_reference_samples 350 n_recent_samples 1 threshold 0.001 stability_offset 0.0001,985,350,1,0.001,0.0001,0.52,148.0,0,,i7134,148.0,798.0703125,797.1861213235294,-1.0,0.0,4254106
