start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744552186,1744552199,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3614 n_reference_samples 2751 n_recent_samples 3414 threshold 0.001 stability_offset 1e-05,3614,2751,3414,0.001,1e-05,0.55,0,0,,i7167,0,633.9765625,633.8450520833334,-1,0.0,4326778
1744552187,1744552207,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 3138 n_recent_samples 4253 threshold 0.001 stability_offset 1e-12,5000,3138,4253,0.001,1e-12,0.55,0,0,,i7169,0,634.01171875,633.9817708333334,-1,0.0,4326776
1744552195,1744552207,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 1891 n_recent_samples 4410 threshold 0.999 stability_offset 1e-12,1,1891,4410,0.999,1e-12,0.55,0,0,,i7184,0,633.76953125,633.7200520833334,-1,0.0,4326781
1744552195,1744552208,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 4722 n_recent_samples 4661 threshold 0.5211166891763784 stability_offset 1e-10,5000,4722,4661,0.5211166891763784,1e-10,0.55,0,0,,i7183,0,633.7421875,633.6927083333334,-1,0.0,4326782
1744552195,1744552214,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 4457 n_recent_samples 4392 threshold 0.001 stability_offset 0.3,5000,4457,4392,0.001,0.3,0.55,0,0,,i7184,0,632.9296875,632.796875,-1,0.0,4326780
1744552215,1744552227,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 3435 n_recent_samples 4291 threshold 0.001 stability_offset 0.9,1,3435,4291,0.001,0.9,0.55,0,0,,i7180,0,632.76171875,632.7109375,-1,0.0,4326785
1744552215,1744552228,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 3360 n_recent_samples 4253 threshold 0.001 stability_offset 0.001,1,3360,4253,0.001,0.001,0.55,0,0,,i7184,0,634.62109375,634.5716145833334,-1,0.0,4326783
1744552215,1744552228,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 4577 n_recent_samples 1969 threshold 0.001 stability_offset 0.9,5000,4577,1969,0.001,0.9,0.55,0,0,,i7183,0,632.796875,632.7682291666666,-1,0.0,4326784
1744552215,1744552228,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 3168 n_recent_samples 4239 threshold 0.999 stability_offset 0.0001,5000,3168,4239,0.999,0.0001,0.55,0,0,,i7175,0,633.05078125,633.0,-1,0.0,4326787
1744552216,1744552228,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 4437 n_recent_samples 4122 threshold 0.999 stability_offset 1e-12,1,4437,4122,0.999,1e-12,0.55,0,0,,i7179,0,634.578125,634.5286458333334,-1,0.0,4326786
1744560287,1744560300,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 1 n_recent_samples 1 threshold 0.927771227724652 stability_offset 0.9,1,1,1,0.927771227724652,0.9,0.56,4,0,,i7059,4,639.546875,635.0729166666666,-1,0.9995,4329509
1744560297,1744560322,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2335 n_reference_samples 2461 n_recent_samples 1511 threshold 0.32737760075924793 stability_offset 0.01,2335,2461,1511,0.3273776007592479,0.01,0.55,0,0,,i7057,0,634.3046875,634.2747395833334,-1,0.0,4329513
1744560316,1744560329,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3464 n_reference_samples 2303 n_recent_samples 1789 threshold 0.6340502152625708 stability_offset 1e-12,3464,2303,1789,0.6340502152625708,1e-12,0.55,0,0,,i7062,0,632.73046875,632.7005208333334,-1,0.0,4329523
1744560317,1744560329,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 684 n_reference_samples 1 n_recent_samples 1 threshold 0.4075501059258274 stability_offset 0.9,684,1,1,0.4075501059258274,0.9,0.55,3,0,,i7056,3,639.25390625,634.8046875,-1,0.0,4329530
1744560345,1744560357,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3809 n_reference_samples 2129 n_recent_samples 2803 threshold 0.6245374449819103 stability_offset 0.9,3809,2129,2803,0.6245374449819103,0.9,0.55,0,0,,i7057,0,633.88671875,633.8567708333334,-1,0.0,4329535
