start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_windows,disjoint_training_windows,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744523445,1744523458,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2165 n_samples 1 n_windows 583 disjoint_training_windows True,2165,1,583,True,0.71,4,0,,i7078,4,483.57421875,483.4947916666667,-1,0.0,4301856
1744523446,1744523459,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2649 n_samples 2091 n_windows 4169 disjoint_training_windows True,2649,2091,4169,True,0.71,2,0,,i7075,2,482.40234375,482.3138020833333,-1,0.0,4301871
1744523447,1744523460,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2230 n_samples 5000 n_windows 5000 disjoint_training_windows True,2230,5000,5000,True,0.71,2,0,,i7079,2,483.8125,483.5481770833333,-1,0.0,4301852
1744523447,1744523460,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 5000 n_windows 544 disjoint_training_windows False,1,5000,544,False,0.65,5,0,,i7079,5,483.61328125,483.3424479166667,-1,0.000184706316956,4301853
1744523448,1744523467,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3113 n_samples 4414 n_windows 1065 disjoint_training_windows True,3113,4414,1065,True,0.71,2,0,,i7074,2,483.296875,483.0,-1,0.0,4301872
1744523453,1744523472,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 1775 n_windows 1615 disjoint_training_windows True,1,1775,1615,True,0.71,2,0,,i7076,2,482.51171875,482.4231770833333,-1,0.0,4301863
1744523453,1744523472,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 4419 n_samples 1821 n_windows 2154 disjoint_training_windows True,4419,1821,2154,True,0.71,2,0,,i7076,2,482.80859375,482.71484375,-1,0.0,4301865
1744523453,1744523472,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 499 n_windows 4739 disjoint_training_windows True,5000,499,4739,True,0.71,2,0,,i7076,2,483.9296875,483.8346354166667,-1,0.0,4301864
1744531541,1744531554,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3274 n_samples 838 n_windows 3908 disjoint_training_windows True,3274,838,3908,True,0.71,2,0,,i7017,2,482.29296875,482.2395833333333,-1,0.0,4312993
1744531541,1744531554,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 3285 n_windows 5000 disjoint_training_windows True,1,3285,5000,True,0.71,2,0,,i7012,2,483.546875,483.48046875,-1,0.0,4313008
1744531542,1744531555,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2535 n_samples 1595 n_windows 4248 disjoint_training_windows True,2535,1595,4248,True,0.71,2,0,,i7018,2,483.2578125,483.18359375,-1,0.0,4312988
1744531543,1744531556,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2165 n_samples 3803 n_windows 2836 disjoint_training_windows True,2165,3803,2836,True,0.71,2,0,,i7009,2,482.73046875,482.6458333333333,-1,0.0,4313014
1744531543,1744531556,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 2063 n_windows 1398 disjoint_training_windows True,5000,2063,1398,True,0.71,2,0,,i7014,2,484.17578125,484.1223958333333,-1,0.0,4313001
1744531543,1744531556,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 1006 n_windows 1574 disjoint_training_windows True,1,1006,1574,True,0.71,2,0,,i7025,2,482.8359375,482.7799479166667,-1,0.0,4312973
1744531543,1744531556,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 3052 n_windows 2852 disjoint_training_windows True,1,3052,2852,True,0.71,2,0,,i7020,2,482.62109375,482.5533854166667,-1,0.0,4312980
1744531544,1744531556,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2398 n_samples 1 n_windows 3070 disjoint_training_windows False,2398,1,3070,False,0.71,4,0,,i7074,4,482.375,482.2955729166667,-1,0.0,4313036
1744531546,1744531558,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3786 n_samples 4462 n_windows 3717 disjoint_training_windows True,3786,4462,3717,True,0.71,2,0,,i7002,2,484.80078125,484.4427083333333,-1,0.0,4313030
1744531547,1744531560,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 3883 n_windows 1703 disjoint_training_windows True,1,3883,1703,True,0.71,2,0,,i7004,2,482.51953125,482.4661458333333,-1,0.0,4313023
1744531559,1744531572,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2540 n_samples 3709 n_windows 1881 disjoint_training_windows True,2540,3709,1881,True,0.71,2,0,,i7180,2,482.734375,482.6809895833333,-1,0.0,4313044
1744531571,1744531584,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3827 n_samples 5000 n_windows 4227 disjoint_training_windows True,3827,5000,4227,True,0.71,2,0,,i7183,2,483.55859375,483.2825520833333,-1,0.0,4313050
1744531580,1744531593,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3166 n_samples 2262 n_windows 1746 disjoint_training_windows True,3166,2262,1746,True,0.71,2,0,,i7180,2,470.57421875,470.4635416666667,-1,0.0,4313057
1744531601,1744531614,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 909 n_windows 4175 disjoint_training_windows True,1,909,4175,True,0.71,2,0,,i7180,2,470.37109375,470.2643229166667,-1,0.0,4313064
1744531601,1744531614,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2129 n_samples 1 n_windows 2301 disjoint_training_windows False,2129,1,2301,False,0.71,4,0,,i7169,4,483.33203125,483.2591145833333,-1,0.0,4313069
1744531631,1744531644,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 3542 n_windows 1 disjoint_training_windows True,1,3542,1,True,0.71,2,0,,i7167,2,482.4375,482.3684895833333,-1,0.0002539711858145,4313083
1744531631,1744531644,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2704 n_samples 3388 n_windows 3049 disjoint_training_windows True,2704,3388,3049,True,0.71,2,0,,i7183,2,484.03515625,483.9622395833333,-1,0.0,4313076
1744531639,1744531652,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 941 n_windows 5000 disjoint_training_windows True,5000,941,5000,True,0.71,2,0,,i7183,2,482.55859375,482.48828125,-1,0.0,4313088
1744531661,1744531674,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 118 n_samples 977 n_windows 2764 disjoint_training_windows True,118,977,2764,True,0.71,2,0,,i7172,2,484.09765625,484.0091145833333,-1,0.0,4313094
1744531665,1744531684,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 4294 n_windows 2106 disjoint_training_windows True,1,4294,2106,True,0.71,2,0,,i7161,2,484.15234375,483.8606770833333,-1,0.0,4313100
1744531691,1744531704,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1132 n_samples 3123 n_windows 2507 disjoint_training_windows True,1132,3123,2507,True,0.71,2,0,,i7173,2,482.66015625,482.5690104166667,-1,0.0,4313106
1744531693,1744531713,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1922 n_samples 3196 n_windows 4786 disjoint_training_windows True,1922,3196,4786,True,0.71,2,0,,i7161,2,482.62890625,482.5364583333333,-1,0.0,4313112
1744531704,1744531717,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 669 n_samples 1492 n_windows 2827 disjoint_training_windows True,669,1492,2827,True,0.71,2,0,,i7157,2,482.3984375,482.3098958333333,-1,0.0,4313116
