start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1749856362,1749856432,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1755 feature_id 19 p 224 big_windowSize 1522 small_windowSize 137,1755,19,224,1522,137,0.04,60,0,,i7104,60.0,632.3671875,632.3077256944445,-1.0,0.0,5426177
1749856493,1749856524,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1274 feature_id 1 p 293 big_windowSize 1054 small_windowSize 244,1274,1,293,1054,244,0.04,23,0,,i7066,23.0,633.30078125,633.1671875,-1.0,0.0,5426249
1749856644,1749856695,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 553 feature_id 14 p 396 big_windowSize 543 small_windowSize 120,553,14,396,543,120,0.06,41,0,,i7086,41.0,633.8203125,633.7338169642857,-1.0,0.0,5426255
1749856733,1749856796,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1560 feature_id 9 p 429 big_windowSize 828 small_windowSize 187,1560,9,429,828,187,0.08,48,0,,i7125,48.0,633.66796875,633.5825892857143,-1.0,0.0,5426258
1749857183,1749857234,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1933 feature_id 4 p 38 big_windowSize 692 small_windowSize 34,1933,4,38,692,34,0.04,29,0,,i7053,29.0,632.9921875,632.88359375,-1.0,0.0005,5426278
1749857553,1749857622,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1991 feature_id 6 p 491 big_windowSize 1614 small_windowSize 258,1991,6,491,1614,258,0.04,59,0,,i7050,59.0,633.79296875,633.72509765625,-1.0,0.0,5426295
1749857729,1749857761,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 923 feature_id 19 p 5 big_windowSize 907 small_windowSize 225,923,19,5,907,225,0.04,9,0,,i7047,9.0,633.625,633.42578125,-1.0,0.0,5426305
1749857961,1749858018,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1344 feature_id 13 p 201 big_windowSize 780 small_windowSize 46,1344,13,201,780,46,0.05,44,0,,i7184,44.0,633.4453125,633.3616071428571,-1.0,0.0,5426312
1749858578,1749858622,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1566 feature_id 16 p 79 big_windowSize 1101 small_windowSize 103,1566,16,79,1101,103,0.04,26,0,,i7098,26.0,632.609375,632.49921875,-1.0,0.0,5426330
1749858797,1749858957,160,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 736 feature_id 17 p 173 big_windowSize 454 small_windowSize 5,736,17,173,454,5,0.05,147,0,,i7045,147.0,633.16796875,633.1282169117648,-1.0,0.0,5426335
1749858921,1749858996,75,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1940 feature_id 11 p 439 big_windowSize 1481 small_windowSize 240,1940,11,439,1481,240,0.04,64,0,,i7098,64.0,620.5078125,620.4483506944445,-1.0,0.0,5426337
1749859763,1749859801,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1527 feature_id 12 p 171 big_windowSize 570 small_windowSize 89,1527,12,171,570,89,0.06,25,0,,i7179,25.0,633.51171875,633.4046875,-1.0,0.0005,5426408
1749860131,1749860269,138,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1785 feature_id 2 p 497 big_windowSize 1780 small_windowSize 109,1785,2,497,1780,109,0.04,110,0,,i7133,110.0,620.32421875,618.4702524038462,-1.0,0.0005,5426411
1749860243,1749860325,82,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1186 feature_id 15 p 410 big_windowSize 1176 small_windowSize 127,1186,15,410,1176,127,0.04,71,0,,i7156,71.0,631.09765625,629.390234375,-1.0,0.0,5426414
1749860524,1749860556,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1659 feature_id 7 p 107 big_windowSize 1645 small_windowSize 238,1659,7,107,1645,238,0.04,23,0,,i7184,23.0,632.984375,632.8640625,-1.0,0.0,5426420
1749860372,1749860829,457,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 892 feature_id 0 p 279 big_windowSize 665 small_windowSize 3,892,0,279,665,3,0.04,434,0,,i7111,434.0,633.2265625,632.3956351902174,-1.0,0.0,5426418
1749860964,1749861008,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1901 feature_id 18 p 312 big_windowSize 949 small_windowSize 194,1901,18,312,949,194,0.04,33,0,,i7153,33.0,633.60546875,633.4830729166666,-1.0,0.0,5426426
1749861131,1749861200,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1599 feature_id 3 p 321 big_windowSize 1358 small_windowSize 139,1599,3,321,1358,139,0.04,58,0,,i7153,58.0,633.25,633.18115234375,-1.0,0.0,5426429
1749862101,1749862164,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1714 feature_id 19 p 386 big_windowSize 434 small_windowSize 36,1714,19,386,434,36,0.04,48,0,,i7098,48.0,632.37109375,632.2829241071429,-1.0,0.0,5426441
1749862329,1749862360,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1195 feature_id 1 p 68 big_windowSize 903 small_windowSize 85,1195,1,68,903,85,0.04,23,0,,i7098,23.0,633.4375,633.32578125,-1.0,0.0,5426444
1749862502,1749862653,151,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1972 feature_id 8 p 212 big_windowSize 1223 small_windowSize 18,1972,8,212,1223,18,0.06,140,0,,i7098,140.0,633.00390625,632.970458984375,-1.0,0.0,5426446
1749862628,1749862779,151,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1647 feature_id 11 p 89 big_windowSize 1263 small_windowSize 252,1647,11,89,1263,252,0.04,23,0,,i7150,23.0,501.9921875,501.834375,-1.0,0.0,5426448
1749863061,1749863174,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1645 feature_id 4 p 467 big_windowSize 1191 small_windowSize 64,1645,4,467,1191,64,0.04,100,0,,i7171,100.0,631.0390625,630.9930889423077,-1.0,0.0,5426456
1749863334,1749863646,312,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1423 feature_id 7 p 313 big_windowSize 934 small_windowSize 7,1423,7,313,934,7,0.04,293,0,,i7183,293.0,633.49609375,633.477783203125,-1.0,0.0,5426491
1749864002,1749864053,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 532 feature_id 2 p 311 big_windowSize 363 small_windowSize 44,532,2,311,363,44,0.04,39,0,,i7144,39.0,632.3046875,632.216796875,-1.0,0.0,5426651
1749864361,1749864405,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1769 feature_id 10 p 76 big_windowSize 1328 small_windowSize 217,1769,10,76,1328,217,0.04,22,0,,i7090,22.0,634.265625,634.14609375,-1.0,0.0,5426765
1749864599,1749864630,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1730 feature_id 11 p 59 big_windowSize 981 small_windowSize 147,1730,11,59,981,147,0.04,18,0,,i7174,18.0,634.14453125,633.994140625,-1.0,0.0,5426806
1749864923,1749864961,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 246 feature_id 15 p 460 big_windowSize 165 small_windowSize 32,246,15,460,165,32,0.04,26,0,,i7157,26.0,632.58203125,632.2578125,-1.0,0.0,5426810
1749865089,1749865202,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1957 feature_id 0 p 354 big_windowSize 1676 small_windowSize 160,1957,0,354,1676,160,0.04,77,0,,i7157,77.0,611.93359375,610.9578125,-1.0,0.0,5426814
1749865165,1749865203,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 726 feature_id 7 p 26 big_windowSize 633 small_windowSize 81,726,7,26,633,81,0.04,16,0,,i7161,16.0,487.73046875,487.4765625,-1.0,0.0,5426816
1749865314,1749865352,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1445 feature_id 19 p 163 big_windowSize 1145 small_windowSize 205,1445,19,163,1145,205,0.04,27,0,,i7176,27.0,633.8828125,633.76328125,-1.0,0.0,5426818
