trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,const,max_depth,threshold
0,1753865896.000000000000000000000000000000,1753878333.000000000000000000000000000000,12437.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3225 n_samples 1902 const 4.285373003005982 max_depth 12 threshold 0.7367570300102234,0.000000000000000000000000000000,,i7186,12414.000000000000000000000000000000,552.269531250000000000000000000000,468.032730163918017751711886376143,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.806250000000000022204460492503,5694902.000000000000000000000000000000,0_0,COMPLETED,SOBOL,12414.000000000000000000000000000000,3.879999999999999893418589635985,3225,1902,4.285373003005982006641261250479,12,0.736757030010223412652692331903
1,1753865879.000000000000000000000000000000,1753866678.000000000000000000000000000000,799.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 387 n_samples 4061 const 6.283953187421896 max_depth 6 threshold 0.3767330035082996,0.000000000000000000000000000000,,i7182,779.000000000000000000000000000000,553.660156250000000000000000000000,553.610156250000045474735088646412,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5694909.000000000000000000000000000000,1_0,COMPLETED,SOBOL,779.000000000000000000000000000000,0.000000000000000000000000000000,387,4061,6.283953187421896124931208760245,6,0.376733003508299579831231085336
2,1753865872.000000000000000000000000000000,1753865903.000000000000000000000000000000,31.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2458 n_samples 52 const 2.143593700201251 max_depth 19 threshold 0.21630083233490585,0.000000000000000000000000000000,,i7181,16.000000000000000000000000000000,562.750000000000000000000000000000,554.750000000000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.625000000000000000000000000000,5694912.000000000000000000000000000000,2_0,COMPLETED,SOBOL,16.000000000000000000000000000000,5.879999999999999893418589635985,2458,52,2.143593700201250840109423734248,19,0.216300832334905851483952687886
3,1753865889.000000000000000000000000000000,1753866462.000000000000000000000000000000,573.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3966 n_samples 3361 const 9.832752197880298 max_depth 5 threshold 0.9205502684284002,0.000000000000000000000000000000,,i7178,556.000000000000000000000000000000,551.812500000000000000000000000000,551.812500000000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5694919.000000000000000000000000000000,3_0,COMPLETED,SOBOL,556.000000000000000000000000000000,0.000000000000000000000000000000,3966,3361,9.832752197880298083987327117939,5,0.920550268428400153553070595080
4,1753865891.000000000000000000000000000000,1753865909.000000000000000000000000000000,18.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4628 n_samples 1227 const 5.7560701706158 max_depth 1 threshold 0.7884144916962832,0.000000000000000000000000000000,,i7177,2.000000000000000000000000000000,551.550781250000000000000000000000,551.550781250000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.533749999999999946709294817992,5694924.000000000000000000000000000000,4_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.919999999999999928945726423990,4628,1227,5.756070170615799952429370023310,1,0.788414491696283192823102581315
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,1762,2821,3.680589766584336786081621539779,17,0.083373059079051015096695209650
6,1753865900.000000000000000000000000000000,1753877021.000000000000000000000000000000,11121.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1019 n_samples 1820 const 7.82064768446237 max_depth 10 threshold 0.26016054997593163,0.000000000000000000000000000000,,i7175,11100.000000000000000000000000000000,553.910156250000000000000000000000,529.127063878262788421125151216984,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.127374999999999988231635938973,5694933.000000000000000000000000000000,6_0,COMPLETED,SOBOL,11100.000000000000000000000000000000,1.429999999999999937827510620991,1019,1820,7.820647684462369575442153291078,10,0.260160549975931632005199389823
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,2559,4758,0.210823379416950063003355353430,14,0.619392556717619280348685606441
8,1753865912.000000000000000000000000000000,1753866380.000000000000000000000000000000,468.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3042 n_samples 416 const 8.186723299860024 max_depth 17 threshold 0.49345505361631514,0.000000000000000000000000000000,,i7173,443.000000000000000000000000000000,553.496093750000000000000000000000,551.538646941489332675701007246971,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.586375000000000090594198809413,5694942.000000000000000000000000000000,8_0,COMPLETED,SOBOL,443.000000000000000000000000000000,17.570000000000000284217094304040,3042,416,8.186723299860023672636089031585,17,0.493455053616315142406278937415
9,1753865927.000000000000000000000000000000,1753866008.000000000000000000000000000000,81.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 887 n_samples 3671 const 1.133638297719881 max_depth 3 threshold 0.6346239233035594,0.000000000000000000000000000000,,i7170,69.000000000000000000000000000000,552.441406250000000000000000000000,552.441406250000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.110875000000000001332267629550,5694949.000000000000000000000000000000,9_0,COMPLETED,SOBOL,69.000000000000000000000000000000,3.810000000000000053290705182008,887,3671,1.133638297719880894121047276712,3,0.634623923303559434039300413133
