trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,66.000000000000000000000000000000,97.409999999999996589394868351519,2217,71,0.929765199065208380879710148292,0.965823366522788995247594812099,119,EDFSMode.RANDOM
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,13.000000000000000000000000000000,10.439999999999999502620084967930,3835,49,0.343422753660008295284455925866,0.295590805906802422953205677914,946,EDFSMode.RANDOM
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,81.000000000000000000000000000000,18.969999999999998863131622783840,2837,84,0.640089140253141564151917464187,0.543422952337190512395181940519,599,EDFSMode.RANDOM
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,6.000000000000000000000000000000,44.369999999999997442046151263639,704,11,0.102468975985422733332441680432,0.218564839644357550296760450692,522,EDFSMode.RANDOM
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,21.000000000000000000000000000000,30.710000000000000852651282912120,449,89,0.429342698751017437519550412617,0.001106229834258556357293179495,420,EDFSMode.RANDOM
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,10.000000000000000000000000000000,15.400000000000000355271367880050,3200,18,0.827596889993175821587101381738,0.737491009645164008468043448374,716,EDFSMode.RANDOM
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,9.000000000000000000000000000000,11.419999999999999928945726423990,4820,51,0.126523830229416489601135253906,0.485759713748469934557761007454,841,EDFSMode.RANDOM
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,23.000000000000000000000000000000,47.219999999999998863131622783840,1320,31,0.600790518568828701972961425781,0.752263922909274684869274096854,238,EDFSMode.RANDOM
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,11.000000000000000000000000000000,11.039999999999999147348717087880,1836,78,0.226619070015847690058308216976,0.664153796581551381095209762861,888,EDFSMode.RANDOM
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,27.000000000000000000000000000000,72.250000000000000000000000000000,4547,4,0.500848507687449262526513393823,0.090513078240677710684103374206,177,EDFSMode.RANDOM
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,22.000000000000000000000000000000,34.479999999999996873611962655559,3706,66,0.453416879255324589692577319511,0.836325170282274488187113092863,467,EDFSMode.RANDOM
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,13.000000000000000000000000000000,9.830000000000000071054273576010,168,41,0.803674042295664525781262454984,0.416793488625437025252296052713,654,EDFSMode.RANDOM
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,19.000000000000000000000000000000,22.100000000000001421085471520200,1143,57,0.726145237281918487504128734145,0.365017686242237682225919570556,773,EDFSMode.RANDOM
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,8.000000000000000000000000000000,26.480000000000000426325641456060,2799,37,0.016261542432010174519252387881,0.880304025167599313306254771305,362,EDFSMode.RANDOM
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,76.000000000000000000000000000000,39.780000000000001136868377216160,4263,95,0.967090452771633857231847741787,0.130593255825340759379571409227,293,EDFSMode.RANDOM
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,11.000000000000000000000000000000,16.030000000000001136868377216160,2169,25,0.305944260824471736537333299566,0.616276667781174181115488863725,785,EDFSMode.RANDOM
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,656.000000000000000000000000000000,22.320000000000000284217094304040,2016,99,0.548051172960549615176262250316,0.452765076890587814251176723701,517,EDFSMode.RANDOM
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,344.000000000000000000000000000000,27.440000000000001278976924368180,4102,21,0.210465931992977861586524568338,0.808215121403336511640702610748,563,EDFSMode.RANDOM
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,15.000000000000000000000000000000,9.269999999999999573674358543940,2646,62,0.755373075120151060701800815878,0.062342119993641975650433550982,993,EDFSMode.RANDOM
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,28.000000000000000000000000000000,111.760000000000005115907697472721,982,33,0.470424726322293262903428967547,0.700064475478604397729043284926,141,EDFSMode.RANDOM
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,194.000000000000000000000000000000,42.579999999999998294697434175760,14,67,0.061653433870524167181859098719,0.517933998119086025369028902787,244,EDFSMode.RANDOM
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,701.000000000000000000000000000000,13.650000000000000355271367880050,3546,40,0.712076922494918163053512216720,0.221081985365599392734381467562,877,EDFSMode.RANDOM
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,15.000000000000000000000000000000,14.220000000000000639488462184090,4394,79,0.259701452538371069245215494448,0.970853664075955746781687594193,667,EDFSMode.RANDOM
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,14.000000000000000000000000000000,41.869999999999997442046151263639,1676,3,0.982253277264535373802800677367,0.266735925948247298844506758542,397,EDFSMode.RANDOM
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,13.000000000000000000000000000000,20.660000000000000142108547152020,1479,56,0.358455182360485180570464081029,0.182351495133712876439702199605,620,EDFSMode.RANDOM
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,614.000000000000000000000000000000,26.039999999999999147348717087880,4972,26,0.883407231623306921086680176813,0.571774742590263507224790373584,459,EDFSMode.RANDOM
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,649.000000000000000000000000000000,59.609999999999999431565811391920,3359,94,0.088287389775738120412107434731,0.324003505527973190147861259902,196,EDFSMode.RANDOM
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,659.000000000000000000000000000000,10.669999999999999928945726423990,601,13,0.685352546868845835525974052871,0.929670944392681164458736020606,938,EDFSMode.RANDOM
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,24.000000000000000000000000000000,15.160000000000000142108547152020,864,85,0.844718008482828741634307334607,0.850848333945497858898932008742,820,EDFSMode.RANDOM
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,11.000000000000000000000000000000,38.729999999999996873611962655559,2989,9,0.381170216398313665973063280035,0.395029227962717388589197753390,302,EDFSMode.RANDOM
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,34.000000000000000000000000000000,44.829999999999998294697434175760,3994,73,0.584767776338383504786122557562,0.646699614491313745645584276645,341,EDFSMode.RANDOM
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,155.000000000000000000000000000000,13.289999999999999147348717087880,2369,47,0.173841648152098071644644505795,0.099629731502383953034573949026,723,EDFSMode.RANDOM
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,795.000000000000000000000000000000,66.400000000000005684341886080801,2444,83,0.439704734442755595935636847571,0.256787526879459604423061591660,216,EDFSMode.RANDOM
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,750.000000000000000000000000000000,15.449999999999999289457264239900,3910,12,0.786061630805954369982657681248,0.989032953176647411375199681061,848,EDFSMode.RANDOM
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,11.000000000000000000000000000000,16.100000000000001421085471520200,3074,70,0.240180778020992885535278560383,0.241773937402293082055138029318,696,EDFSMode.RANDOM
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,15.000000000000000000000000000000,25.570000000000000284217094304040,790,50,0.518306794272735738005053462985,0.504620149193331646308990912075,426,EDFSMode.RANDOM
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,19.000000000000000000000000000000,15.109999999999999431565811391920,520,52,0.949615036239847554178084010346,0.714040638960897977582931162033,544,EDFSMode.RANDOM
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,12.000000000000000000000000000000,21.550000000000000710542735760100,3432,30,0.292369229940697528125070903116,0.040150305904448034544085288644,590,EDFSMode.RANDOM
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,24.000000000000000000000000000000,13.599999999999999644728632119950,4900,90,0.743770975368097442270709507284,0.791307523095980291927276084607,966,EDFSMode.RANDOM
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,32.000000000000000000000000000000,114.420000000000001705302565824240,1561,17,0.029990820908918976173129777862,0.462309818947687745094299316406,114,EDFSMode.RANDOM
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,22.000000000000000000000000000000,16.390000000000000568434188608080,1595,64,0.653666070953011546507127604855,0.113963880194351080410442023094,791,EDFSMode.RANDOM
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,21.000000000000000000000000000000,47.240000000000001989519660128281,4467,44,0.119942485265433787522404429637,0.625109200013801435957816465816,273,EDFSMode.RANDOM
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,39.000000000000000000000000000000,29.890000000000000568434188608080,3474,76,0.916037821333855362126996624283,0.377748416174203183182100929116,370,EDFSMode.RANDOM
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,2.000000000000000000000000000000,18.039999999999999147348717087880,97,6,0.325795115757733566574927408510,0.859776448119431768724041376117,751,EDFSMode.RANDOM
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,11.000000000000000000000000000000,21.010000000000001563194018672220,1057,97,0.144134334467351438169302468850,0.919105921158567040762932265352,648,EDFSMode.RANDOM
