trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,1965.000000000000000000000000000000,19.320000000000000284217094304040,1105,2853,8.763834485352038683458886225708,0.037933862805366515280613981531,False,True
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,45.000000000000000000000000000000,0.000000000000000000000000000000,4075,374,3.952520543805323693931086381781,0.011565813431981951386884333033,True,False
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,3409,4502,5.304214383072220151404962962260,0.028967161965090783282139597077,True,False
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1530.000000000000000000000000000000,8.099999999999999644728632119950,1378,2022,0.106582440307363870979351361257,0.021306535957381130680365899366,False,True
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,2370.000000000000000000000000000000,2.870000000000000106581410364015,2264,4252,3.335249380877241431875290800235,0.013638648895546794451161254358,False,True
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.000000000000000000000000000000,3045,1733,8.132373397178016105613096442539,0.036719637852627787233394940358,True,False
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,4492,3396,1.983643440357409470919947125367,0.003849592427257448809529982725,True,False
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,721.000000000000000000000000000000,21.660000000000000142108547152020,273,878,7.175630810355768218755656562280,0.045734685912728313683661696132,False,True
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,2824.000000000000000000000000000000,2.410000000000000142108547152020,327,4744,1.541379474379122260785379694426,0.032782266678288582428812958369,True,True
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4858,2265,6.328887280215510280356738803675,0.018740899220574647188186645508,False,False
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2631,2629,2.537262342398054926206896197982,0.047744530527386815077495185733,False,False
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,88.000000000000000000000000000000,20.079999999999998294697434175760,2162,150,7.719622699670494192503156227758,0.003007267598062753934107238507,True,True
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,3077.000000000000000000000000000000,1.909999999999999920063942226989,1793,3619,5.721303846172989260310259851394,0.007581445965915919321664873110,True,True
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.899999999999999911182158029987,3512,1100,0.900383285825140822211665181385,0.043085751532111318806705924089,False,False
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4021,4009,9.606220122446305964558632695116,0.023363423333037647289245342108,False,False
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,1192.000000000000000000000000000000,11.650000000000000355271367880050,740,1490,4.398989774324000734395667677745,0.028075153740122916340427039472,True,True
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,914,3786,6.822609010972083609658511704765,0.006136083088815212638333917994,False,False
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,856.000000000000000000000000000000,11.500000000000000000000000000000,3882,1268,1.712873226453550223880029079737,0.044881778168026360831266430296,True,True
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,2294.000000000000000000000000000000,4.089999999999999857891452847980,3610,3548,7.860600733404048412467091111466,0.015875284944195301728431246602,True,True
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1579,1030,2.980939057938754466192676773062,0.035913554629310964760868785106,False,False
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1987,2705,1.080421645395457597160771001654,0.031303115477785470321947514094,False,False
