trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,126,1705,38,937,0.175816645473241800479158314374
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,3303,4093,51,292,0.624923870351165477998733877030
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,4070,1233,20,695,0.900288444422185474280695416383
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,2486,3631,94,82,0.415958303816616525860894171274
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,12193.000000000000000000000000000000,2.470000000000000195399252334028,1639,538,75,242,0.349463422488421215916787332390
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,4937,3072,39,598,0.834268093284219469651930012333
6,,,,,,,,,,,,,,,6_0,FAILED,SOBOL,,,2617,2264,83,390,0.574450324051082095166975705069
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,832,4788,6,776,0.124838263012468808632604577724
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,1027,761,78,556,0.706004571165889549533289937244
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,3046,3129,11,170,0.219481068711727844711134594036
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,4427,1538,67,814,0.494846847362816311122202250772
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,1519,3915,47,458,0.946147402487695243777920950379
12,,,,,,,,,,,,,,,12_0,FAILED,SOBOL,,,1898,2074,16,361,0.754903249856084590518889854138
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,4029,4628,98,973,0.304073388110846276610743643687
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,394.000000000000000000000000000000,1.810000000000000053290705182008,3575,48,30,9,0.044256823457777504093879628044
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,477,2592,60,655,0.530279265217483031236156421073
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,4497.000000000000000000000000000000,4.490000000000000213162820728030,429,298,7,413,0.383393842391669736890946751373
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,3644,2696,81,800,0.931905927456915361695166666323
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,3824,2020,49,219,0.657591107737273028455149415095
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,2122,4408,63,574,0.144027861114591371194393332189
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,1256,1328,95,735,0.093159391008317465887600405949
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,4671,3853,18,120,0.607192290015518665313720703125
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,2939,853,62,897,0.865867001991718954201360247680
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,1115,3387,26,254,0.316854718770831822460820603737
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,764,2472,54,34,0.975955100633204009064058936929
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,2666,4851,33,677,0.464097881428897407474210012879
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,4712,446,90,337,0.189783790405839675186072668112
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,1843,2814,23,951,0.736589818309992594436153012794
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,2241,983,41,852,0.560968745715916150551549890224
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,4333,3527,71,498,0.014636147521436215779289113925
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,3215,1759,3,518,0.273311588194221244396686643086
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,234,4313,85,130,0.784664772432297485948993198690
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,258,1121,69,279,0.109924567241221668445483317100
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,3170,3743,46,883,0.590335866842418899302913359861
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,4278,1583,77,99,0.817883943572640381702854028845
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,2274,4215,12,737,0.364868348985910417869860111750
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,1730,2297,31,583,0.430892049897462103835721336509
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,4842,4754,58,190,0.884377386096864892550684089656
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,2787,582,14,795,0.641310931131243711078582236951
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,660,3028,100,430,0.160399522602558131101346816649
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,1247,1425,22,152,0.515360691640526002998967669555
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,2826,4028,92,516,0.060152716714888809779182565762
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,4571,639,36,472,0.287701492398977298758921961053
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,1380,3251,54,866,0.770305202081799533786465872254
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,1692.000000000000000000000000000000,0.709999999999999964472863211995,2080,83,84,957,0.961076270762830975336044048163
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,3850,2558,5,319,0.478946139503270362780540381209
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,3678,2118,74,667,0.235880383491516104621510407924
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,375,4584,40,63,0.690584472164511686820276281651
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,600,1898,89,755,0.333124771699309374373143555204
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,3474,4529,24,392,0.850576402783393858975102830300
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,3273.000000000000000000000000000000,1.989999999999999991118215802999,3919,186,55,623,0.622007124710828085412117616215
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,2031,2808,32,228,0.077372954670339819105429057799
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,1467,897,1,77,0.127770355895161641379687011977
53,,,,,,,,,,,,,,,53_0,FAILED,SOBOL,,,4463,3343,87,712,0.672878907412290616640859752806
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,3071,1362,43,301,0.917116972643882033544571186212
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,984,3818,69,908,0.399160354826599339528314658310
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,8291.000000000000000000000000000000,2.220000000000000195399252334028,866,324,48,629,0.800937561690807320324836382497
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,2562,2936,65,23,0.258008497044444062851198395947
58,,,,,,,,,,,,,,,58_0,FAILED,SOBOL,,,4891,2361,9,995,0.029440393809229137289662503463
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,1661,4963,79,359,0.545186949241906360086318272806
60,,,,,,,,,,,,,,,60_0,RUNNING,SOBOL,,,2381,1803,60,448,0.720335049420595119329391309293
61,,,,,,,,,,,,,,,61_0,RUNNING,SOBOL,,,4190,4269,27,843,0.205059098139405260319279022951
62,,,,,,,,,,,,,,,62_0,RUNNING,SOBOL,,,3434,1018,96,176,0.449298338208347580735591009216
63,,,,,,,,,,,,,,,63_0,RUNNING,SOBOL,,,14,3493,17,538,0.991726252932101481896154382412
64,,,,,,,,,,,,,,,64_0,COMPLETED,SOBOL,3416.000000000000000000000000000000,2.180000000000000159872115546023,76,621,98,31,0.579845535937696721084932960366
65,,,,,,,,,,,,,,,65_0,RUNNING,SOBOL,,,3374,2989,15,636,0.097119598556309943981901255938
66,,,,,,,,,,,,,,,66_0,RUNNING,SOBOL,,,4179,2337,58,351,0.367474063873291012516375531050
67,,,,,,,,,,,,,,,67_0,RUNNING,SOBOL,,,2394,4715,29,988,0.823048067554831508374491022551
68,,,,,,,,,,,,,,,68_0,RUNNING,SOBOL,,,1689,1622,10,835,0.881287965390831207201927099959
69,,,,,,,,,,,,,,,69_0,RUNNING,SOBOL,,,4865,4176,78,442,0.426218948442488920758108861264
70,,,,,,,,,,,,,,,70_0,RUNNING,SOBOL,,,2508,1160,47,547,0.171380816549062731102281986750
71,,,,,,,,,,,,,,,71_0,RUNNING,SOBOL,,,923,3704,66,183,0.653632372453808785373041700950
72,,,,,,,,,,,,,,,72_0,RUNNING,SOBOL,,,960,2157,38,399,0.049658459771424530437844424569
73,,,,,,,,,,,,,,,73_0,RUNNING,SOBOL,,,3092,4545,74,764,0.502551796916872239862073001859
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,787.000000000000000000000000000000,2.620000000000000106581410364015,4513,121,6,221,0.772907466813921972814682703756
75,,,,,,,,,,,,,,,75_0,RUNNING,SOBOL,,,1415,2519,82,614,0.292862166225910214301109135704
76,,,,,,,,,,,,,,,76_0,RUNNING,SOBOL,,,1964,677,51,705,0.475852792758494624880682977164
77,,,,,,,,,,,,,,,77_0,RUNNING,SOBOL,,,3983,3212,37,67,0.956399243269115739707331158570
78,,,,,,,,,,,,,,,78_0,RUNNING,SOBOL,,,3490,1464,93,915,0.701562315955758131202912863955
79,,,,,,,,,,,,,,,79_0,RUNNING,SOBOL,,,582,3989,20,311,0.248198374658823023297671284126
80,,,,,,,,,,,,,,,80_0,RUNNING,SOBOL,,,318,1402,72,507,0.853696161061525349289524911001
81,,,,,,,,,,,,,,,81_0,RUNNING,SOBOL,,,3733,3780,42,144,0.337828210726380362416421121452
82,,,,,,,,,,,,,,,82_0,RUNNING,SOBOL,,,3876,936,86,875,0.066300172124058004419211442837
83,,,,,,,,,,,,,,,83_0,RUNNING,SOBOL,,,2052,3304,3,480,0.609594194788485754799012283911
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,2397.000000000000000000000000000000,2.280000000000000248689957516035,1366,225,35,328,0.683460488975048074955509491701
85,,,,,,,,,,,,,,,85_0,RUNNING,SOBOL,,,4582,2769,55,964,0.140666575238108632062150604725
86,,,,,,,,,,,,,,,86_0,RUNNING,SOBOL,,,2886,1937,24,54,0.396524064425379019205308850360
87,,,,,,,,,,,,,,,87_0,RUNNING,SOBOL,,,1185,4491,91,660,0.911922273147851236707595035114
88,,,,,,,,,,,,,,,88_0,RUNNING,SOBOL,,,679,1057,19,877,0.261132419303059581938697419901
89,,,,,,,,,,,,,,,89_0,RUNNING,SOBOL,,,2771,3454,95,271,0.805645164698362337141190891998
90,,,,,,,,,,,,,,,90_0,FAILED,SOBOL,,,4778,1842,26,743,0.534117854792624746629314813617
91,,,,,,,,,,,,,,,91_0,FAILED,SOBOL,,,1797,4230,63,107,0.017031151983886959333513999582
92,,,,,,,,,,,,,,,92_0,FAILED,SOBOL,,,2326,2399,81,196,0.215644843682646747407005705099
93,,,,,,,,,,,,,,,93_0,FAILED,SOBOL,,,4228,4924,8,592,0.733235432744026138784931845294
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,3150,363,64,424,0.989093650627881237902272459905
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,281,2897,50,786,0.444107326809316860227738743561
96,,,,,,,,,,,,,,,96_0,FAILED,SOBOL,,,167,2224,4,685,0.637850665207952305379990320944
97,,,,,,,,,,,,,,,97_0,FAILED,SOBOL,,,3280,4827,84,40,0.186185152065008879818108766813
