trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,10.000000000000000000000000000000,16.500000000000000000000000000000,4216,2637,3425,False
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,591,614,1267,True
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.920000000000000039968028886506,2336,4257,3818,False
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3721,1260,879,True
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2800,4666,2443,True
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,7.000000000000000000000000000000,3.080000000000000071054273576010,1380,2334,2862,False
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,919,3476,336,True
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,4510,789,4974,False
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.129999999999999893418589635985,4689,3767,243,False
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1131,1744,4452,True
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,10.000000000000000000000000000000,3.540000000000000035527136788005,1569,3121,1881,False
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3001,124,2808,True
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3293,3298,4340,True
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,6.000000000000000000000000000000,11.859999999999999431565811391920,1904,964,972,False
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,173,4841,3479,True
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,5.000000000000000000000000000000,14.939999999999999502620084967930,3775,2155,1829,False
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3908,4882,4636,True
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,1.000000000000000000000000000000,6.759999999999999786837179271970,37,1883,56,False
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2038,3260,2530,True
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,6.000000000000000000000000000000,8.169999999999999928945726423990,3158,1240,2167,False
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.709999999999999964472863211995,2824,2850,1231,False
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1748,167,4074,True
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,5.000000000000000000000000000000,2.640000000000000124344978758018,954,4043,1625,False
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4868,1708,3685,True
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4685,3748,1532,True
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,747,748,3163,False
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1555,4391,670,True
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,10.000000000000000000000000000000,3.140000000000000124344978758018,2627,2371,4020,False
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,9.000000000000000000000000000000,1.889999999999999902300373832986,3581,4215,3052,False
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2474,1530,2260,True
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,10.000000000000000000000000000000,2.259999999999999786837179271970,450,2673,4690,False
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4354,338,617,True
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4291,4369,1990,True
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,7.000000000000000000000000000000,4.009999999999999786837179271970,357,1372,2703,False
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2421,2515,195,True
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,5.000000000000000000000000000000,0.670000000000000039968028886506,3478,492,4502,False
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,13.000000000000000000000000000000,2.750000000000000000000000000000,2563,3589,3585,False
