trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,,,,,,,,,,,,,,,0_0,ABANDONED,SOBOL,,,4139,2,468,455,1199
1,,,,,,,,,,,,,,,1_0,ABANDONED,SOBOL,,,229,0,61,1573,668
2,,,,,,,,,,,,,,,2_0,ABANDONED,SOBOL,,,2054,4,258,628,322
3,,,,,,,,,,,,,,,3_0,ABANDONED,SOBOL,,,3463,1,224,1274,1790
4,,,,,,,,,,,,,,,4_0,ABANDONED,SOBOL,,,2541,4,122,1216,1622
5,1753865524.000000000000000000000000000000,1753866247.000000000000000000000000000000,723.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1768 feature_id 2 p 406 big_windowSize 820 small_windowSize 29,0.000000000000000000000000000000,,i7186,5694459.000000000000000000000000000000,706.000000000000000000000000000000,553.183593750000000000000000000000,553.183593750000000000000000000000,-1.000000000000000000000000000000,0.289999999999999980015985556747,0.000000000000000000000000000000,5_0,COMPLETED,SOBOL,706.000000000000000000000000000000,0.000000000000000000000000000000,1768,2,406,820,29
6,,,,,,,,,,,,,,,6_0,ABANDONED,SOBOL,,,1112,3,162,1889,999
7,,,,,,,,,,,,,,,7_0,ABANDONED,SOBOL,,,4386,1,320,22,1406
8,,,,,,,,,,,,,,,8_0,ABANDONED,SOBOL,,,4719,3,126,899,534
9,,,,,,,,,,,,,,,9_0,ABANDONED,SOBOL,,,820,1,347,1003,1067
10,,,,,,,,,,,,,,,10_0,ABANDONED,SOBOL,,,1473,2,87,199,1907
11,1753865531.000000000000000000000000000000,1753865544.000000000000000000000000000000,13.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2873 feature_id 0 p 433 big_windowSize 1828 small_windowSize 439,1.000000000000000000000000000000,,i7186,5694460.000000000000000000000000000000,,,,,,,11_0,FAILED,SOBOL,,,2873,0,433,1828,439
12,1753865531.000000000000000000000000000000,1753865544.000000000000000000000000000000,13.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3132 feature_id 3 p 285 big_windowSize 1646 small_windowSize 146,1.000000000000000000000000000000,,i7186,5694462.000000000000000000000000000000,,,,,,,12_0,FAILED,SOBOL,,,3132,3,285,1646,146
13,,,,,,,,,,,,,,,13_0,ABANDONED,SOBOL,,,2349,0,188,267,1740
14,,,,,,,,,,,,,,,14_0,ABANDONED,SOBOL,,,521,4,495,1445,1273
15,,,,,,,,,,,,,,,15_0,ABANDONED,SOBOL,,,3804,2,26,592,867
16,,,,,,,,,,,,,,,16_0,ABANDONED,SOBOL,,,4055,4,362,1956,1868
17,,,,,,,,,,,,,,,17_0,ABANDONED,SOBOL,,,468,2,143,73,275
18,,,,,,,,,,,,,,,18_0,ABANDONED,SOBOL,,,2294,3,418,1126,745
19,,,,,,,,,,,,,,,19_0,ABANDONED,SOBOL,,,3380,0,71,777,1152
