start_time,end_time,run_time,program_string,lr,epochs,val_split,width_height,VAL_LOSS,RAM_USAGE,RUNTIME,exit_code,signal,hostname
1739361562,1739361639,77,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.07726193070411683 --epochs=35 --validation_split=0.013535645613446832 --width=7 --height=7,0.07726193070411683,35,0.013535645613446832,7,1.4662,635.55,77,0,None,arbeitsrechner
1739361645,1739361737,92,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.008628256618976593 --epochs=46 --validation_split=0.17442621850408613 --width=14 --height=14,0.008628256618976593,46,0.17442621850408613,14,0.2023,649.4,92,0,None,arbeitsrechner
1739361743,1739361809,66,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.04660521894693375 --epochs=31 --validation_split=0.1294724396895617 --width=11 --height=11,0.04660521894693375,31,0.1294724396895617,11,1.5251,637.25,66,0,None,arbeitsrechner
1739361814,1739361892,78,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06428804211318494 --epochs=42 --validation_split=0.2946813848894089 --width=18 --height=18,0.06428804211318494,42,0.2946813848894089,18,1.5393,653.16,78,0,None,arbeitsrechner
1739361898,1739361962,64,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.05663453135639429 --epochs=33 --validation_split=0.1948327425122261 --width=19 --height=19,0.05663453135639429,33,0.1948327425122261,19,1.5307,658.52,64,0,None,arbeitsrechner
1739361967,1739362067,100,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.026222207210958005 --epochs=44 --validation_split=0.06558154962956905 --width=10 --height=10,0.026222207210958005,44,0.06558154962956905,10,3.2867,638.23,100,0,None,arbeitsrechner
1739362073,1739362139,66,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.01346637811511755 --epochs=39 --validation_split=0.23798613468185068 --width=15 --height=15,0.01346637811511755,39,0.23798613468185068,15,0.669,649.7,66,0,None,arbeitsrechner
1739362144,1739362244,100,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.09439343605190516 --epochs=50 --validation_split=0.11362011792138217 --width=6 --height=6,0.09439343605190516,50,0.11362011792138217,6,1.5254,637.16,100,0,None,arbeitsrechner
1739362250,1739362311,61,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.09217685349285604 --epochs=31 --validation_split=0.259998340215534 --width=9 --height=9,0.09217685349285604,31,0.259998340215534,9,1.5372,636.64,61,0,None,arbeitsrechner
1739362317,1739362401,84,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.021932936459779742 --epochs=40 --validation_split=0.09896620033308863 --width=20 --height=20,0.021932936459779742,40,0.09896620033308863,20,1.4321,664.52,84,0,None,arbeitsrechner
1739362408,1739362484,76,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03495535328984261 --epochs=37 --validation_split=0.21712857466191052 --width=5 --height=5,0.03495535328984261,37,0.21712857466191052,5,1.1065,640.7,76,0,None,arbeitsrechner
1739362491,1739362599,108,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.054151408746838575 --epochs=47 --validation_split=0.0517779241874814 --width=16 --height=16,0.054151408746838575,47,0.0517779241874814,16,1.5165,652.07,108,0,None,arbeitsrechner
