start_time,end_time,run_time,program_string,n_samples,confidence,feature_proportion,n_clusters,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727815916,1727815966,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 531 confidence 0.05 feature_proportion 0.08970960807055235 n_clusters 3,531,0.05,0.08970960807055235,3,0.8515053296354462,0,None,i7186,46,0.00018699347900403798
1727815925,1727815970,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 880 confidence 0.25 feature_proportion 0.03252225089818239 n_clusters 4,880,0.25,0.03252225089818239,4,0.8448558158184917,0,None,i7186,41,0.0004961568098534715
1727815916,1727815972,56,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 697 confidence 0.01 feature_proportion 0.054493993520736694 n_clusters 2,697,0.01,0.054493993520736694,2,0.8416814248003475,0,None,i7186,51,0.0005429879373141308
1727815926,1727815974,48,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 970 confidence 0.005 feature_proportion 0.1803740117698908 n_clusters 1,970,0.005,0.1803740117698908,1,0.8417148394426438,0,None,i7186,44,0.000696933967893302
1727815925,1727815981,56,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 165 confidence 0.05 feature_proportion 0.1334313318133354 n_clusters 1,165,0.05,0.1334313318133354,1,0.8485982557556722,0,None,i7186,52,0.00014518085963200115
1727815937,1727815983,46,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 612 confidence 0.05 feature_proportion 0.028564392961561682 n_clusters 4,612,0.05,0.028564392961561682,4,0.8494336218130785,0,None,i7181,42,0.0002564210593603856
1727815936,1727815986,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 267 confidence 0.05 feature_proportion 0.13697684351354839 n_clusters 3,267,0.05,0.13697684351354839,3,0.8612289905436562,0,None,i7181,45,-3.4096573771687094e-07
1727815936,1727815991,55,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 743 confidence 0.005 feature_proportion 0.05080309994518757 n_clusters 4,743,0.005,0.05080309994518757,4,0.8493333778861898,0,None,i7186,50,0.00033043368492962494
1727815937,1727815991,54,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 401 confidence 0.01 feature_proportion 0.017815119586884975 n_clusters 3,401,0.01,0.017815119586884975,3,0.8475624018444883,0,None,i7181,50,0.00022042884998658033
1727815925,1727815992,67,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 164 confidence 0.001 feature_proportion 0.0509162075817585 n_clusters 2,164,0.001,0.0509162075817585,2,0.8418484980118288,0,None,i7186,62,0.00028500724311510947
1727815937,1727815994,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 156 confidence 0.01 feature_proportion 0.06475251447409391 n_clusters 1,156,0.01,0.06475251447409391,1,0.8410131319544224,0,None,i7186,54,0.00025269823236542257
1727815955,1727816001,46,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py Powersupply 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 903 confidence 0.001 feature_proportion 0.16882146764546635 n_clusters 4,903,0.001,0.16882146764546635,4,0.8424833762154575,0,None,i7181,43,0.0006248538109399543
