timestamp,ram_usage_mb,cpu_usage_percent
1727476458,473.08984375,49.8
1727476458,473.08984375,54.0
1727476458,473.08984375,49.7
1727476458,473.08984375,55.3
1727476458,473.08984375,37.5
1727476458,473.08984375,50.3
1727476458,473.08984375,40.6
1727476505,478.9609375,49.8
1727476505,478.9609375,54.3
1727476505,478.9609375,49.7
1727476505,478.9609375,39.4
1727476508,479.078125,49.9
1727476508,479.078125,54.3
1727476508,479.078125,47.6
1727476508,479.078125,58.7
1727476510,479.078125,49.9
1727476510,479.078125,39.4
1727476510,479.078125,54.2
1727476510,479.078125,42.4
1727476513,479.078125,49.9
1727476513,479.078125,48.7
1727476513,479.078125,49.0
1727476513,479.078125,57.8
1727476515,479.125,49.8
1727476515,479.125,53.1
1727476515,479.125,52.5
1727476515,479.125,40.6
1727476518,479.1796875,49.9
1727476518,479.1796875,39.4
1727476518,479.1796875,52.6
1727476518,479.1796875,44.4
1727476520,479.1796875,49.8
1727476520,479.1796875,54.3
1727476520,479.1796875,49.1
1727476520,479.1796875,55.6
1727476523,479.1796875,49.8
1727476523,479.1796875,56.5
1727476523,479.1796875,48.6
1727476523,479.1796875,58.1
1727476525,479.1796875,49.9
1727476525,479.1796875,54.3
1727476525,479.1796875,48.6
1727476525,479.1796875,56.5
1727476527,479.1796875,49.8
1727476527,479.1796875,54.3
1727476527,479.1796875,49.1
1727476527,479.1796875,40.0
1727476529,479.1796875,49.9
1727476529,479.1796875,46.2
1727476529,479.1796875,49.1
1727476529,479.1796875,55.8
1727476532,479.2578125,49.9
1727476532,479.2578125,55.3
1727476532,479.2578125,48.1
1727476532,479.2578125,57.8
1727476534,479.2578125,49.9
1727476534,479.2578125,47.4
1727476534,479.2578125,50.9
1727476534,479.2578125,40.6
1727476536,479.2578125,49.9
1727476536,479.2578125,57.4
1727476536,479.2578125,48.1
1727476536,479.2578125,45.9
1727476539,479.2890625,49.9
1727476539,479.2890625,39.4
1727476539,479.2890625,53.3
1727476539,479.2890625,38.7
1727476541,479.2890625,49.8
1727476541,479.2890625,52.1
1727476541,479.2890625,53.7
1727476541,479.2890625,38.7
1727476543,481.33984375,49.9
1727476543,481.33984375,56.2
1727476543,481.33984375,46.7
1727476543,481.33984375,56.8
1727476546,481.33984375,49.8
1727476546,481.33984375,55.3
1727476546,481.33984375,52.5
1727476546,481.33984375,39.4
1727476548,481.359375,49.9
1727476548,481.359375,44.7
1727476548,481.359375,52.0
1727476548,481.359375,40.6
1727476551,481.3671875,49.9
1727476551,481.3671875,55.6
1727476551,481.3671875,49.9
1727476551,481.3671875,40.6
1727476553,481.3671875,49.9
1727476553,481.3671875,37.5
1727476553,481.3671875,52.1
1727476553,481.3671875,41.9
1727476555,481.3671875,49.8
1727476555,481.3671875,55.6
1727476555,481.3671875,48.2
1727476555,481.3671875,51.2
1727476557,481.3671875,49.9
1727476557,481.3671875,38.2
1727476557,481.3671875,50.3
1727476557,481.3671875,58.7
1727476560,481.3671875,49.8
1727476560,481.3671875,39.4
1727476560,481.3671875,51.6
1727476560,481.3671875,55.6
1727476562,481.3671875,49.9
1727476562,481.3671875,36.4
1727476562,481.3671875,51.6
1727476562,481.3671875,58.7
1727476564,481.375,49.8
1727476564,481.375,45.9
1727476564,481.375,50.4
1727476564,481.375,56.8
1727476566,481.37890625,49.9
1727476566,481.37890625,39.4
1727476566,481.37890625,52.8
1727476566,481.37890625,40.6
1727476568,481.37890625,49.8
1727476568,481.37890625,38.2
1727476568,481.37890625,52.0
1727476568,481.37890625,40.6
1727476570,481.37890625,49.8
1727476570,481.37890625,55.6
1727476570,481.37890625,47.3
1727476570,481.37890625,55.6
1727476572,481.37890625,49.8
1727476572,481.37890625,53.2
1727476572,481.37890625,46.4
1727476572,481.37890625,56.5
1727476575,481.37890625,49.9
1727476575,481.37890625,41.2
1727476575,481.37890625,49.6
1727476575,481.37890625,56.3
1727476577,481.37890625,49.8
1727476577,481.37890625,55.3
1727476577,481.37890625,46.4
1727476577,481.37890625,56.5
1727476579,481.37890625,49.9
1727476579,481.37890625,40.0
1727476579,481.37890625,52.4
1727476579,481.37890625,40.6
1727476581,481.37890625,49.9
1727476581,481.37890625,37.1
1727476581,481.37890625,52.0
1727476581,481.37890625,48.8
1727476583,481.37890625,49.9
1727476583,481.37890625,54.3
1727476583,481.37890625,52.0
1727476583,481.37890625,37.1
1727476585,481.37890625,49.9
1727476585,481.37890625,55.3
1727476585,481.37890625,50.8
1727476585,481.37890625,42.4
1727476587,481.37890625,49.8
1727476587,481.37890625,54.3
1727476587,481.37890625,51.2
1727476587,481.37890625,40.6
1727476590,481.37890625,49.9
1727476590,481.37890625,40.0
1727476590,481.37890625,51.2
1727476590,481.37890625,56.8
1727476592,481.37890625,49.9
1727476592,481.37890625,56.3
1727476592,481.37890625,49.6
1727476592,481.37890625,44.1
1727476594,481.37890625,49.9
1727476594,481.37890625,50.0
1727476594,481.37890625,48.7
1727476594,481.37890625,55.6
1727476596,481.37890625,49.8
1727476596,481.37890625,53.3
1727476596,481.37890625,48.5
1727476596,481.37890625,45.5
1727476598,481.37890625,49.8
1727476598,481.37890625,38.2
1727476598,481.37890625,51.6
1727476598,481.37890625,58.7
1727476600,481.37890625,49.8
1727476600,481.37890625,54.3
1727476600,481.37890625,51.6
1727476600,481.37890625,39.4
1727476602,481.37890625,49.8
1727476602,481.37890625,54.3
1727476602,481.37890625,50.8
1727476602,481.37890625,45.7
1727476604,481.37890625,49.9
1727476604,481.37890625,52.1
1727476604,481.37890625,50.8
1727476604,481.37890625,42.4
1727476606,481.37890625,49.8
1727476606,481.37890625,50.0
1727476606,481.37890625,51.2
1727476606,481.37890625,38.7
1727476609,481.37890625,49.8
1727476609,481.37890625,55.3
1727476609,481.37890625,50.8
1727476609,481.37890625,39.4
1727476611,481.38671875,49.9
1727476611,481.38671875,41.7
1727476611,481.38671875,49.6
1727476611,481.38671875,54.8
1727476613,481.38671875,49.9
1727476613,481.38671875,39.4
1727476613,481.38671875,50.4
1727476613,481.38671875,56.8
1727476616,481.46484375,49.9
1727476616,481.46484375,39.4
1727476616,481.46484375,50.4
1727476616,481.46484375,56.5
1727476618,481.46484375,49.8
1727476618,481.46484375,55.3
1727476618,481.46484375,49.2
1727476618,481.46484375,40.6
1727476620,481.4765625,49.9
1727476620,481.4765625,48.8
1727476620,481.4765625,51.1
1727476620,481.4765625,41.2
1727476623,481.515625,49.9
1727476623,481.515625,55.3
1727476623,481.515625,50.0
1727476623,481.515625,48.7
1727476625,481.515625,49.9
1727476625,481.515625,38.2
1727476625,481.515625,52.9
1727476625,481.515625,47.2
1727476627,481.515625,49.9
1727476627,481.515625,38.2
1727476627,481.515625,53.1
1727476627,481.515625,37.5
1727476629,481.515625,49.8
1727476629,481.515625,54.3
1727476629,481.515625,50.4
1727476629,481.515625,40.6
1727476784,519.4921875,50.2
1727476784,519.4921875,53.2
1727476784,519.4921875,48.5
1727476784,519.4921875,56.8
1727476878,523.36328125,50.2
1727476878,523.36328125,56.5
1727476878,523.36328125,47.4
1727476878,523.36328125,56.8
1727477065,524.625,50.3
1727477065,524.625,52.1
1727477065,524.625,47.4
1727477065,524.625,58.7
1727477262,527.05078125,50.3
1727477262,527.05078125,46.2
1727477262,527.05078125,49.7
1727477262,527.05078125,58.7
1727477447,530.25,50.2
1727477447,530.25,40.0
1727477447,530.25,52.4
1727477447,530.25,37.1
1727477641,531.3828125,50.2
1727477641,531.3828125,43.2
1727477641,531.3828125,51.2
1727477641,531.3828125,42.4
1727477874,532.46875,50.2
1727477874,532.46875,39.4
1727477874,532.46875,50.6
1727477874,532.46875,54.3
1727478149,539.4453125,50.2
1727478149,539.4453125,56.2
1727478149,539.4453125,50.6
1727478149,539.4453125,40.6
1727478384,539.87890625,50.2
