timestamp,ram_usage_mb,cpu_usage_percent
1727627245,473.546875,49.7
1727627245,473.5859375,47.2
1727627246,473.65234375,49.9
1727627246,473.65234375,39.4
1727627246,473.65234375,56.5
1727627246,473.65234375,49.6
1727627246,473.65234375,40.0
1727627292,478.390625,49.8
1727627292,478.390625,55.6
1727627292,478.390625,49.6
1727627292,478.390625,57.8
1727627293,478.390625,49.7
1727627293,478.390625,36.4
1727627293,478.390625,53.4
1727627293,478.390625,41.2
1727627295,478.390625,49.8
1727627295,478.390625,37.5
1727627295,478.390625,55.5
1727627295,478.390625,39.4
1727627296,478.390625,49.7
1727627296,478.390625,56.2
1727627296,478.390625,50.9
1727627296,478.390625,47.2
1727627297,478.390625,49.7
1727627297,478.390625,54.3
1727627297,478.390625,49.5
1727627297,478.390625,40.6
1727627299,478.390625,49.8
1727627299,478.390625,39.4
1727627299,478.390625,48.6
1727627299,478.390625,57.8
1727627300,478.390625,49.7
1727627300,478.390625,56.5
1727627300,478.390625,46.8
1727627300,478.390625,56.5
1727627302,478.390625,49.7
1727627302,478.390625,56.5
1727627302,478.390625,49.5
1727627302,478.390625,53.2
1727627303,478.390625,49.7
1727627303,478.390625,47.7
1727627303,478.390625,50.5
1727627303,478.390625,41.9
1727627304,478.390625,49.8
1727627304,478.390625,41.7
1727627304,478.390625,52.9
1727627304,478.390625,39.4
1727627306,478.390625,49.7
1727627306,478.390625,38.2
1727627306,478.390625,54.2
1727627306,478.390625,39.4
1727627307,478.390625,49.8
1727627307,478.390625,36.4
1727627307,478.390625,54.2
1727627307,478.390625,40.6
1727627308,478.390625,49.7
1727627308,478.390625,35.3
1727627308,478.390625,54.2
1727627308,478.390625,38.7
1727627310,478.390625,49.8
1727627310,478.390625,52.3
1727627310,478.390625,49.6
1727627310,478.390625,54.5
1727627311,478.390625,49.8
1727627311,478.390625,52.3
1727627311,478.390625,49.5
1727627311,478.390625,40.0
1727627313,478.40625,49.7
1727627313,478.40625,54.3
1727627313,478.40625,48.1
1727627313,478.40625,57.8
1727627314,478.40625,49.7
1727627314,478.40625,56.5
1727627314,478.40625,49.0
1727627314,478.40625,57.8
1727627315,478.40625,49.7
1727627315,478.40625,55.3
1727627315,478.40625,48.1
1727627315,478.40625,54.3
1727627317,478.40625,49.7
1727627317,478.40625,37.5
1727627317,478.40625,53.4
1727627317,478.40625,41.2
1727627318,478.40625,49.7
1727627318,478.40625,46.3
1727627318,478.40625,50.4
1727627318,478.40625,50.0
1727627320,478.41796875,49.8
1727627320,478.41796875,55.6
1727627320,478.41796875,50.3
1727627320,478.41796875,39.4
1727627321,478.41796875,49.8
1727627321,478.41796875,38.2
1727627321,478.41796875,53.7
1727627321,478.41796875,38.7
1727627322,478.41796875,49.7
1727627322,478.41796875,54.2
1727627322,478.41796875,47.7
1727627322,478.41796875,44.1
1727627324,478.41796875,49.8
1727627324,478.41796875,48.9
1727627324,478.41796875,48.6
1727627324,478.41796875,48.6
1727627325,478.41796875,49.7
1727627325,478.41796875,38.2
1727627325,478.41796875,54.1
1727627325,478.41796875,37.5
1727627327,478.41796875,49.7
1727627327,478.41796875,53.2
1727627327,478.41796875,48.6
1727627327,478.41796875,55.6
1727627328,478.41796875,49.7
1727627328,478.41796875,38.2
1727627328,478.41796875,53.3
1727627328,478.41796875,39.4
1727627329,478.41796875,49.7
1727627329,478.41796875,51.1
1727627329,478.41796875,49.5
1727627329,478.41796875,39.4
1727627331,478.41796875,49.7
1727627331,478.41796875,53.2
1727627331,478.41796875,50.4
1727627331,478.41796875,44.1
1727627332,478.41796875,49.8
1727627332,478.41796875,41.2
1727627332,478.41796875,50.9
1727627332,478.41796875,50.0
1727627334,478.41796875,49.7
1727627334,478.41796875,54.3
1727627334,478.41796875,49.5
1727627334,478.41796875,52.4
1727627335,478.41796875,49.7
1727627335,478.41796875,53.1
1727627335,478.41796875,49.0
1727627335,478.41796875,51.3
1727627336,478.41796875,49.7
1727627336,478.41796875,55.1
1727627336,478.41796875,48.5
1727627336,478.41796875,48.7
1727627338,478.41796875,49.7
1727627338,478.41796875,36.4
1727627338,478.41796875,53.7
1727627338,478.41796875,39.4
1727627339,478.41796875,49.8
1727627339,478.41796875,54.3
1727627339,478.41796875,48.1
1727627339,478.41796875,44.1
1727627341,478.41796875,49.8
1727627341,478.41796875,56.2
1727627341,478.41796875,46.7
1727627341,478.41796875,50.0
1727627342,478.41796875,49.8
1727627342,478.41796875,53.2
1727627342,478.41796875,48.1
1727627342,478.41796875,53.5
1727627343,478.41796875,49.7
1727627343,478.41796875,56.5
1727627343,478.41796875,48.6
1727627343,478.41796875,40.6
1727627345,478.41796875,49.8
1727627345,478.41796875,38.2
1727627345,478.41796875,52.9
1727627345,478.41796875,40.6
1727627346,478.41796875,49.7
1727627346,478.41796875,55.3
1727627346,478.41796875,48.6
1727627346,478.41796875,55.6
1727627347,478.41796875,49.7
1727627347,478.41796875,54.2
1727627347,478.41796875,49.1
1727627347,478.41796875,55.3
1727627349,478.41796875,49.7
1727627349,478.41796875,51.0
1727627349,478.41796875,49.5
1727627349,478.41796875,40.6
1727627350,478.41796875,49.7
1727627350,478.41796875,54.3
1727627350,478.41796875,49.5
1727627350,478.41796875,40.6
1727627352,478.421875,49.8
1727627352,478.421875,38.2
1727627352,478.421875,52.9
1727627352,478.421875,38.7
1727627353,478.421875,49.7
1727627353,478.421875,55.3
1727627353,478.421875,48.1
1727627353,478.421875,56.5
1727627354,478.421875,49.8
1727627354,478.421875,40.0
1727627354,478.421875,51.7
1727627354,478.421875,50.0
1727627356,478.421875,49.7
1727627356,478.421875,44.7
1727627356,478.421875,52.2
1727627356,478.421875,39.4
1727627357,478.421875,49.7
1727627357,478.421875,53.2
1727627357,478.421875,51.7
1727627357,478.421875,44.4
1727627359,478.421875,49.7
1727627359,478.421875,54.3
1727627359,478.421875,48.1
1727627359,478.421875,55.6
1727627360,478.421875,49.7
1727627360,478.421875,44.7
1727627360,478.421875,51.3
1727627360,478.421875,39.4
1727627361,478.421875,49.8
1727627361,478.421875,35.3
1727627361,478.421875,53.3
1727627361,478.421875,40.6
1727627363,478.421875,49.8
1727627363,478.421875,54.3
1727627363,478.421875,48.6
1727627363,478.421875,54.5
1727627364,478.421875,49.7
1727627364,478.421875,54.3
1727627364,478.421875,47.2
1727627364,478.421875,55.6
1727627366,478.421875,49.7
1727627366,478.421875,54.3
1727627366,478.421875,48.2
1727627366,478.421875,56.8
1727627367,478.421875,49.7
1727627367,478.421875,37.1
1727627367,478.421875,54.2
1727627367,478.421875,42.5
1727627368,478.421875,49.7
1727627368,478.421875,38.2
1727627368,478.421875,53.0
1727627368,478.421875,52.1
1727627370,478.421875,49.7
1727627370,478.421875,53.2
1727627370,478.421875,48.1
1727627370,478.421875,54.2
1727627371,478.421875,49.8
1727627371,478.421875,53.1
1727627371,478.421875,47.2
1727627371,478.421875,56.8
1727627373,478.421875,49.7
1727627373,478.421875,40.0
1727627373,478.421875,50.5
1727627373,478.421875,52.4
1727627374,478.421875,49.8
1727627374,478.421875,54.3
1727627374,478.421875,49.1
1727627374,478.421875,39.4
1727627375,478.421875,49.7
1727627375,478.421875,53.2
1727627375,478.421875,47.2
1727627375,478.421875,58.7
1727627377,478.421875,49.7
1727627377,478.421875,55.3
1727627377,478.421875,48.6
1727627377,478.421875,39.4
1727627378,478.421875,49.7
1727627378,478.421875,54.3
1727627378,478.421875,47.7
1727627378,478.421875,57.4
1727627379,478.421875,49.7
1727627379,478.421875,54.3
1727627379,478.421875,48.1
1727627379,478.421875,57.8
1727627381,478.421875,49.7
1727627381,478.421875,54.2
1727627381,478.421875,50.0
1727627381,478.421875,45.9
1727627382,478.4296875,49.7
1727627382,478.4296875,43.2
1727627382,478.4296875,53.1
1727627382,478.4296875,41.2
1727627384,478.4296875,49.8
1727627384,478.4296875,54.3
1727627384,478.4296875,45.5
1727627384,478.4296875,57.8
1727627385,478.4296875,49.7
1727627385,478.4296875,37.5
1727627385,478.4296875,50.0
1727627385,478.4296875,56.8
1727627386,478.4296875,49.7
1727627386,478.4296875,53.5
1727627386,478.4296875,48.6
1727627386,478.4296875,57.4
1727627388,478.4296875,49.7
1727627388,478.4296875,56.5
1727627388,478.4296875,49.0
1727627388,478.4296875,55.6
1727627389,478.4296875,49.7
1727627389,478.4296875,54.3
1727627389,478.4296875,48.1
1727627389,478.4296875,55.6
1727627391,478.4296875,49.7
1727627391,478.4296875,42.9
1727627391,478.4296875,52.5
1727627391,478.4296875,40.6
1727627392,478.4296875,49.7
1727627392,478.4296875,39.4
1727627392,478.4296875,53.3
1727627392,478.4296875,37.5
1727627393,478.4296875,49.8
1727627393,478.4296875,50.0
1727627393,478.4296875,50.5
1727627393,478.4296875,39.4
1727627395,478.4296875,49.8
1727627395,478.4296875,38.2
1727627395,478.4296875,51.3
1727627395,478.4296875,48.7
1727627396,478.4296875,49.7
1727627396,478.4296875,54.2
1727627396,478.4296875,48.1
1727627396,478.4296875,55.6
1727627398,478.43359375,49.7
1727627398,478.43359375,51.0
1727627398,478.43359375,53.3
1727627398,478.43359375,39.4
1727627399,478.43359375,49.8
1727627399,478.43359375,51.1
1727627399,478.43359375,48.6
1727627399,478.43359375,50.0
1727627400,478.43359375,49.8
1727627400,478.43359375,54.3
1727627400,478.43359375,48.6
1727627400,478.43359375,54.8
1727627402,478.43359375,49.8
1727627402,478.43359375,55.3
1727627402,478.43359375,46.7
1727627402,478.43359375,56.5
1727627403,478.43359375,49.7
1727627403,478.43359375,54.3
1727627403,478.43359375,48.1
1727627403,478.43359375,52.1
1727627404,478.43359375,49.8
1727627404,478.43359375,43.6
1727627404,478.43359375,53.3
1727627404,478.43359375,40.6
1727627406,478.43359375,49.7
1727627406,478.43359375,54.3
1727627406,478.43359375,48.5
1727627406,478.43359375,54.3
1727627407,478.43359375,49.7
1727627407,478.43359375,54.2
1727627407,478.43359375,49.5
1727627407,478.43359375,38.7
1727627409,478.43359375,49.8
1727627409,478.43359375,53.2
1727627409,478.43359375,47.7
1727627409,478.43359375,55.3
1727627410,478.43359375,49.7
1727627410,478.43359375,55.3
1727627410,478.43359375,48.1
1727627410,478.43359375,39.4
1727627411,478.43359375,49.8
1727627411,478.43359375,46.2
1727627411,478.43359375,49.2
1727627411,478.43359375,56.8
1727627413,478.43359375,49.7
1727627413,478.43359375,51.1
1727627413,478.43359375,49.1
1727627413,478.43359375,39.4
1727627414,478.43359375,49.8
1727627414,478.43359375,54.2
1727627414,478.43359375,48.6
1727627414,478.43359375,50.0
1727627416,478.44140625,49.8
1727627416,478.44140625,54.3
1727627416,478.44140625,49.0
1727627416,478.44140625,45.7
1727627417,478.44140625,49.7
1727627417,478.44140625,54.3
1727627417,478.44140625,49.1
1727627417,478.44140625,52.1
1727627418,478.44140625,49.7
1727627418,478.44140625,52.0
1727627418,478.44140625,48.5
1727627418,478.44140625,56.8
1727627420,478.44140625,49.7
1727627420,478.44140625,53.2
1727627420,478.44140625,47.2
1727627420,478.44140625,55.6
1727627421,478.44140625,49.7
1727627421,478.44140625,55.6
1727627421,478.44140625,49.1
1727627421,478.44140625,47.2
1727627423,478.44140625,49.7
1727627423,478.44140625,38.2
1727627423,478.44140625,53.4
1727627423,478.44140625,41.9
1727627424,478.44140625,49.8
1727627424,478.44140625,37.1
1727627424,478.44140625,53.4
1727627424,478.44140625,37.5
1727627425,478.44140625,49.8
1727627425,478.44140625,52.1
1727627425,478.44140625,48.6
1727627425,478.44140625,54.2
1727627427,478.44140625,49.7
1727627427,478.44140625,36.4
1727627427,478.44140625,54.2
1727627427,478.44140625,39.4
1727627428,478.44140625,49.7
1727627428,478.44140625,51.1
1727627428,478.44140625,47.7
1727627428,478.44140625,57.4
1727627430,478.44140625,49.7
1727627430,478.44140625,53.1
1727627430,478.44140625,49.1
1727627430,478.44140625,55.6
1727627431,478.44140625,49.8
1727627431,478.44140625,55.3
1727627431,478.44140625,50.0
1727627431,478.44140625,37.5
1727627432,478.44140625,49.7
1727627432,478.44140625,54.3
1727627432,478.44140625,49.0
1727627432,478.44140625,57.8
1727627434,478.44140625,49.7
1727627434,478.44140625,55.3
1727627434,478.44140625,47.6
1727627434,478.44140625,57.4
1727627435,478.44140625,49.7
1727627435,478.44140625,50.0
1727627435,478.44140625,51.4
1727627435,478.44140625,39.4
1727627436,478.44140625,49.7
1727627436,478.44140625,54.3
1727627436,478.44140625,49.5
1727627436,478.44140625,54.3
1727627438,478.44140625,49.7
1727627438,478.44140625,55.3
1727627438,478.44140625,49.0
1727627438,478.44140625,40.6
1727627439,478.44140625,49.7
1727627439,478.44140625,53.1
