start_time,end_time,run_time,program_string,n_samples,n_permutations,update_interval,n_consecutive_deviations,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727320706,1727320722,16,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 473 n_permutations 19 update_interval 180 n_consecutive_deviations 5,473,19,180,5,0.2902302015640489,0,None,i7182,12,0.0009385699521692562
1727320706,1727320722,16,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 479 n_permutations 19 update_interval 144 n_consecutive_deviations 3,479,19,144,3,0.2822998127547087,0,None,i7182,13,0.00025020757962161157
1727320706,1727320728,22,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 964 n_permutations 14 update_interval 131 n_consecutive_deviations 5,964,14,131,5,0.2921026544773654,0,None,i7182,18,0.00017032393080096184
1727320719,1727320733,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 280 n_permutations 49 update_interval 225 n_consecutive_deviations 5,280,49,225,5,0.292763520211477,0,None,i7182,11,0.0006816306410578184
1727320719,1727320734,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 321 n_permutations 24 update_interval 112 n_consecutive_deviations 5,321,24,112,5,0.2816940191651063,0,None,i7182,12,0.0001530493318340048
1727320719,1727320734,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 399 n_permutations 14 update_interval 212 n_consecutive_deviations 5,399,14,212,5,0.29623306531556337,0,None,i7182,12,0.0007472534117733442
1727320719,1727320734,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 406 n_permutations 20 update_interval 147 n_consecutive_deviations 5,406,20,147,5,0.2902302015640489,0,None,i7182,12,0.0002273855038760569
1727320719,1727320742,23,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 981 n_permutations 18 update_interval 52 n_consecutive_deviations 1,981,18,52,1,0.3107170393215112,0,None,i7182,20,2.420691597796388e-05
1727320736,1727320749,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 234 n_permutations 31 update_interval 238 n_consecutive_deviations 4,234,31,238,4,0.299206961119066,0,None,i7182,10,0.0006274290749453206
1727320737,1727320751,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 ImageBasedDriftDetector n_samples 383 n_permutations 14 update_interval 242 n_consecutive_deviations 4,383,14,242,4,0.29997797114219626,0,None,i7182,11,0.0007358575904647852
