timestamp,ram_usage_mb,cpu_usage_percent
1727565050,475.1640625,49.7
1727565050,475.1640625,51.6
1727565050,475.1640625,49.8
1727565050,475.1640625,37.5
1727565050,475.1640625,57.4
1727565051,475.1640625,49.6
1727565051,475.1640625,55.3
1727565095,483.65625,49.8
1727565095,483.65625,54.2
1727565095,483.65625,49.4
1727565095,483.65625,55.3
1727565097,483.65625,49.7
1727565097,483.65625,48.8
1727565097,483.65625,50.0
1727565097,483.65625,54.5
1727565099,483.65625,49.7
1727565099,483.65625,38.2
1727565099,483.65625,50.9
1727565099,483.65625,47.5
1727565101,484.5625,49.9
1727565101,484.5625,38.2
1727565101,484.5625,49.5
1727565101,484.5625,56.5
1727565103,484.5625,49.8
1727565103,484.5625,51.1
1727565103,484.5625,48.1
1727565103,484.5625,56.5
1727565106,484.5625,49.9
1727565106,484.5625,36.4
1727565106,484.5625,53.4
1727565106,484.5625,39.4
1727565108,484.5625,49.9
1727565108,484.5625,36.4
1727565108,484.5625,53.4
1727565108,484.5625,41.2
1727565111,484.671875,49.9
1727565111,484.671875,37.5
1727565111,484.671875,48.6
1727565111,484.671875,56.8
1727565113,484.671875,49.8
1727565113,484.671875,55.3
1727565113,484.671875,49.4
1727565113,484.671875,55.6
1727565115,484.671875,49.9
1727565115,484.671875,38.2
1727565115,484.671875,48.6
1727565115,484.671875,56.8
1727565117,484.671875,49.8
1727565117,484.671875,54.3
1727565117,484.671875,48.6
1727565117,484.671875,56.5
1727565120,484.6953125,49.9
1727565120,484.703125,38.2
1727565120,484.703125,51.6
1727565120,484.703125,37.5
1727565123,484.703125,49.9
1727565123,484.703125,37.5
1727565123,484.703125,52.0
1727565123,484.703125,40.6
1727565125,484.703125,49.9
1727565125,484.703125,53.2
1727565125,484.703125,47.2
1727565125,484.703125,57.8
1727565128,484.74609375,49.9
1727565128,484.74609375,38.2
1727565128,484.74609375,52.5
1727565128,484.74609375,42.4
1727565130,484.75,49.8
1727565130,484.75,38.2
1727565130,484.75,53.3
1727565130,484.75,40.6
1727565132,484.75,49.9
1727565132,484.75,54.3
1727565132,484.75,47.6
1727565132,484.75,55.6
1727565134,484.75,49.8
1727565134,484.75,40.0
1727565134,484.75,53.3
1727565134,484.75,38.7
1727565137,484.75,49.9
1727565137,484.75,40.0
1727565137,484.75,51.2
1727565137,484.75,54.3
1727565139,484.75,49.8
1727565139,484.75,36.4
1727565139,484.75,52.9
1727565139,484.75,38.7
1727565141,484.75,49.9
1727565141,484.75,39.4
1727565141,484.75,52.5
1727565141,484.75,52.4
1727565143,484.75,49.9
1727565143,484.75,38.2
1727565143,484.75,52.4
1727565143,484.75,39.4
1727565145,484.75,49.9
1727565145,484.75,36.4
1727565145,484.75,53.3
1727565145,484.75,39.4
1727565147,484.75,49.8
1727565147,484.75,53.3
1727565147,484.75,51.2
1727565147,484.75,54.5
1727565150,484.75,49.8
1727565150,484.75,39.4
1727565150,484.75,53.3
1727565150,484.75,41.2
1727565152,484.75,49.9
1727565152,484.75,54.3
1727565152,484.75,49.6
1727565152,484.75,45.9
1727565154,484.75,49.9
1727565154,484.75,39.4
1727565154,484.75,52.0
1727565154,484.75,55.6
1727565156,484.75,49.8
1727565156,484.75,54.3
1727565156,484.75,46.8
1727565156,484.75,57.8
1727565158,484.78515625,49.9
1727565158,484.78515625,48.8
1727565158,484.78515625,52.9
1727565158,484.78515625,37.5
1727565160,484.78515625,49.8
1727565160,484.78515625,55.6
1727565160,484.78515625,46.3
1727565160,484.78515625,57.4
1727565163,484.78515625,49.8
1727565163,484.78515625,37.5
1727565163,484.78515625,52.9
1727565163,484.78515625,42.4
1727565165,484.78515625,49.9
1727565165,484.78515625,36.4
1727565165,484.78515625,52.8
1727565165,484.78515625,51.2
1727565168,484.78515625,49.8
1727565168,484.78515625,38.2
1727565168,484.78515625,51.2
1727565168,484.78515625,52.5
1727565170,484.78515625,49.8
1727565170,484.78515625,39.4
1727565170,484.78515625,52.5
1727565170,484.78515625,42.4
1727565172,484.78515625,49.8
1727565172,484.78515625,54.3
1727565172,484.78515625,53.2
1727565172,484.78515625,37.5
1727565174,484.78515625,49.9
1727565174,484.78515625,56.2
1727565174,484.78515625,51.2
1727565174,484.78515625,37.5
1727565176,484.79296875,49.9
1727565176,484.79296875,56.0
1727565176,484.79296875,49.6
1727565176,484.79296875,40.6
1727565179,484.79296875,49.9
1727565179,484.79296875,35.3
1727565179,484.79296875,52.0
1727565179,484.79296875,55.6
1727565181,484.79296875,49.9
1727565181,484.79296875,52.3
1727565181,484.79296875,48.2
1727565181,484.79296875,55.6
1727565183,484.79296875,49.8
1727565183,484.79296875,55.3
1727565183,484.79296875,50.4
1727565183,484.79296875,42.4
1727565185,484.79296875,49.9
1727565185,484.79296875,55.6
1727565185,484.79296875,47.7
1727565185,484.79296875,54.8
1727565187,484.79296875,49.8
1727565187,484.79296875,38.9
