timestamp,ram_usage_mb,cpu_usage_percent
1727815908,478.8203125,49.7
1727815908,479.04296875,48.1
1727815908,479.04296875,49.9
1727815908,479.04296875,37.5
1727815908,479.04296875,56.5
1727815908,479.04296875,49.1
1727815908,479.04296875,57.8
1727815954,486.43359375,49.8
1727815954,486.43359375,55.3
1727815954,486.43359375,49.5
1727815954,486.43359375,48.7
1727815955,486.43359375,49.7
1727815955,486.43359375,50.0
1727815955,486.43359375,50.0
1727815955,486.43359375,51.0
1727815957,486.43359375,49.7
1727815957,486.43359375,40.0
1727815957,486.43359375,52.9
1727815957,486.43359375,40.6
1727815958,486.43359375,49.8
1727815958,486.43359375,55.3
1727815958,486.43359375,49.5
1727815958,486.43359375,41.2
1727815959,486.43359375,49.7
1727815959,486.43359375,54.3
1727815959,486.43359375,49.1
1727815959,486.43359375,52.5
1727815961,488.31640625,49.7
1727815961,488.31640625,54.3
1727815961,488.31640625,48.5
1727815961,488.31640625,51.2
1727815962,488.31640625,49.7
1727815962,488.31640625,54.3
1727815962,488.31640625,49.0
1727815962,488.31640625,40.6
1727815964,488.31640625,49.8
1727815964,488.31640625,55.3
1727815964,488.31640625,49.1
1727815964,488.31640625,55.6
1727815965,488.31640625,49.7
1727815965,488.31640625,47.5
1727815965,488.31640625,49.0
1727815965,488.31640625,57.8
1727815966,488.31640625,49.7
1727815966,488.31640625,43.9
1727815966,488.31640625,53.2
1727815966,488.31640625,39.4
1727815969,489.234375,49.9
1727815969,489.234375,54.3
1727815969,489.234375,49.5
1727815969,489.234375,57.8
1727815972,489.24609375,49.9
1727815972,489.24609375,48.8
1727815972,489.24609375,48.1
1727815972,489.24609375,58.7
1727815975,489.3203125,49.9
1727815975,489.3203125,40.0
1727815975,489.3203125,49.5
1727815975,489.3203125,55.6
1727815977,489.3203125,49.9
1727815977,489.3203125,35.3
1727815977,489.3203125,55.1
1727815977,489.3203125,38.7
1727815979,489.3203125,49.9
1727815979,489.3203125,55.6
1727815979,489.3203125,50.0
1727815979,489.3203125,38.7
1727815982,489.3203125,49.9
1727815982,489.3203125,56.5
1727815982,489.3203125,50.5
1727815982,489.3203125,40.0
1727815984,489.3203125,49.9
1727815984,489.3203125,37.1
1727815984,489.3203125,52.5
1727815984,489.3203125,39.4
1727815987,489.3984375,49.8
1727815987,489.3984375,54.3
1727815987,489.3984375,48.1
1727815987,489.3984375,56.2
1727815989,489.40234375,49.9
1727815989,489.40234375,47.6
1727815989,489.40234375,52.4
1727815989,489.40234375,40.6
1727815992,489.5625,49.9
1727815992,489.5625,39.4
1727815992,489.5625,48.6
1727815992,489.5625,58.1
1727815995,489.5625,49.9
1727815995,489.5625,57.4
1727815995,489.5625,47.2
1727815995,489.5625,58.1
1727815997,489.609375,49.9
1727815997,489.609375,56.5
1727815997,489.609375,48.6
1727815997,489.609375,57.8
1727815999,489.609375,49.8
1727815999,489.609375,54.3
1727815999,489.609375,48.6
1727815999,489.609375,52.5
1727816001,489.703125,49.9
1727816001,489.703125,53.3
1727816001,489.703125,47.3
1727816001,489.703125,57.8
1727816004,489.70703125,49.9
1727816004,489.70703125,56.5
1727816004,489.70703125,48.6
1727816004,489.70703125,37.5
1727816006,489.73046875,49.9
1727816006,489.73046875,56.5
1727816006,489.73046875,48.2
1727816006,489.73046875,55.0
1727816008,489.73046875,49.8
1727816008,489.73046875,58.3
1727816008,489.73046875,45.9
1727816008,489.73046875,58.1
1727816011,489.73046875,49.9
1727816011,489.73046875,53.2
1727816011,489.73046875,46.8
1727816011,489.73046875,55.6
1727816013,489.73828125,49.9
1727816013,489.73828125,56.3
1727816013,489.73828125,46.4
1727816013,489.73828125,56.8
