trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,Sobol,0.192298074518629680262904457777,51,0.846809870004653908459602007497,0.522989526391029357910156250000
1,1_0,COMPLETED,Sobol,0.441360340085021229938888609468,336,0.697653441224247217178344726562,0.788498062733560822756828656566
2,2_0,COMPLETED,Sobol,0.441360340085021229938888609468,446,0.684619253221899315420273524069,0.757331812940537973943833094381
3,3_0,COMPLETED,Sobol,0.255563890972743235074915446603,157,0.138318423554301267452970591876,0.514619175437837861331047406566
4,4_0,COMPLETED,Sobol,0.317829457364341094738335868897,387,0.149033119343221193142667857501,0.640954717807471707757827061869
5,5_0,COMPLETED,Sobol,0.337834458614653665442517649353,313,0.647527315840125128332260828756,0.621891652047634191369240852509
6,6_0,COMPLETED,Sobol,0.235808952238059532646730076522,112,0.988534315023571252822875976562,0.557409877702593758996840733744
7,7_0,COMPLETED,Sobol,0.441360340085021229938888609468,493,0.719745303224772259298447352194,0.785397396981716178210319867503
8,8_0,COMPLETED,Sobol,0.301825456364090971561608967022,308,0.820041014999151274267319422506,0.576165532972663596567031163431
9,9_0,COMPLETED,Sobol,0.331832958239559938640184100223,134,0.771533321961760498730598101247,0.726162222120910971767671071575
10,10_0,COMPLETED,Sobol,0.441360340085021229938888609468,475,0.485890550911426521984992632497,0.773015015386045001299919476878
11,11_0,COMPLETED,Sobol,0.354588647161790393447233782354,435,0.848481718543916962893547406566,0.618179913703352235110344281566
12,12_0,COMPLETED,Sobol,0.398849712428107072703653557255,328,0.808806919492781162261962890625,0.726745853200554847717285156250
13,13_0,COMPLETED,Sobol,0.311827956989247256913699857250,271,0.822741483151912644800063389994,0.588666524365544341357292523753
14,14_0,COMPLETED,Sobol,0.382845711427856949526926655381,302,0.369282615371048450469970703125,0.736300043482333466116074305319
15,15_0,COMPLETED,Sobol,0.221805451362840688744881845196,134,0.758107978198677256997939366556,0.526157554425299212041977625631
16,16_0,COMPLETED,Sobol,0.330582645661415375215597123315,491,0.113086053542792802639738170001,0.726659548096358798296989789378
17,17_0,COMPLETED,Sobol,0.270317579394848683804752909055,196,0.439315837062895342413071375631,0.660423051379620984491225499369
18,18_0,COMPLETED,Sobol,0.328332083020755227664722042391,141,0.698239339608699105532707562816,0.719711340405047028667695485638
