trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,Sobol,0.305520984081042001889727544039,444,0.305429597198963176385433371252,0.798646718263626098632812500000
1,1_0,COMPLETED,Sobol,0.293402074288470759988456393330,348,0.508871104195714019091667523753,0.702787497267127081457260828756
2,2_0,COMPLETED,Sobol,0.293585383502170782499263168575,269,0.383724621124565623553337445628,0.778670352511107943804802289378
3,3_0,COMPLETED,Sobol,0.288336951278340580806514026335,241,0.768091368023306131362915039062,0.723576524574309654092019172822
4,4_0,COMPLETED,Sobol,0.300774240231548528612393056392,455,0.855721276439726397100571375631,0.574687444977462269513068804372
5,5_0,COMPLETED,Sobol,0.276834298118668553634336149116,163,0.595524707809090614318847656250,0.504377554263919614108147015941
6,6_0,COMPLETED,Sobol,0.302009165460685014004127424414,500,0.915496782865375280380249023438,0.767477884050458691866936078441
7,7_0,COMPLETED,Sobol,0.275707911239749137166654691100,153,0.229093782790005223715112947502,0.628426977805793263165412554372
8,8_0,COMPLETED,Sobol,0.298725277375783915267959400808,401,0.480900513101369164736809125316,0.544215989019721790853623133444
9,9_0,COMPLETED,Sobol,0.287563917028461180080967096728,265,0.468744014296680666653571734059,0.572022718377411365509033203125
10,10_0,COMPLETED,Sobol,0.297623010130246057336478315847,400,0.509753129351884104458747515309,0.700509583763778254095200281881
11,11_0,COMPLETED,Sobol,0.301151712493970102890727957856,448,0.408616165351122662130478602194,0.646389809250831559594985264994
12,12_0,COMPLETED,Sobol,0.261028702363724107726739021018,70,0.828558709193021103445175867819,0.729435470420867204666137695312
13,13_0,COMPLETED,Sobol,0.299264351181862009454448525503,324,0.597467388212680972081614072522,0.756832037214189790041984906566
14,14_0,COMPLETED,Sobol,0.305048239266763165922213829617,446,0.504960533976554937218850227509,0.778471415862441062927246093750
15,15_0,COMPLETED,Sobol,0.294060540279787785422627166554,347,0.627729649469256356653090733744,0.567370143532752946313735264994
16,16_0,COMPLETED,Sobol,0.284808248914616535252264384326,208,0.940473605412989854812622070312,0.686745359096676111221313476562
17,17_0,COMPLETED,Sobol,0.285338880849011045093277516571,205,0.374514772836119003152077766572,0.668042282387614205774184483744
18,18_0,COMPLETED,Sobol,0.273431017848528745695091402013,157,0.649232530221343084875229578756,0.545012427959591150283813476562
